Dnc  Girone A classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Raskovic Marko (86),Rosmini Domodossola,C,583,26,"22,42",
2,Delibasic Milos (95),Basket Follo,P/G,454,24,"18,92",
3,Marcello Massimiliano (76),Amatori Savigliano,G/A,430,26,"16,54",
4,Seravalli Matteo (91),Spezia Basket Club,P/G,429,26,"16,50",
5,Malagoli Riccardo (88),Don Bosco Crocetta,C,418,25,"16,72",
6,Realini Maurizio (83),Rosmini Domodossola,P/G/A,377,24,"15,71",
7,Favario Djbril (90),Don Bosco Crocetta,G/A,350,26,"13,46",
8,Negro Marco (93),Olimpo Basket Alba,A/C,349,26,"13,42",
9,Scrocco Stefano (77),Basket Trecate,A,342,26,"13,15",
10,Zanelli Davide (93),Olimpo Basket Alba,G/A,340,26,"13,08",
11,Foti Fabrizio (88),Rosmini Domodossola,P,334,26,"12,85",
12,Russo Andrea (90),Basket Follo,G,331,25,"13,24",
13,Ferrari Manuel (82),Spezia Basket Club,A,330,26,"12,69",
14,Draghici Radu Mihai (90),Abet Basket Bra,G,326,26,"12,54",
15,Taverna Massimo (91),Basket Serravalle,P/G/A,321,22,"14,59",
16,Antonietti Luca (94),Don Bosco Crocetta,G/A,320,25,"12,80",
17,Santoni Samuele (88),Spezia Basket Club,P/G/A,315,17,"18,53",
18,Casettari Andrea (85),Basket Follo,C,315,25,"12,60",
19,Colombo Stefano (95),Basket Trecate,C,315,26,"12,12",
20,Bigoni Roberto (88),Cus Genova,A,308,26,"11,85",
21,Billi Lorenzo (97),Il Canestro Alessandria,P/G,295,24,"12,29",
22,Peroni Riccardo Alberto (92),Basket Trecate,G/A,289,26,"11,12",
23,Agbogan Allen (97),Pall. Moncalieri S. Mauro,P,288,25,"11,52",
24,Tarditi Emanuele (93),Abet Basket Bra,C,280,26,"10,77",
25,Sacco Mattia (94),Amatori Savigliano,A,272,21,"12,95",
26,Markus Nikola (96),Basket Pool Loano,A,270,23,"11,74",
27,Pollone Luca (97),Cestistica Biella,G,268,21,"12,76",
28,Gay Dario (96),Basket Pool Loano,P/G,268,25,"10,72",
29,Di Bonaventura Giorgio (97),Pall. Moncalieri S. Mauro,G/A,258,25,"10,32",
30,Serafin Luca (88),Basket Serravalle,P/G/A,255,24,"10,63",
31,Piano Andrea (92),Olimpo Basket Alba,P/G,253,21,"12,05",
32,Ceccarelli Marco (91),Don Bosco Crocetta,G,252,25,"10,08",
33,Marotto Enrico (93),Basket Serravalle,G/A,248,26,"9,54",
34,Nesti Edoardo (78),Spezia Basket Club,A,247,20,"12,35",
35,Gonzato Simone (95),Cestistica Biella,A,247,26,"9,50",
36,Bedini Angelo (90),Cus Genova,G,241,19,"12,68",
37,Petricca Francesco (85),Rosmini Domodossola,G/A,241,25,"9,64",
38,Vangelov Nikolay (96),Pall. Moncalieri S. Mauro,C,237,22,"10,77",
39,Mangione Marcello (91),Cus Genova,A,237,26,"9,12",
40,Rispoli Andrea (86),Don Bosco Crocetta,P,231,25,"9,24",
41,Cagliero Alessandro (92),Abet Basket Bra,A,230,26,"8,85",
42,Mozzi Eracle (89),Basket Serravalle,C,222,26,"8,54",
43,Giusto Filippo (89),Amatori Savigliano,P,217,21,"10,33",
44,Zunino Marco (92),Basket Serravalle,P,216,21,"10,29",
45,Macrì Emanuele (95),Cus Genova,P,215,24,"8,96",
46,Sena Nicolò (94),Amatori Savigliano,P,213,26,"8,19",
47,Gerli Emanuele (90),Basket Trecate,C,208,24,"8,67",
48,Pichi Tommaso (96),Pall. Moncalieri S. Mauro,G/A,202,23,"8,78",
49,Gallo Paolo (90),Olimpo Basket Alba,A/C,200,13,"15,38",
50,Frattallone Marco (96),Il Canestro Alessandria,A,198,25,"7,92",
51,Tava Edoardo (96),Il Canestro Alessandria,G,196,23,"8,52",
52,Baiardo Alberto (95),Cus Genova,G,196,26,"7,54",
53,Rampone Andrea  (92),Abet Basket Bra,G,193,20,"9,65",
54,Nicolucci Alessaìndro (92),Amatori Savigliano,P,192,26,"7,38",
55,Persano Guglielmo (96),Basket Pool Loano,A,188,22,"8,55",
