Dnc  Girone B classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Terzaghi Manuel (92),7 Laghi Gazzada Schianno,A,546,28,"19,50",
2,Moreno Maxmiliano (81),Manerbio Basket,P,525,27,"19,44",
3,Bassani Andrea (89),Carp Diem Calolziocorte,A/C,522,28,"18,64",
4,Rondena Federico (81),Nervianese 1919,P/G,476,26,"18,31",
5,Casati Simone (91),Nuova Pall. Olginate,G,465,28,"16,61",
6,Ballarate Matteo (89),Cocoon Lissone,G/A,435,27,"16,11",
7,Saccà Roberto (87),Opera Basket Club,G,430,27,"15,93",
8,De Piccoli Ezio (74),Robur Basket Saronno,A,392,28,"14,00",
9,Riva Ivan (83),Nuova Pall. Olginate,A,390,25,"15,60",
10,Olivieri Simone (92),Corona Platina Piadena,C,383,28,"13,68",
11,Colombo Marco (89),Milano Tre Basiglio,A,382,26,"14,69",
12,Corno Alessandro (92),Robur Basket Saronno,G/A,377,28,"13,46",
13,Cacciani Stefano (84),Cocoon Lissone,A/C,369,27,"13,67",
14,Gurioli Alessandro (87),Robur Basket Saronno,A,367,25,"14,68",
15,Acquaviva Alessandro (92),Argomm Iseo,G/A,357,26,"13,73",
16,Lorenzetti Antonio (95),Argomm Iseo,A,356,28,"12,71",
17,Giocondo Giuseppe (89),Milano Tre Basiglio,G,355,27,"13,15",
18,Ndiaye Ababacar (90),Manerbio Basket,A,353,27,"13,07",
19,Clerici Matteo (92),Arcisate Valceresio,A/C,352,25,"14,08",
20,Corbetta Pierpaolo (84),Carp Diem Calolziocorte,A/C,348,28,"12,43",
21,Fusella Pietro (89),Opera Basket Club,C,347,27,"12,85",
22,Baroni Mattia (87),Pall. Bernareggio,G/A,347,28,"12,39",
23,Furlanis Guglielmo (86),Pall. Bernareggio,P/G,341,27,"12,63",
24,Iacono Michael (87),Milano Tre Basiglio,P,340,26,"13,08",
25,Passerini Federico (93),7 Laghi Gazzada Schianno,P/G,340,28,"12,14",
26,Savazzi Diego (76),Manerbio Basket,G,338,26,"13,00",
27,Prestini Gianluigi (89),Argomm Iseo,A/C,337,28,"12,04",
28,Bellotti Luca (93),Arcisate Valceresio,P,327,25,"13,08",
29,Cacciavillani Davide (90),Corona Platina Piadena,G/A,327,25,"13,08",
30,Delle Donne Andrea (89),Pall. Bernareggio,P/G/A,322,27,"11,93",
31,Bandera Gianluca (89),Nervianese 1919,A,319,26,"12,27",
32,Molteni Mattia (96),ABC Cantù,P/G,315,27,"11,67",
33,Fumagalli Carlo (96),Sportiva Boffalorese,G,313,24,"13,04",
34,Moraghi Alessandro (83),7 Laghi Gazzada Schianno,C,312,28,"11,14",
35,Crescini Fiego (87),Argomm Iseo,G,309,27,"11,44",
36,Spertini Roberto (86),7 Laghi Gazzada Schianno,G,306,27,"11,33",
37,Mascadri Stefano (93),Corona Platina Piadena,P/G,305,28,"10,89",
38,Anzivino Roberto (84),Milano Tre Basiglio,G/A,303,27,"11,22",
39,Zugno Ruben (96),ABC Cantù,P,299,21,"14,24",
40,Angiolini Alberto (73),Robur Basket Saronno,P/G,297,28,"10,61",
41,Squarcina Niccolò (83),Cocoon Lissone,A,293,28,"10,46",
42,Marenzi Marco Paolo (91),Corona Platina Piadena,G/A,290,28,"10,36",
43,Fanchini Fabio (76),Arcisate Valceresio,P,281,25,"11,24",
44,Rossetti Paolo (84),Robur Basket Saronno,C,265,27,"9,81",
45,Pecchia Andrea (97),Sportiva Boffalorese,A,264,21,"12,57",
46,Zambelli Federico (90),Nuova Pall. Olginate,P,263,27,"9,74",
47,Spirolazzi Davide (92),Opera Basket Club,A,261,27,"9,67",
48,Speronello Davide (95),Manerbio Basket,G,254,25,"10,16",
49,Di Gianvittorio Simone (92),Opera Basket Club,G,254,25,"10,16",
50,Tandoi Niccolò (93),Milano Tre Basiglio,G,253,27,"9,37",
51,Siberna Giacomo (96),ABC Cantù,G/A,248,26,"9,54",
52,Paduano Simone (84),Carp Diem Calolziocorte,P,246,25,"9,84",
53,Malagutti Leonardo (95),Corona Platina Piadena,P,245,27,"9,07",
54,Milan Fabrizio (87),Carp Diem Calolziocorte,G,245,27,"9,07",
55,Marchetti Giovanni (74),Manerbio Basket,C,242,28,"8,64",
56,Rulli Gualtiero Mario (93),Arcisate Valceresio,G,241,27,"8,93",
57,Cesana Gabriele (86),Carp Diem Calolziocorte,A,240,22,"10,91",
58,Saini Federico (92),Pall. Bernareggio,A/C,230,28,"8,21",
59,Casati Andrea (92),Nuova Pall. Olginate,G,227,28,"8,11",
60,Meroni Leo (89),Carp Diem Calolziocorte,P/G,222,28,"7,93",
61,Vanzulli Vittorio (89),Nervianese 1919,G,220,25,"8,80",
62,Scartezzini Francesco (92),Opera Basket Club,G,217,28,"7,75",
63,Hamadi Giosuè (96),Sportiva Boffalorese,G,215,19,"11,32",
64,Danelutti Julian Enrico (88),Cocoon Lissone,A/C,213,28,"7,61",
65,Leva Matteo (89),Robur Basket Saronno,G,208,28,"7,43",
66,Fontana Davide (96),ABC Cantù,G,206,24,"8,58",
67,Collini Riccardo (90),Cocoon Lissone,C,204,28,"7,29",
68,Lottici Matteo (91),Corona Platina Piadena,G/A,198,23,"8,61",
