C  Lombardia Girone A classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Caramatti Renè (90),Virtus Lumezzane,G/A,565,30,"18,83",
2,Accini Denis (86),Sansebasket Cremona,G,516,29,"17,79",
3,Bossini Thomas  (85),Virtus Lumezzane,G/A,512,30,"17,07",
4,Pedrini Simone  (86),CMPi  Pizzighettone,A/C,506,30,"16,87",
5,Marelli Davide  (91),G.S.A. Basket Sarezzo,A,479,28,"17,11",
6,Pairone Nicolas   (87),CMPi  Pizzighettone,A,462,30,"15,40",
7,Deme Mambaye Diallo   (93),Lic Verolanuova,A/C,447,30,"14,90",
8,Altimani Davide (90),AS Dil Viadana Basket,A,431,27,"15,96",
9,Benassi Andrea    (82),Persico Seriana,G,430,22,"19,55",
10,Pesenti Marco  (83),G.S.A. Basket Sarezzo,G,427,29,"14,72",
11,Mason Jacopo  (93),NBB Brescia,P/G,408,30,"13,60",
12,Corona Cristian   (80),Asola Basket Lions,C,396,29,"13,66",
13,Crepaz Matteo (89),Lic Verolanuova,G,394,30,"13,13",
14,Raimondi Mauro  (88),Romano Lombardo Basket,G,391,30,"13,03",
15,Grazzi Andrea (81),AS Dil Viadana Basket,A,390,27,"14,44",
16,Filippi Michele (81),Persico Seriana,G,351,30,"11,70",
17,Salvini Alessandro   (84),Lic Verolanuova,G,348,29,"12,00",
18,Albani Angelo Mario (80),Romano Lombardo Basket,C,348,30,"11,60",
19,Lanfredi Stefano   (86),Asola Basket Lions,P,348,30,"11,60",
20,Sartora Marco (91),Virtus Lumezzane,A,331,30,"11,03",
21,Vacchelli Elvis (90),Asola Basket Lions,P,330,30,"11,00",
22,Mora Marco  (85),XXL Bergamo,A,321,30,"10,70",
23,Silva Bruno (96),Blu Orobica Bergamo,G,320,25,"12,80",
24,Casali Luca (92),CMPi  Pizzighettone,G,316,29,"10,90",
25,Pasini Valentino   (86),Asola Basket Lions,G/A,313,30,"10,43",
26,Galbiati Alberto   (85),XXL Bergamo,A,312,26,"12,00",
27,Benadduce Riccardo (82),Bellini Gorle,C,308,30,"10,27",
28,Brioschi Stefano (93),Fortitudo Busnago,P/G,304,25,"12,16",
29,Santinelli Matteo (96),Bellini Gorle,G,286,29,"9,86",
30,Marelli Sandro  (91),G.S.A. Basket Sarezzo,P/G,284,29,"9,79",
31,Signorelli Michele (89),Bellini Gorle,P/G,283,29,"9,76",
32,Gjinaj Andrea (86),Sansebasket Cremona,C,281,24,"11,71",
33,Colombo Andrea (89),Di.Po. Vimercate,P,278,28,"9,93",
34,Verzellesi Nicola (89),AS Dil Viadana Basket,G,277,28,"9,89",
35,Tontini Antonio   (87),Bellini Gorle,G,276,27,"10,22",
36,Caffi Mauro  (78),XXL Bergamo,P,273,29,"9,41",
37,Fagiuoli Matteo (92),Romano Lombardo Basket,G,264,30,"8,80",
38,Tremolada Stefano (89),Di.Po. Vimercate,A,263,28,"9,39",
39,Bonacina Matteo (89),Fortitudo Busnago,A/C,261,27,"9,67",
