"C  Lombardia Girone B classifica marcatori in base ai punti segnati",
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Reali Marco  (81),Pall. Milano 1958,A/C,563,30,"18,77",
2,"Cogliati Emiliano   (94)",P.O.S.A.L. Sesto S.G.,P/G,522,30,"17,40",
3,Finazzi Alberto (87),Nuova Olympia Basket Voghera,A,479,28,"17,11",
4,Farina Simone (87),Virtus Gambolò,G,463,30,"15,43",
5,Villa Gabriele (84),A.S. Dil. Lesmo,C,430,28,"15,36",
6,Zandalasini Andrea (89),ASD Pall. Lungavilla,A,429,29,"14,79",
7,Becerra Fernando (81),Nuova Olympia Basket Voghera,G,421,26,"16,19",
8,Cattaneo Nicolò (88),Nuova Pall. Vigevano 1955,G,418,29,"14,41",
9,"Passoni Marcello   (89)",A.S. Dil. Lesmo,P,412,30,"13,73",
10,Barbirato Diego (84),Nuova Pall. Vigevano 1955,A,407,30,"13,57",
11,Montagna Roberto (83),C.S.C. BK Cusano,A/C,397,29,"13,69",
12,"Mastrantoni Cristiano   (86)",Pall. Milano 1958,G/A,395,30,"13,17",
13,"Aliprandi Andrea   (94)",A.S. Dil. Lesmo,A,394,28,"14,07",
14,Benazzi Paolo (85),A.Dil.Pall. Rag.S.Pio X,A,389,27,"14,41",
15,Sala Davide (82),Pall. Robbio Aironi,G,389,28,"13,89",
16,De Andreis Diego,A.Dil.Pall. Rag.S.Pio X,G/A,389,30,"12,97",
17,Leonardi Lorenzo (85),Soul Milano,G/A,359,29,"12,38",
18,Susnjar Martin (79),Pall. Robbio Aironi,C,355,24,"14,79",
19,Kam Kader (87),Nuova Pall. Vigevano 1955,A,351,30,"11,70",
20,Velardo Claudio (81),Ebro Basket,A/C,348,27,"12,89",
21,Werich Stefano (85),Pall. Robbio Aironi,G/A,343,29,"11,83",
22,Borroni Marco (92),Ebro Basket,A,338,27,"12,52",
23,Ceper Lorenzo (79),Nuova Pall. Vigevano 1955,C,333,24,"13,88",
24,"De Bellis Luigi   (82)",Quartiere S. Ambrogio Milano,P/G,332,28,"11,86",
25,Galati Gianluca (93),Ebro Basket,G,329,25,"13,16",
26,Zanelli Enrico (71),Virtus Gambolò,A/C,322,28,"11,50",
27,Zappa Matteo  (91),A.S. Dil. Lesmo,G,313,26,"12,04",
28,Campana Francesco (92),Pall. Robbio Aironi,G,301,27,"11,15",
29,Marin Daniele  (95),C.S.C. BK Cusano,G,301,28,"10,75",
30,Ogliaro Nicola (79),Nuova Olympia Basket Voghera,A,294,29,"10,14",
31,Albertario Luca (90),ASD Pall. Lungavilla,A,288,25,"11,52",
32,Quaroni Mauro (79),Nuova Pall. Vigevano 1955,P,288,26,"11,08",
33,"Zanchetta Giacomo   (89)",Libertas Cernusco,P/G,286,28,"10,21",
34,Arioli Federico (90),Nuova Olympia Basket Voghera,C,286,28,"10,21",
35,Fontana Marco (89),Ebro Basket,P,286,29,"9,86",
36,Grimaldi Steano (87),Social O.S.A. Milano,G,275,20,"13,75",
37,Aliaj Marsel (88),Pall. Milano 1958,A/C,274,20,"13,70",
38,Fabricotti Matteo (95),P.O.S.A.L. Sesto S.G.,G,267,29,"9,21",
39,Putignano Simone (87),Virtus Gambolò,A,267,30,"8,90",
40,Vasquez Checo (84),ASD Pall. Lungavilla,P,266,25,"10,64",
41,Amicucci Valerio (86),P.O.S.A.L. Sesto S.G.,A,262,28,"9,36",
42,"Tortorici Tommaso   (85)",Quartiere S. Ambrogio Milano,A/C,261,23,"11,35",
43,Villani Max (83),Nuova Olympia Basket Voghera,A,261,24,"10,88",
44,Piermattei Federico (89),ASD Pall. Lungavilla,G,261,24,"10,88",
45,Antelli Luca  (89),Libertas Cernusco,G,261,29,"9,00",
46,"Garavaglia Giorgio   (81)",A.S.D. Basketown Milano,C,260,23,"11,30",
47,Seratoni Andrea (94),Soul Milano,A,249,27,"9,22",
48,Stenco Andrea (92),Ebro Basket,A,249,29,"8,59",
49,Padova Andrea (89),Nuova Olympia Basket Voghera,G/A,246,29,"8,48",
50,Degradi Daniele (91),Soul Milano,G/A,238,29,"8,21",
51,Ardizzone Davide (88),Social O.S.A. Milano,G/A,237,18,"13,17",
52,Gorla Paolo  (94),P.O.S.A.L. Sesto S.G.,A,234,29,"8,07",
53,Fasani Luca (88),ASD Pall. Lungavilla,G,231,27,"8,56",
54,Mantica Fabrizio (94),Social O.S.A. Milano,A,229,25,"9,16",
55,Almansi Filippo (93),Soul Milano,G,227,25,"9,08",
56,"Buschi Gualtiero   (89)",Libertas Cernusco,A,227,26,"8,73",
57,Solaini Andrea (73),Pall. Milano 1958,P/G,219,29,"7,55",
58,Sabatini Gualtiero (92),A.Dil.Pall. Rag.S.Pio X,P/G,215,28,"7,68",
59,Grassi Andrea (94),P.O.S.A.L. Sesto S.G.,C,214,29,"7,38",
60,"Cantarin Stefano   (93)",P.O.S.A.L. Sesto S.G.,A,213,30,"7,10",
61,"Botto Francesco   (90)",A.S.D. Basketown Milano,A,208,29,"7,17",
62,Menarini Massimo (78),Pall. Robbio Aironi,P,204,30,"6,80",
63,"Capaccioli Luca   (91)",P.O.S.A.L. Sesto S.G.,A,198,22,"9,00",
64,Campeggi Michele (85),ASD Pall. Lungavilla,G,198,28,"7,07",
65,"Pobbiati Claudio   (89)",Quartiere S. Ambrogio Milano,G,197,26,"7,58",
66,Iosca Marco (94),A.S.D. Basketown Milano,A,196,25,"7,84",
67,Ghezzi Stefano  (91),A.S. Dil. Lesmo,G,194,28,"6,93",
68,Veneroni Andrea (83),C.S.C. BK Cusano,A,193,23,"8,39",
69,"Mungiovì Massimiliano   (88)",Libertas Cernusco,G,191,25,"7,64",
70,"Bernucci Niccolò   (82)",A.S.D. Basketown Milano,A,191,28,"6,82",
71,Verucchi Andrea (95),Social O.S.A. Milano,G,187,29,"6,45",
72,"Furlanetto Luca   (81)",Nuova Olympia Basket Voghera,P/G,184,27,"6,81",
73,Martinetti Luca (71),Pall. Robbio Aironi,C,184,30,"6,13",
74,Pagliai Luca (84),ASD Pall. Lungavilla,A,183,26,"7,04",
75,Traorè Ismael  (82),Libertas Cernusco,C,179,24,"7,46",
76,"Teruzzi Christian   (84)",Libertas Cernusco,A/C,179,27,"6,63",
77,Rizzo,Social O.S.A. Milano, ,178,23,"7,74",
78,Caserini Davide (91),Soul Milano,P,171,29,"5,90",
79,Giannetti Alessandro (90),A.Dil.Pall. Rag.S.Pio X,G/A,169,21,"8,05",
80,Perego Marco  (71),P.O.S.A.L. Sesto S.G.,P,169,27,"6,26",
81,"Majerna Fabrizio   (83)",C.S.C. BK Cusano,P,167,27,"6,19",
82,Andreello Paolo (84),Pall. Robbio Aironi,A,166,29,"5,72",
83,Monfardini Davide (94),A.S.D. Basketown Milano,P,166,29,"5,72",
84,Sirtori Emanuele (94),Libertas Cernusco,C,165,19,"8,68",
85,Marin Davide  (94),C.S.C. BK Cusano,P,165,24,"6,88",
86,Lacchè Edoardo (95),Soul Milano,G,165,26,"6,35",
87,Ricci Federico (97),Virtus Gambolò,A,163,25,"6,52",
88,Kapedani Ermal (85),Nuova Pall. Vigevano 1955,C,159,21,"7,57",
89,Stigliano Enrico (82),A.Dil.Pall. Rag.S.Pio X,A,158,24,"6,58",
90,De Spuches Giuseppe (96),A.S.D. Basketown Milano,A,157,20,"7,85",
91,Armana Marco (83),ASD Pall. Lungavilla,A,156,21,"7,43",
92,Sebastio Jacopo (82),A.Dil.Pall. Rag.S.Pio X,G,156,30,"5,20",
93,Moretti Paolo (84),Nuova Pall. Vigevano 1955,P/G,154,30,"5,13",
94,"Baroncini   Enrico  (88)",A.S. Dil. Lesmo,C,152,29,"5,24",
95,Ronca Paolo  (87),Quartiere S. Ambrogio Milano,A/C,146,27,"5,41",
96,De Mezza Giacomo (93),A.Dil.Pall. Rag.S.Pio X,C,146,27,"5,41",
97,Premier Andrea  (83),Pall. Milano 1958,A/C,143,24,"5,96",
98,Maniero Davide  (94),A.S. Dil. Lesmo,A,141,22,"6,41",
99,"Cazzaniga Stefano   (85)",A.S. Dil. Lesmo,G,138,28,"4,93",
100,Bragagnolo Nicola (86),Pall. Milano 1958,C,136,23,"5,91",
101,Nobis Federico (92),Pall. Milano 1958,C,136,25,"5,44",
102,"Bestetti Manuel   (93)",C.S.C. BK Cusano,A,134,26,"5,15",
103,Ragni Alberto (90),Virtus Gambolò,P,133,14,"9,50",
104,"Zuccon Gianmarco   (91)",Quartiere S. Ambrogio Milano,G/A,130,22,"5,91",
105,"Dal Bianco Marco   (86)",Social O.S.A. Milano,G,129,24,"5,38",
106,"Prataviera Lorenzo   (91)",Quartiere S. Ambrogio Milano,P,128,13,"9,85",
107,Monzani Marcello (93),Ebro Basket,P,126,26,"4,85",
108,"Riccioni   Roberto  (77)",Pall. Milano 1958,P,125,26,"4,81",
109,Maffezzoli Matteo (91),Nuova Olympia Basket Voghera,P/G,118,27,"4,37",
110,Colombo Lorenzo (97),Virtus Gambolò,P,117,25,"4,68",
111,"Saturnino Roberto   (93)",Libertas Cernusco,A,114,29,"3,93",
112,Galluccio Enrico (92),ASD Pall. Lungavilla,C,109,18,"6,06",
113,Tieghi Francesco (81),A.S.D. Basketown Milano,P,108,27,"4,00",
114,Gibertoni Alberto (94),Virtus Gambolò,P,107,26,"4,12",
115,Caffarra Stefano (95),Quartiere S. Ambrogio Milano,A,105,8,"13,13",
116,Pozzi Stefano (88),Soul Milano,A,105,19,"5,53",
117,Corti Alessandro (84),Ebro Basket,G/A,105,21,"5,00",
118,Riva Enrico (81),A.S.D. Basketown Milano,G,104,22,"4,73",
119,Buzzin Gabriele (97),Virtus Gambolò,G,104,25,"4,16",
120,Petrosino Andrea (93),A.S.D. Basketown Milano,G/A,101,14,"7,21",
121,Munyutu Nvuh Idriss (93),Nuova Olympia Basket Voghera,C,95,25,"3,80",
122,Pehar Marin (90),Virtus Gambolò,A/C,93,10,"9,30",
123,Seratoni Pietro (92),Soul Milano,A,92,13,"7,08",
124,Li Volsi Andrea (97),C.S.C. BK Cusano,G,92,28,"3,29",
125,Stenco Matteo (95),Ebro Basket,A,90,28,"3,21",
126,Tupputi Christian (94),Virtus Gambolò,P,89,15,"5,93",
127,Ricci Eugenio (84),A.S.D. Basketown Milano,A,88,23,"3,83",
128,"Faggiani Stefano   (87)",Social O.S.A. Milano,P,88,24,"3,67",
129,Bassi Matteo (97),Nuova Pall. Vigevano 1955,G/A,88,29,"3,03",
130,Roselli,Social O.S.A. Milano, ,87,24,"3,63",
131,Re Matteo (93),Soul Milano,A/C,85,27,"3,15",
132,Magri Ruggero (96),Quartiere S. Ambrogio Milano,P,84,16,"5,25",
133,"Gazzola Tommaso   (92)",Quartiere S. Ambrogio Milano,A/C,83,16,"5,19",
134,"Pirola Alessandro   (94)",A.S. Dil. Lesmo,P,80,29,"2,76",
135,Zappa Matteo,Social O.S.A. Milano, ,79,17,"4,65",
136,Williams,Quartiere S. Ambrogio Milano, ,78,24,"3,25",
137,Giambastiani Guido (92),Soul Milano,P,78,28,"2,79",
138,Tieghi Federico (80),A.S.D. Basketown Milano,P,77,13,"5,92",
139,Lo Presti Marco (97),C.S.C. BK Cusano,A,75,24,"3,13",
140,Sirtori Simone  (97),Libertas Cernusco,G,73,27,"2,70",
141,Sala Matteo (75),Virtus Gambolò,C,73,28,"2,61",
142,Orfei Matteo  (82),P.O.S.A.L. Sesto S.G.,G/A,72,17,"4,24",
143,Valgiovio Giacomo (92),A.S.D. Basketown Milano,P/G,71,22,"3,23",
144,"Cavicchini Giulio   (84)",Quartiere S. Ambrogio Milano,G/A,67,9,"7,44",
145,Natoli Francesco (96),Soul Milano,G,65,25,"2,60",
146,Banin Andrea (94),Nuova Olympia Basket Voghera,G,65,26,"2,50",
147,Galtarossa Alessandro (83),A.Dil.Pall. Rag.S.Pio X,A,64,9,"7,11",
148,Capella Lorenzo (90),Quartiere S. Ambrogio Milano,A,64,15,"4,27",
149,Battaioni Andrea (97),Libertas Cernusco,P,61,26,"2,35",
150,Maloba Muhemedi C. (82),Ebro Basket,A,60,10,"6,00",
151,"Zaccuri Francesco   (95)",Social O.S.A. Milano,G,59,19,"3,11",
152,Vigliaturo Massimo (95),Pall. Robbio Aironi,P,56,22,"2,55",
