C  Lombardia Girone C classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Azzimonti Edoardo  (88),G.S. Casoratese,C,595,30,"19,83",
2,Allegri Alessio  (82),O.S.L. Garbagnate,G/A,576,30,"19,20",
3,Ciardello Luca (84),BasketBall Gallarate,G,495,30,"16,50",
4,Cattaneo Andrea  (89),Cistellum Cislago,A,483,30,"16,10",
5,Arui Alessandro (91)),O.S.L. Garbagnate,P/G,482,30,"16,07",
6,Lombardi Paolo (80),Basket Bosto Varese,P/G,480,26,"18,46",
7,Corona Navarro Rob. (91),G.S. Casoratese,G,452,28,"16,14",
8,Grampa Matteo (91),Virtus Cermenate,P,447,30,"14,90",
9,Bianchi Stefano  (94),BasketBall Gallarate,P,442,30,"14,73",
10,Gianotti Davide (90),Basket Seregno ASD,G/A,437,28,"15,61",
11,Bernasconi Andrea (84),Sportlandia Tradate,C,416,28,"14,86",
12,Roppo Simone (89),Cistellum Cislago,G,411,27,"15,22",
13,Pagani Davide (87),Nuovo Basket Groane,P,391,29,"13,48",
14,Pozzi Dario (86),Polisportiva Lierna,G,380,30,"12,67",
15,Mapelli Giorgio  (78),Basket Cassano Magnago,A,374,26,"14,38",
16,Pifferi Cesare (84),Nuovo Basket Groane,A,371,29,"12,79",
17,Tonella Simone (88),O.S.L. Garbagnate,P/G,367,30,"12,23",
18,Molteni Marco (83),Polisportiva Lierna,A/C,365,26,"14,04",
19,Preatoni Vittorio  (92),G.S. Casoratese,A,364,29,"12,55",
20,De Tomasi Alessandro  (80),Pall. Cerro Maggiore,A/C,362,29,"12,48",
21,Pariani Marcello (90),BasketBall Gallarate,C,349,30,"11,63",
22,Longhena Romei Giovanni (94),Pol. Ardor Bollate,G,348,30,"11,60",
23,Fontanel Fulvio (70),Basket Bosto Varese,C,343,26,"13,19",
24,Pedalà Federico (90),Polisportiva Lierna,A,342,30,"11,40",
25,Zocchi Paolo (82),Pall. Cerro Maggiore,A/C,330,30,"11,00",
26,Munafò Thomas (84),Nuovo Basket Groane,P/G,327,26,"12,58",
27,Visini Matteo (88),Nuovo Basket Groane,A,325,29,"11,21",
28,Presentazi Andrea  (92),Basket Bosto Varese,A,325,29,"11,21",
29,Fogato Francesco  (88),Sportlandia Tradate,P,324,28,"11,57",
30,Moscatelli Simone (78),ASD Olimpia Cadorago,C,310,19,"16,32",
31,Bergna Luca (82),Polisportiva Lierna,A/C,306,28,"10,93",
32,Palazzi Niccolò (92),Pall. Verbano Luino,P,304,30,"10,13",
33,Laudi Andrea (79),Basket Cassano Magnago,A,302,28,"10,79",
34,Beretta Giorgio (84),Basket Cassano Magnago,A,302,28,"10,79",
35,Broggi Mattia (92),Virtus Cermenate,P,298,30,"9,93",
36,Brivio Andrea (88),Sportlandia Tradate,A,294,28,"10,50",
37,De Lucia Federico  (89),Pall. Cerro Maggiore,C,292,25,"11,68",
38,Ferrario Alessanfro (89),G.S. Casoratese,A/C,287,28,"10,25",
39,Marranzano Giorgio  (80),Pall. Cerro Maggiore,G/A,282,29,"9,72",
40,Marzorati Luca (87),Sportlandia Tradate,G/A,277,27,"10,26",
41,Poggiolini Riccardo  (86),Basket Cassano Magnago,P/G,275,25,"11,00",
42,Bisognin Stefano (92),Basket Bosto Varese,A/C,275,30,"9,17",
43,Mangiapane Fabio  (86),O.S.L. Garbagnate,G,269,26,"10,35",
44,Parietti Matteo  (91),Cistellum Cislago,P,268,18,"14,89",
45,Gardini Andrea (94),Pall. Verbano Luino,A,268,29,"9,24",
46,Eriforio Luca (91),Cistellum Cislago,G,267,29,"9,21",
47,Bottinelli Luca (89),Rovello Basket,A,263,28,"9,39",
48,Binaghi Gabriele (79),Pol. Ardor Bollate,A/C,258,30,"8,60",
49,Picotti Stefano  (89),BasketBall Gallarate,P,258,30,"8,60",
50,Bianchi Antonio (85),Basket Cassano Magnago,G,257,19,"13,53",
51,Carpani Silvio (89),Polisportiva Lierna,G/A,256,29,"8,83",
52,Lanzi Lorenzo (92),Rovello Basket,P,252,27,"9,33",
53,Villa Lorenzo (84),Pol. Ardor Bollate,G,246,27,"9,11",
54,Scarioni Stefano (92),ASD Olimpia Cadorago,G,246,27,"9,11",
55,Gubbitta Mattia (82),Pall. Verbano Luino,A,246,28,"8,79",
56,Bacuzzi Valerio (91),ASD Olimpia Cadorago,C,235,29,"8,10",
57,Smaniotto Simone (91),Polisportiva Lierna,P,235,30,"7,83",
58,Longoni Alessandro (95),Virtus Cermenate,A,233,30,"7,77",
59,Biason Marco (83),Pall. Verbano Luino,A/C,231,28,"8,25",
60,Danesi Emanuele (91),Pol. Ardor Bollate,G/A,230,26,"8,85",
61,Turconi Matteo (80),Sportlandia Tradate,G/A,230,29,"7,93",
62,Silva Marco (91),Basket Seregno ASD,G/A,229,26,"8,81",
63,Meroni Marco (93),Virtus Cermenate,C,229,30,"7,63",
64,Bonvino Matteo (95),Virtus Cermenate,A,228,30,"7,60",
65,Terraneo Davide (83),Rovello Basket,P/G,226,26,"8,69",
66,Anselmi Andrea (82),Sportlandia Tradate,G,224,27,"8,30",
67,Del Pero Gabriele (94),Rovello Basket,P,223,28,"7,96",
68,Grillo Fabio (89),Pall. Cerro Maggiore,P/G,222,23,"9,65",
69,Saibene Nicolò (93),Cistellum Cislago,G,219,30,"7,30",
70,Tocchella Diego  (82),Basket Bosto Varese,G/A,218,29,"7,52",
71,Bini Lorenzo (79),Basket Cassano Magnago,G,217,26,"8,35",
72,Cogliati Stefano (92),G.S. Casoratese,P,214,29,"7,38",
73,Zacchello Paolo  (79),Pall. Cerro Maggiore,A,214,30,"7,13",
74,Casati Mattia (80),Basket Seregno ASD,A,204,28,"7,29",
75,Barbisan Massimo (93),Rovello Basket,A,194,27,"7,19",
76,Puricelli Daniele  (94),BasketBall Gallarate,A,190,26,"7,31",
77,Novati Marco (94),Nuovo Basket Groane,A,186,29,"6,41",
78,Castoldi Luca (86),Polisportiva Lierna,C,184,30,"6,13",
79,Meroni Marco (88),Nuovo Basket Groane,C,182,29,"6,28",
80,Moretti Mattia (90),O.S.L. Garbagnate,A/C,178,29,"6,14",
81,Terreran Tommaso (82),ASD Olimpia Cadorago,P,177,23,"7,70",
82,Del Torchio Riccardo (76),Basket Cassano Magnago,C,177,28,"6,32",
83,Gandolfi Matteo  (85),Basket Cassano Magnago,P/G,176,22,"8,00",
84,Cipriano Giuseppe (93),ASD Olimpia Cadorago,A,176,27,"6,52",
85,Maina Roberto (86),O.S.L. Garbagnate,A/C,175,27,"6,48",
86,Bosa Andrea (88),Rovello Basket,G,167,25,"6,68",
87,Castiglioni Luca  (96),Sportlandia Tradate,P,166,29,"5,72",
88,Agazzone Andrea (79),Pall. Verbano Luino,C,165,23,"7,17",
89,Veronelli Paolo (86),Pol. Ardor Bollate,G,165,25,"6,60",
90,Crisci Nicola (78),Nuovo Basket Groane,C,164,24,"6,83",
91,Papatolo Nunzio (87),Virtus Cermenate,G,164,29,"5,66",
92,Cassano Michele  (91),Pall. Cerro Maggiore,P,156,23,"6,78",
93,Radaelli Andrea (85),Basket Seregno ASD,P/G,155,17,"9,12",
94,Villa Lorenzo (95),Virtus Cermenate,A,154,30,"5,13",
95,Riley Jarred (89),ASD Olimpia Cadorago,C,148,10,"14,80",
96,Aresi Stefano (86),Nuovo Basket Groane,G,148,26,"5,69",
