D  Lombardia Girone B classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Meneghel Fabrizio (89),Rhinos Robbiate,P/G,438,24,"18,25",
2,Triulzi Federico   (86),Sportiva Sondrio,P/G,435,28,"15,54",
3,Favero Pieralessandro   (82),A.S. Dil. Morbegno,A,428,27,"15,85",
4,Rusconi Nicola (79),Centro Basket Pescate,A/C,405,25,"16,20",
5,Mazzieri Andrea,ARS Rovagnate, ,401,25,"16,04",
6,Feloj Stefano  (92),A.S. Dil. Morbegno,A,397,30,"13,23",
7,Pellizzoni Riccardo (96),Virtus Meda,G,382,28,"13,64",
8,Felizietti Matteo (87),ABC Pall. Lomazzo,A,341,25,"13,64",
9,Marchesi Daniele (92),BC Tirano,A,337,25,"13,48",
10,Pentchev Bogdan   (86),Sportiva Sondrio,C,331,28,"11,82",
11,Ronconi Alessandro (93),A.S. Dil. Morbegno,G,319,28,"11,39",
12,Valeriano Jacopo,ARS Rovagnate, ,312,27,"11,56",
13,Gianola Stefano   (86),Sportiva Sondrio,G,306,20,"15,30",
14,Natta Domenico (96),BC Tirano,G,306,24,"12,75",
15,Ceppi Stefano (96),Casa Gioventù Erba, ,297,29,"10,24",
16,Livio Alberto (94),ABC Pall. Lomazzo,G,290,29,"10,00",
17,Lorenzon Luca,Centro Basket Pescate, ,285,28,"10,18",
18,Pancino Riccardo   (87),Casa Gioventù Erba,C,283,28,"10,11",
19,Fagetti Luca  (81),Pol. Mandello Lario,G,279,24,"11,63",
20,Credaro Giampiero   (80),Sportiva Sondrio,G,268,28,"9,57",
21,Spreafico Luca,Centro Basket Pescate, ,262,26,"10,08",
22,Mazzieri Alessandro,ARS Rovagnate, ,260,27,"9,63",
23,Bonaiti Fabio  (92),Centro Basket Pescate,G,259,26,"9,96",
24,Comerio Fabrizio (85),ABC Pall. Lomazzo,P,258,28,"9,21",
25,Spreafico Marco   (89),Casa Gioventù Erba,A,258,28,"9,21",
26,Orsi Luca  (94),Sportiva Sondrio,C,252,27,"9,33",
27,Mauri Agostino  (87),Casa Gioventù Erba,C,248,30,"8,27",
28,Panzeri Fabio  (84),Pol. Mandello Lario,G,244,21,"11,62",
29,Porcello Cristian   (91),Rhinos Robbiate,G,241,23,"10,48",
