D  Lombardia Girone C classifica  marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Ubiali Alessandro (90),Azzanese Basket,G,587,29,"20,24",
2,Vandi Federico (83),U.S.S.A. Nova,P/G,471,24,"19,63",
3,Deligios Emmanuele (90),San Pellegrino Basket,G,466,28,"16,64",
4,Moschini Andrea (78),Basket Bellusco,P,443,30,"14,77",
5,Previtali Paolo (83),San Pellegrino Basket,G,431,29,"14,86",
6,Lanzani Alessandro ,Pol. Varedo A.S.D.A.,A,421,30,"14,03",
7,Oliva Gabriele (92),Masters Carate,,414,28,"14,79",
8,Lodovici Fabio (86),Cral Dalmine,G,408,29,"14,07",
9,Mantelli Davide (94),Team 86 Villasanta,C,396,30,"13,20",
10,Parlato Riccardo (88),Team 86 Villasanta,P/G,395,30,"13,17",
11,Colombo Simone (88),Pol. Varedo A.S.D.A.,A,381,30,"12,70",
12,Passero Davide,C.B.B.A. Brugherio,A,376,28,"13,43",
13,Gritti Mattia (91),Azzanese Basket,G,359,27,"13,30",
14,Kaburi Maurice (82),Forti e Liberi Monza,A/C,358,30,"11,93",
15,Formenti Mattia  (93),Basket Bellusco,A,354,30,"11,80",
16,Galli Fabio (89),Pol. Varedo A.S.D.A.,C,348,28,"12,43",
17,Bertolini Erik (82),C.B.B.A. Brugherio,G,342,24,"14,25",
18,Fracassetti Daniele (86),GR BK Cologno Al Serio,G/A,342,26,"13,15",
19,Trabattoni Filippo (90),Gerardiana Monza,C,337,23,"14,65",
20,Balossi Giorgio  (86),Verdello Basket,G,337,29,"11,62",
21,Fossati Fabrizio (90),Team 86 Villasanta,G,336,28,"12,00",
22,Campana Mattia (86),Forti e Liberi Monza,A,336,28,"12,00",
23,Turco Matteo (91),Verdello Basket,P,335,28,"11,96",
24,Novati Lorenzo (85),U.S.S.A. Nova,P/G,333,26,"12,81",
25,Ndiaye Amadou (76),Cral Dalmine,C,331,29,"11,41",
26,Perego Mauro (82),Forti e Liberi Monza,P/G,330,29,"11,38",
27,Meloni Alessandro (93),U.S. Alfonso Casati Arcore,P,324,27,"12,00",
28,Arosio Luca (86),A.Dil. Basket Biassono,G,320,29,"11,03",
29,Colombo Federico (91),Masters Carate,,319,26,"12,27",
30,Guerrato Massimo (81),U.S.S.A. Nova,A/C,315,28,"11,25",
31,Sala Alberto (92),Team 86 Villasanta,A,303,29,"10,45",
32,Carrara Mattia (91),A.Dil. Basket Biassono,A,300,30,"10,00",
33,Redaelli Raffaele (91),Masters Carate,,298,29,"10,28",
34,Zanchi Fabio (81),San Pellegrino Basket,A,296,29,"10,21",
35,Losi Luca,U.S. Alfonso Casati Arcore,,296,30,"9,87",
36,Panzera Nicola (84),GR BK Cologno Al Serio,C,290,27,"10,74",
37,Novati Marco (81),U.S.S.A. Nova,P/G,289,25,"11,56",
38,Legoratto Michele (81),Verdello Basket,G,289,26,"11,12",
39,Lomuscio Alberto (90),U.S. Alfonso Casati Arcore,P/G,287,28,"10,25",
40,Ricci Simone (84),Team 86 Villasanta,P,280,29,"9,66",
41,Fall Khadim (90),Cral Dalmine,G/A,278,28,"9,93",
42,Tronini Luca (95),Verdello Basket,P,274,30,"9,13",
43,Villa Filippo (92),Masters Carate,,270,29,"9,31",
44,Galbiati Alberto (92),Masters Carate,,265,25,"10,60",
45,Pesavento Marco  (94),Basket Bellusco,P,256,28,"9,14",
46,Catalfamo Ivan (95),Forti e Liberi Monza,P/G,246,26,"9,46",
47,Stefanoni Mauro (79),Verdello Basket,C,240,28,"8,57",
48,Beretta Luigi (85),Forti e Liberi Monza,A/C,239,26,"9,19",
49,Giussani Giacomo (85),Scuola Basket Treviglio,C,238,28,"8,50",
50,Brambilla M.,Gerardiana Monza,,238,29,"8,21",
51,Arsuffi Marco (87),GR BK Cologno Al Serio,A,237,23,"10,30",
52,Brunetti Lorenzo  (95),C.B.B.A. Brugherio,P/G,234,27,"8,67",
53,Chies Davide (91),GR BK Cologno Al Serio,G,233,25,"9,32",
54,Rigo Riccardo (84),Basket Bellusco,C,224,30,"7,47",
55,Francioni Massimiliano (78),Scuola Basket Treviglio,A/C,223,24,"9,29",
56,Toffoli Marco (91),A.Dil. Basket Biassono,PG,221,27,"8,19",
57,Finazzi Andrea (92),GR BK Cologno Al Serio,A,219,22,"9,95",
58,Corna Andrea (95),Cral Dalmine,A,219,27,"8,11",
59,Corna Attilio (82),GR BK Cologno Al Serio,C,218,27,"8,07",
60,Zambelli Matteo (91),San Pellegrino Basket,G,217,30,"7,23",
61,Bonanomi Nicolò,U.S. Alfonso Casati Arcore,,215,23,"9,35",
62,Ghisleni Filippo (81),San Pellegrino Basket,C,214,25,"8,56",
63,Di Valentin Matteo (95),U.S. Alfonso Casati Arcore,,214,29,"7,38",
64,Moretti Denis (92),Pol. Varedo A.S.D.A.,A,213,27,"7,89",
65,Mazzanti Enrico (95),Scuola Basket Treviglio,A,211,17,"12,41",
66,Lonati Andrea (85),U.S.S.A. Nova,A,211,29,"7,28",
67,Gabaldi Mauro (79),Basket Bellusco,A/C,206,29,"7,10",
68,Magni Andrea (92),C.B.B.A. Brugherio,A,205,29,"7,07",
69,Taborelli Lorenzo (85),Cral Dalmine,C,200,21,"9,52",
70,Dorini Matteo (93),Azzanese Basket,P,200,29,"6,90",
71,Mandelli Marco (95),Scuola Basket Treviglio,P/G,198,27,"7,33",
72,Rigon Davide (95),Gerardiana Monza,C,197,26,"7,58",
73,Frassoni Fabio (86),A.Dil. Basket Biassono,G,197,28,"7,04",
74,Gerosa Ottavio (95),Azzanese Basket,A,195,26,"7,50",
75,Locatelli Andrea  (78),Cral Dalmine,G,192,17,"11,29",
76,Verri Paolo (96),Scuola Basket Treviglio,G/A,191,24,"7,96",
77,Colombo A.,Gerardiana Monza,,186,20,"9,30",
78,Daleffe Cristian (84),Verdello Basket,A,186,29,"6,41",
79,Cervato Stefano  (85),A.Dil. Basket Biassono,P,180,30,"6,00",
80,Valassina Andrea (93),Pol. Varedo A.S.D.A.,A,169,27,"6,26",
81,Macchi Jacopo (97),Scuola Basket Treviglio,G,168,22,"7,64",
82,Molteni Simone (87),Masters Carate,,168,30,"5,60",
83,Gamba Davide (86),Scuola Basket Treviglio,P/G,165,25,"6,60",
84,Chiesura Alessandro (92),GR BK Cologno Al Serio,P,165,28,"5,89",
85,Cogliati Lello (83),Forti e Liberi Monza,A,160,17,"9,41",
