D  Lombardia Girone E classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Gatti Simone (94),BC Arlunese,A/C,485,28,"17,32",
2,Moalli Dario (91),Nelson Somma Lombardo,A/C,389,27,"14,41",
3,Vanoli Davide,U.S. Marnatese Basket, ,375,27,"13,89",
4,Pellegrini Daniele   (86),A.S.D. Pol. Daverio,G/A,357,28,"12,75",
5,Borsani D.,Pallacanestro Busto, ,354,26,"13,62",
6,Riva Giacomo  (77),A.S.D. Basket Venegono,A/C,350,22,"15,91",
7,Binda Matteo (87),G.S. Pall. Castronno,A,344,26,"13,23",
8,Montalbetti Matteo   (90),Nelson Somma Lombardo,C,343,27,"12,70",
9,Colombini Paolo (94),BC Arlunese,G,337,27,"12,48",
10,Leo Luca (77),G.S. Pall. Castronno,A,330,19,"17,37",
11,Bernasconi Pietro (95),ASD Montello,G,319,25,"12,76",
12,Chiesa Elia,Or.Ma. Basket Malnate, ,313,28,"11,18",
13,Galimberti Cesare (87),BC Arlunese,P,300,26,"11,54",
14,Portaluppi Niccolò,AS Dil. Baskettiamo Vittuone,G/A,297,22,"13,50",
15,Dalle Ave Simone,Or.Ma. Basket Malnate,G/A,294,24,"12,25",
16,Cattalani Andrea   (96),A.S. Dil. Campus Varese,P,293,25,"11,72",
17,Intravia Daniele   (89),Virtus Olona ASD,G/A,288,27,"10,67",
18,Tacchini Eric (92),Virtus Olona ASD,A,287,16,"17,94",
19,Lesica  Nicola  (94),A.S.D. Pol. Daverio,G,281,28,"10,04",
20,Maiocchi Mattia ,Show Camp Corbetta,G/A,275,23,"11,96",
21,Tannoia Riccardo,AS Dil. Baskettiamo Vittuone,P,274,19,"14,42",
22,Maruca Matteo (97),A.S. Dil. Campus Varese,A,270,20,"13,50",
23,Galli S.,Pallacanestro Busto, ,264,20,"13,20",
24,Varliero Riccardo   (89),Show Camp Corbetta,A/C,264,23,"11,48",
25,Riva Francesco (79),A.S.D. Basket Venegono,A/C,262,18,"14,56",
26,Mancuso Fabio,Or.Ma. Basket Malnate,A,256,28,"9,14",
27,Brugnoli Matteo (91),BC Arlunese,P/G,255,28,"9,11",
28,Pizzala Davide  (96),Show Camp Corbetta,G/A,254,22,"11,55",
29,Ferioli Davide  (89),Nelson Somma Lombardo,P,253,25,"10,12",
30,Re Depaolini Davide (88),U.S. Marnatese Basket,A/C,248,28,"8,86",
31,Nalesso Filippo,Nelson Somma Lombardo, ,240,25,"9,60",
32,Corsaro Gioele  (96),A.S. Dil. Campus Varese,G,238,22,"10,82",
33,Lucarelli Cristiano,Or.Ma. Basket Malnate, ,234,22,"10,64",
34,Zecchillo Simone   (94),A.S.D. Pol. Daverio,P/G,228,27,"8,44",
35,Diakhate Ibu (86),Virtus Olona ASD,A,226,25,"9,04",
36,Favretto Lorenzo (88),ASD Montello,C,224,22,"10,18",
37,Palladini Alessio   (89),Virtus Olona ASD,A,219,25,"8,76",
38,Cantarelli Davide   (91),A.S.D. Basket Venegono,G/A,215,22,"9,77",
39,Tosi F.,Pallacanestro Busto, ,214,22,"9,73",
40,Busana Omar  (87),A.S.D. Pol. Daverio,P,213,28,"7,61",
41,Tonella Roberto (95),Show Camp Corbetta,G/A,211,23,"9,17",
42,Cagner Marco (91),Show Camp Corbetta,A,208,21,"9,90",
43,Caprioli Mirko (90),Virtus Olona ASD,G,207,27,"7,67",
44,Parravicini Fabio   (83),U.S. Marnatese Basket,G,204,27,"7,56",
45,Marini Paolo  (77),G.S. Pall. Castronno,P/G,203,23,"8,83",
46,Caccianiga Stefano   (94),A.S.D. Pol. Daverio,G/A,199,28,"7,11",
47,Di Giovanni Stefano,AS Dil. Baskettiamo Vittuone,P/G,198,14,"14,14",
48,Santinon Marco (80),G.S. Pall. Castronno,C,198,22,"9,00",
49,Dello Nigro Andrea   (87),Virtus Olona ASD,P,198,25,"7,92",
50,Bessi Federico (95),Nelson Somma Lombardo,P,194,27,"7,19",
51,Ferretti Francesco,A.S. Dil. Campus Varese,P,190,26,"7,31",
52,Gianoli Dante (91),ASD Montello,P,189,19,"9,95",
53,Bigoni Jacopo,U.S. Marnatese Basket, ,188,19,"9,89",
54,Grazi Alessandro,Or.Ma. Basket Malnate,P,188,27,"6,96",
55,Colombo Garroni Riccardo,Or.Ma. Basket Malnate, ,186,23,"8,09",
56,Crosignani Pietro,Basket Legnano 91, ,185,18,"10,28",
57,Nava Alessandro (91),ASD Montello,A,185,25,"7,40",
58,Pehar Marin (90),G.S. Pall. Castronno,A/C,180,14,"12,86",
59,Franzini Andrea (86),U.S. Marnatese Basket,A,179,13,"13,77",
60,Tesone Mario  (88),Nelson Somma Lombardo,G,178,27,"6,59",
61,Mandelli (93),ASD Ardens Basket Sedriano, ,177,12,"14,75",
62,Montagner Giacomo (96),BC Arlunese,A/C,174,26,"6,69",
63,Corti Claudio (74),A.S.D. Pol. Daverio, ,168,21,"8,00",
64,Barbieri Roberto   (87),G.S. Pall. Castronno,P,165,22,"7,50",
65,Mazzoni Maicol  (87),A.S.D. Basket Venegono,A,159,21,"7,57",
66,Innocenti Silvio (96),A.S. Dil. Campus Varese,A,152,16,"9,50",
67,Delfi Fabio,Basket Legnano 91, ,149,18,"8,28",
68,Parini Marco,AS Dil. Baskettiamo Vittuone,G,149,19,"7,84",
69,Pizzi Marco  (90),Virtus Olona ASD,C,149,25,"5,96",
70,Margella D.,Pallacanestro Busto, ,148,25,"5,92",
71,Banfi Jacopo  (92),Show Camp Corbetta,G,146,18,"8,11",
72,Conti Luca,Basket Legnano 91, ,144,19,"7,58",
73,Grittini Matteo,Basket Legnano 91, ,143,15,"9,53",
74,Giuffrè Simone  (93),Show Camp Corbetta,A,142,19,"7,47",
75,Porrini Daniele (97),A.S. Dil. Campus Varese, ,140,21,"6,67",
76,Tenconi Fabio  (87),A.S.D. Pol. Daverio,C,139,27,"5,15",
77,Assui Sophony  (95),A.S. Dil. Campus Varese,C,136,22,"6,18",
78,Remonti Paolo (74),G.S. Pall. Castronno,G,135,7,"19,29",
79,Fall S.,Pallacanestro Busto, ,135,25,"5,40",
80,Garavaglia Edoardo,Basket Legnano 91, ,133,20,"6,65",
81,Calloni Matteo  (90),Virtus Olona ASD,A/C,133,23,"5,78",
82,Villa Filippo,Basket Legnano 91, ,133,23,"5,78",
83,D'Andria Michele,Or.Ma. Basket Malnate,A,131,26,"5,04",
84,Pagliuca Marco  (86),Nelson Somma Lombardo,G,128,26,"4,92",
85,Grassi Filippo,U.S. Marnatese Basket, ,127,24,"5,29",
86,Ferrari Davide  (88),ASD Ardens Basket Sedriano,P,126,11,"11,45",
87,Croci Jacopo  (86),A.S.D. Pol. Daverio,A,126,26,"4,85",
88,Quartieri A.,Pallacanestro Busto, ,125,23,"5,43",
89,Perron Niccolò  (94),U.S. Marnatese Basket,P,124,28,"4,43",
90,Zingaro Simone  (93),A.S.D. Basket Venegono,P/G,120,19,"6,32",
91,Vitali Sebastiano,Basket Legnano 91, ,118,13,"9,08",
92,Garavaglia Francesco,Basket Legnano 91, ,117,20,"5,85",
93,Molteni M.,Pallacanestro Busto, ,114,25,"4,56",
94,Tubere Sebastiano   (92),Nelson Somma Lombardo,A,111,27,"4,11",
95,Pavesi Emanuele   (84),U.S. Marnatese Basket,A/C,106,27,"3,93",
96,Parini Davide  (92),Show Camp Corbetta,P/G,105,23,"4,57",
97,Comincini Luca,AS Dil. Baskettiamo Vittuone,A/C,104,22,"4,73",
98,Carnevale Mattia (96),Show Camp Corbetta,A,101,20,"5,05",
99,Malazzi Andrea,AS Dil. Baskettiamo Vittuone,A,101,22,"4,59",
100,Angelucci Luca (91),ASD Montello,G,100,17,"5,88",
101,Conti Nicolò  (86),A.S.D. Pol. Daverio,A,99,15,"6,60",
102,Balsamello Carlo,U.S. Marnatese Basket, ,96,27,"3,56",
103,Canavesi Luca  (95),Virtus Olona ASD,P,96,27,"3,56",
104,Vignati Alessandro (87),BC Arlunese,G,95,21,"4,52",
105,Batanov Alessandro (89),ASD Montello,G,93,11,"8,45",
106,Vignati Riccardo,Basket Legnano 91, ,92,22,"4,18",
107,Corazza Fabio  (94),ASD Ardens Basket Sedriano,G,90,11,"8,18",
108,Milani,ASD Ardens Basket Sedriano, ,89,13,"6,85",
109,Zhao,ASD Montello, ,88,11,"8,00",
110,Monguzzi Gianluca,Basket Legnano 91, ,88,17,"5,18",
111,Vanoni,A.S. Dil. Campus Varese, ,88,25,"3,52",
112,Ivone,G.S. Pall. Castronno, ,86,19,"4,53",
113,Ragazzo Lorenzo (91),A.S.D. Basket Venegono,C,85,16,"5,31",
114,Nachev Tsvenomir   (80),ASD Ardens Basket Sedriano,C,84,9,"9,33",
115,Olgiati Vittorio (94),BC Arlunese,A,84,28,"3,00",
116,Penati Lorenzo,Basket Legnano 91, ,83,11,"7,55",
