"C Lombardia Gold Girone A classifica marcatori in base ai punti
  segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Allegri Alessio,OSL Resistor Garbagnate,G/A,1982,192,542,29,"18,69"
2,Bassani Andrea,NP Gordon Olginate,C,1989,200,496,30,"16,53"
3,Cogliati Emiliano,Posal Sesto,P/G,1994,180,480,30,"16,00"
4,Aliprandi Andrea,Ass. Dil. Pol. Lesmo,A,1994,195,449,29,"15,48"
5,Donadoni Alessio,Pallacanestro Lissone,P,1997,193,446,30,"14,87"
6,Ballarate Matteo,Ass. Dil. Pol. Lierna,G,1989,191,432,28,"15,43"
7,Gurioli Alessandro,Robur Saronno,A,1987,195,431,30,"14,37"
8,Cattaneo Andrea,Cistellum Cislago,A/C,1989,198,429,30,"14,30"
9,Roppo Simone,Cistellum Cislago,G,1989,190,411,30,"13,70"
10,Malberti Mattia,Posal Sesto,A,1994,195,399,30,"13,30"
11,Arui Alessandro,OSL Resistor Garbagnate,P/G,1991,180,397,24,"16,54"
12,Terzaghi Manuel,Arcisate Valceresio,A,1992,201,392,28,"14,00"
13,Longoni Alessandro,Virtus Cermenate,A,1995,194,390,29,"13,45"
14,Corbetta Pierpaolo,Carpe Diem Calolziocorte,A/C,1984,200,378,30,"12,60"
15,Navarro Roberto Corona,Nelson Somma Lombardo,G,1991,186,366,25,"14,64"
16,Marinò Matteo,7 Laghi Gazzada,P,1985,185,362,30,"12,07"
17,Meregalli Mirko,NP Gordon Olginate,A,1989,190,345,28,"12,32"
18,Passerini Federico,7 Laghi Gazzada,P/G,1993,186,342,30,"11,40"
19,Bandera Gianluca,Nervianese 1919,A,1989,193,341,29,"11,76"
20,Pelliccione Paolo,Nervianese 1919,A/C,1982,198,340,28,"12,14"
21,Azzimonti Edoardo,Nelson Somma Lombardo,C,1988,200,335,25,"13,40"
22,Villa Gabriele,Ass. Dil. Pol. Lesmo,C,1985,200,334,18,"18,56"
23,Mangiapane Fabio,OSL Resistor Garbagnate,G,1986,195,333,29,"11,48"
24,Aglio Iacopo,Nelson Somma Lombardo,A,1995,197,328,29,"11,31"
25,Zappa matteo,Ass. Dil. Pol. Lesmo,G,1991,183,324,28,"11,57"
26,Frontini Giovanni,Hydrotherm Casorate,A,1994,195,314,24,"13,08"
27,Paduano Simone,Carpe Diem Calolziocorte,P,1984,180,314,29,"10,83"
28,Bosio Raffaele,Nervianese 1919,A,1991,197,314,29,"10,83"
29,Bossola Davide,Pallacanestro Bernareggio,C,1986,197,312,29,"10,76"
30,Petrosino Lorenzo,Robur Saronno,C,1992,202,312,30,"10,40"
31,Milan Fabrizio,NP Gordon Olginate,A,1987,190,309,30,"10,30"
32,Pedalà Federico,Ass. Dil. Pol. Lierna,G,1990,175,309,30,"10,30"
33,Fanchini Fabio,Arcisate Valceresio,P,1976,176,297,23,"12,91"
34,Maniero Davide,Ass. Dil. Pol. Lesmo,A,1994,184,292,25,"11,68"
