C Lombardia Gold Girone B classifica marcatori in base ai punti  segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Caramatti Renè,Virtus Lumezzane,G/A,1990,192,575,29,"19,83"
2,Bazzoli Riccardo,Pallacanestro Milano,A,1983,198,547,27,"20,26"
3,Casali Luca,Basket Team Pizzighettone,G,1992,192,461,30,"15,37"
4,Lorenzetti Antonio,Argomm Iseo,A,1995,194,461,30,"15,37"
5,Giocondo Giuseppe,Milano 3  Basket Basiglio,G,1989,187,457,30,"15,23"
6,Marelli Davide,Virtus Lumezzane,A,1991,196,457,30,"15,23"
7,Reali Marco Dino,Pallacanestro Milano,A,1981,197,456,30,"15,20"
8,Prestini Gianluigi,Argomm Iseo,A/C,1989,200,443,30,"14,77"
9,Zandalasini Andrea,Omnia Basket Lungavilla,A,1989,192,441,30,"14,70"
10,Falconi Luca,Corona Platina Piadena,G,1991,192,438,25,"17,52"
11,Skara Miroslav,Omnia Basket Lungavilla,C,1990,200,424,24,"17,67"
12,Furlanis Guglielmo,Basket Sarezzo,P/G,1986,190,418,29,"14,41"
13,Pesenti Marco,Basket Sarezzo,G,1983,186,417,30,"13,90"
14,Accini Denis,Sansebasket Cremona,G,1986,192,414,26,"15,92"
15,Galati Gianluca,Ebro Basket,G,1993,190,408,30,"13,60"
16,Negri Alessio,Viadana Basket,C,1989,200,399,29,"13,76"
17,Pairone Nicolas,Basket Team Pizzighettone,A,1987,197,397,23,"17,26"
18,Sala Davide,Aironi Pallacanestro Robbio,G,1982,182,395,29,"13,62"
19,Kam Kader,Aironi Pallacanestro Robbio,A,1987,193,388,29,"13,38"
20,Azzola Marco,Argomm Iseo,G/A,1994,192,384,30,"12,80"
21,Iacono Michael,Milano 3  Basket Basiglio,P/G,1987,185,371,28,"13,25"
22,Becerra Fernando,Nuova Olympia Basket Voghera,G,1981,192,370,23,"16,09"
23,De Guzman Mike,Manerbio Basket,P/G,1993,185,368,30,"12,27"
24,Savazzi Diego,Manerbio Basket,G,1976,193,361,29,"12,45"
25,Teghini Michael,Corona Platina Piadena,P,1992,190,356,30,"11,87"
26,Acquaviva Alessandro,Argomm Iseo,G/A,1982,192,354,30,"11,80"
27,Strotz Raphael,Nuova Pall. Vigevano 1995,C,1993,204,353,30,"11,77"
28,Saccà Roberto,Pallacanestro Milano,G,1987,188,352,22,"16,00"
29,Denti Paolo,Sansebasket Cremona,A/C,1979,202,350,29,"12,07"
30,Bosio Massimiliano,Opera Basket Club,A,1989,196,341,21,"16,24"
31,Franzoni Mattia,Basket Sarezzo,G,1993,192,336,30,"11,20"
32,Velardo Claudio,Opera Basket Club,A/C,1981,192,336,30,"11,20"
33,Colombo Marco,Milano 3  Basket Basiglio,A,1989,194,335,29,"11,55"
34,Pedrini Simone,Basket Team Pizzighettone,A/C,1986,196,331,24,"13,79"
35,Sanlorenzo Valerio,Nuova Olympia Basket Voghera,C,1983,202,331,27,"12,26"
36,Baroni Mattia,Basket Sarezzo,A/C,1987,200,324,29,"11,17"
37,Campana Francesco,Aironi Pallacanestro Robbio,G,1992,180,324,30,"10,80"
38,Galletta Giovanni,Ebro Basket,P,1994,180,315,29,"10,86"
39,Mambaye Diallo,Corona Platina Piadena,A/C,1993,205,314,28,"11,21"
40,Moalli Dario,Aironi Pallacanestro Robbio,C,1991,193,314,30,"10,47"
41,Mascadri Stefano,Corona Platina Piadena,P,1993,188,309,29,"10,66"
42,Cattaneo Nicolò,Omnia Basket Lungavilla,G,1988,182,308,25,"12,32"
43,Fusella Pietro,Opera Basket Club,C,1989,202,308,27,"11,41"
44,Omoregie Precious,Corona Platina Piadena,C,1991,198,305,25,"12,20"
45,Olivieri Simone,Virtus Lumezzane,C,1992,200,303,28,"10,82"
46,Arioli Federico,Milano 3  Basket Basiglio,A/C,1990,197,297,28,"10,61"
47,Faccioli Riccardo,Manerbio Basket,C,1982,197,296,25,"11,84"
48,Borroni Marco,Ebro Basket,A,1992,195,294,25,"11,76"
49,Werlich Stefano,Aironi Pallacanestro Robbio,A,1985,190,293,24,"12,21"
50,Spirolazzi Davide,Milano 3  Basket Basiglio,A,1992,195,288,27,"10,67"
51,Ogliaro Nicola,Nuova Olympia Basket Voghera,G/A,1979,190,285,29,"9,83"
52,Delle Donne Andrea,Manerbio Basket,P/G,1989,190,284,26,"10,92"
53,Negri Claudio,Nuova Pall. Vigevano 1995,A,1985,198,279,28,"9,96"
54,Di Gianvittorio Simone,Opera Basket Club,P,1992,180,276,23,"12,00"
55,Tandoi Nicolò,Milano 3  Basket Basiglio,G,1993,188,275,30,"9,17"
56,Scartezzini Francesco,Opera Basket Club,A,1992,190,270,30,"9,00"
57,Colombo Andrea,Opera Basket Club,G,1995,185,263,29,"9,07"
58,Quaroni Mauro,Nuova Pall. Vigevano 1995,P,1979,193,254,28,"9,07"
59,Leone Andrea,Argomm Iseo,P,1994,186,245,22,"11,14"
60,Anzivino Roberto,Sansebasket Cremona,A,1984,200,245,23,"10,65"
61,Marenzi Marco,Corona Platina Piadena,G/A,1991,195,242,30,"8,07"
62,Cristelli Davide,Nuova Olympia Basket Voghera,A,1977,204,235,30,"7,83"
63,Sparovic Petar,Omnia Basket Lungavilla, , , ,232,14,"16,57"
64,Perego Andrea,Pallacanestro Milano,P,1987,183,232,25,"9,28"
65,Bellotti Giorgio,Pallacanestro Milano,C,1990,205,228,24,"9,50"
66,Finazzi Alberto,Nuova Olympia Basket Voghera,A,1987,194,217,29,"7,48"
67,Moretti Mattia,Sansebasket Cremona,C,1993,203,217,29,"7,48"
68,Piermattei Federico,Omnia Basket Lungavilla,G,1989,189,216,26,"8,31"
69,Bertuzzi Corrado,Basket Team Pizzighettone,P/G,1992,187,216,28,"7,71"
70,Piovani Matteo,Ebro Basket,C,1989,193,209,28,"7,46"
71,Pozzi Jacopo,Nuova Pall. Vigevano 1995,A,1987,200,207,17,"12,18"
72,Albertario Luca,Omnia Basket Lungavilla,A,1987,192,206,27,"7,63"
73,Moruzzi Alfredo,Manerbio Basket,A,1980,193,204,18,"11,33"
74,Fontana Marco,Ebro Basket,P,1989,190,203,30,"6,77"
75,Benevelli Francesco,Nuova Pall. Vigevano 1995,G,1988,190,200,13,"15,38"
76,Mason Jacopo,Basket Sarezzo,P/G,1993,185,196,25,"7,84"
