C Lombardia Silver Girone A classifica marcatori in base ai  punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm,P.S.,P.G,Media
1,Pellizzoni Riccardo,Virtus Meda,G,1996,190,503,29,"17,34"
2,Maga Lorenzo,Social Osa,G,1989,186,437,27,"16,19"
3,Schimdt Peter,Bocconi Milano,A,1990,196,407,28,"14,54"
4,Ronconi Alessandro,AS Dil. Morbegno,P/G,1993,180,402,28,"14,36"
5,Deligios Emanuele,Rhinos Robbiate,G,1990,185,399,28,"14,25"
6,Anolli Giovanni,Bocconi Milano,A/C,1996,201,371,29,"12,79"
7,Favero PierAlessandro,AS Dil. Morbegno,G/A,1982,193,337,24,"14,04"
8,Tortorici Tommaso,Soul Basket Milano,A/C,1985,197,328,23,"14,26"
9,Avanzini Patrick,US GB Abbiategrasso,A,1996,195,322,19,"16,95"
10,Iosca Marco,Basketown Milano,G,1994,193,312,25,"12,48"
11,Ferretti Alete,US GB Abbiategrasso,A,1995,196,311,22,"14,14"
12,Seratoni Andrea,CSC BK Cusano,A,1994,192,310,23,"13,48"
13,Buschi Gualtiero,Libertas Cernusco,G/A,1989,195,303,25,"12,12"
14,Prataviera Lorenzo,Crac Bionics Buccinasco,P,1991,182,295,21,"14,05"
15,Feloj Stefano,AS Dil. Morbegno,A/C,1992,195,295,28,"10,54"
16,Meneghel Fabrizio,Rhinos Robbiate,P,1989,180,286,24,"11,92"
17,Seratoni Pietro,CSC BK Cusano,A,1992,188,282,25,"11,28"
18,Kisonga Joao,Crac Bionics Buccinasco,C,1984,xxx,281,19,"14,79"
19,Crippa Riccardo,AS Dil. Morbegno,C,1994,205,276,18,"15,33"
20,Scrima Nicolò,Bocconi Milano,P/G,1993,175,265,27,"9,81"
21,Mazzoli Mattia,Basketown Milano,G,1990,184,262,25,"10,48"
22,Fant Simone,US GB Abbiategrasso,P,1995,175,261,28,"9,32"
23,Leonardi Lorenzo,Soul Basket Milano,G/A,1985,192,251,25,"10,04"
24,Baroncini Enrico,Rondinella Sesto,C,1988,197,251,26,"9,65"
25,Albique Luca,Virtus Meda,A,1997,192,242,26,"9,31"
26,Verucchi Andrea,Social Osa,G,1995,190,237,23,"10,30"
27,Bienati Tommaso,Rondinella Sesto,G,1992,181,236,25,"9,44"
28,Porcello Christian,Rhinos Robbiate,G,1991,180,235,29,"8,10"
29,Almansi Filippo,Soul Basket Milano,G,1993,177,233,29,"8,03"
30,Tengattini Emanuele,Rhinos Robbiate,A/C,1981,200,226,29,"7,79"
31,Zanchetta Giacomo,Libertas Cernusco,P,1989,190,223,26,"8,58"
32,Zappa A.,CSC BK Cusano,xx,xxxx,xxx,223,26,"8,58"
33,De Bellis Luigi,G.S.Q.S.A. Ambrogio,G,1982,180,221,23,"9,61"
34,Monfardini Davide,Basketown Milano,P,1994,180,218,27,"8,07"
35,Rolandi Carlo,G.S.Q.S.A. Ambrogio,C,1991,195,217,25,"8,68"
36,Degradi Daniele,Soul Basket Milano,G/A,1991,186,217,26,"8,35"
37,Maneffa Emanuele,Basketown Milano,G,1996,183,216,25,"8,64"
38,Previtali Paolo,Rhinos Robbiate,G/A,1983,182,214,26,"8,23"
39,Pedrazzini Andrea,Crac Bionics Buccinasco,G/A,1991,xxx,211,20,"10,55"
40,Vocino Riccardo,Rondinella Sesto,P,1991,191,209,28,"7,46"
41,Bossi Luca,US GB Abbiategrasso,G,1996,190,206,23,"8,96"
42,Zambelli Matteo,Rhinos Robbiate,G,1991,186,203,29,"7,00"
43,Mercante Stefano,Libertas Cernusco,P,1987,178,202,22,"9,18"
44,De Andreis Diego,Pall. Rag. S. Pio,A,1981,192,200,17,"11,76"
45,Perdon Daniele,Rhinos Robbiate,A/C,1995,192,200,29,"6,90"
46,Bona Angelo,Bocconi Milano,P/G,1986,188,199,23,"8,65"
