C Silver Girone B classifica marcatori in base ai punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Casati Simone,Az Pneumatica - Cares Cadorago,A,1991,197,614,30,"20,47"
2,Beretta Giorgio,Sportlandia Tradate,G/A,1984,189,466,29,"16,07"
3,Novati Marco,Nuovo BK Groane,A,1994,188,436,30,"14,53"
4,De Tomasi Alessandro,Pall. Cerro Maggiore,A/C,1980,192,435,27,"16,11"
5,Bianchi Stefano,Basketball Gallarate,P/G,1994,175,429,30,"14,30"
6,Poggiolini Riccardo,BK Cassano Magnago,P/G,1986,180,427,27,"15,81"
7,Barbisan Massimo,Basket Rovello,A,1993,192,420,30,"14,00"
8,Ferioli Davide,Virtus Olona,P/G,1989,170,411,30,"13,70"
9,Guidi Alessandro,Aba Legnano,P/G,1996,187,399,22,"18,14"
10,Ciardiello Luca,Basketball Gallarate,G,1984,182,394,30,"13,13"
11,Tacchini Eric,Az Pneumatica - Cares Cadorago,A,1992,194,390,27,"14,44"
12,Rinke Andreas,Aba Legnano,P,1997,182,379,29,"13,07"
13,Kovacic Davorin,Basket Tavernerio,A/C,1990,193,374,30,"12,47"
14,Pariani Marcello,Basketball Gallarate,A/C,1990,205,372,27,"13,78"
15,Moalli Nicolas,BK Cassano Magnago,P,1995,190,368,30,"12,27"
16,Intravia Daniele,Virtus Olona,G/A,1989,188,355,27,"13,15"
17,Bosa Andrea,Basket Rovello,G,1988,188,341,27,"12,63"
18,Binda Matteo,Pallacanestro Castronno,G,1987,187,341,27,"12,63"
19,Sacchetti Tommaso,Sportlandia Tradate,G/A,1993,187,340,29,"11,72"
20,Muraca Alessandro,Sportlandia Tradate,A/C,1992,198,334,29,"11,52"
21,Danesi Emanuele,Ardor Bollate,P,1991,172,331,25,"13,24"
22,Premoli Fabrizio,Pallacanestro Castronno,A,1989,197,330,25,"13,20"
23,Tagliabue Luca,Basket Tavernerio,G,1989,192,322,29,"11,10"
24,Bottinelli Luca,Nuovo BK Groane,A,1989,194,318,28,"11,36"
25,Pifferi Cesare,Team ABC Cantù,A,1984,188,315,30,"10,50"
