D Lombardia Girone C classifica marcatori in base ai punti  segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm,P.S.,P.G,Media
1,Hamadi Giosuè,Baskettiamo Vittuone,G,1996,185,544,24,"22,67"
2,Pizzamiglio Marco,Pall. Vergiate Vikings,G,1991,187,493,26,"18,96"
3,Tannoia Riccardo,Baskettiamo Vittuone,P,1997,175,456,25,"18,24"
4,Scibilia Francesco,Jolly Sport Rho,P,1991,180,409,26,"15,73"
5,Vanoli Davide,Marnatese Basket,P/G,1982,175,391,25,"15,64"
6,Colombini Paolo,BC Arlunese,G,1994,180,381,24,"15,88"
7,Pozzi Michele,Motrix Cavaria,xx,xxxx,xxx,351,26,"13,50"
8,Gatti Simone,BC Arlunese,A/C,1994,190,317,18,"17,61"
9,Maruca Matteo,Campus Varese,A,1997,xxx,314,14,"22,43"
10,Mancuso Fabio,OR.MA. Malnate,A,1991,190,285,26,"10,96"
11,Pavan Dario,Motrix Cavaria,xx,1991,xxx,284,25,"11,36"
12,Mandelli Stefano,Ardens Sedriano,A,1990,192,277,19,"14,58"
13,Crosignani Pietro,Basket Legnano 91,A,1988,xxx,275,19,"14,47"
14,Musazzi Amedeo,Ardens Sedriano,A,1989,186,275,21,"13,10"
15,Brugnoli Matteo,BC Arlunese,P/G,1991,175,272,23,"11,83"
16,Piazza Daniele,Motrix Cavaria,C,1980,xxx,266,25,"10,64"
17,Giuliani Thomas,Motrix Cavaria,xx,1989,xxx,258,24,"10,75"
18,Tubere Sebastiano,Turbigo Basket,A/C,1992,195,256,24,"10,67"
19,Favretto Lorenzo,ASD Montello,C,1988,190,253,23,"11,00"
20,Dalle Ave Simone,OR.MA. Malnate,A,1992,190,238,26,"9,15"
21,Macchi Stefano,Pall. Vergiate Vikings,P/G,1995,181,235,25,"9,40"
22,Cadario Davide,Campus Varese,P,1999,180,230,21,"10,95"
23,Mariani Stefano,Turbigo Basket,G/A,1990,188,229,22,"10,41"
24,Busana Omar,Rams Daverio,P,1987,185,228,23,"9,91"
25,Turano Antonio,Pall. Vergiate Vikings,G,1992,186,221,26,"8,50"
26,Pizzala Davide,CBC Show Camp Corbetta,xx,1996,xxx,220,15,"14,67"
27,Forget Marku,Turbigo Basket,C,1992,202,217,21,"10,33"
28,Mirelli Edoardo,Pall. Vergiate Vikings,P,1991,175,217,26,"8,35"
29,Franzini Andrea,Marnatese Basket,A,1986,190,213,22,"9,68"
30,Rapetti Elia,Pall. Vergiate Vikings,A/C,1991,192,213,26,"8,19"
31,Faggiani Stefano,Ardens Sedriano,P,1987,186,211,20,"10,55"
32,Mandelli Marco,Jolly Sport Rho,A,1977,190,211,23,"9,17"
33,Lucarelli Cristiano,OR.MA. Malnate,C,1976,203,211,25,"8,44"
34,Tonella Roberto,CBC Show Camp Corbetta,xx,1995,xxx,205,16,"12,81"
35,Stasi Riccardo,Jolly Sport Rho,A,1986,190,201,25,"8,04"
36,Mottini Andrea,Campus Varese,A,1999,198,199,23,"8,65"
37,Marcon Davide,Marnatese Basket,G/A,1994,185,199,26,"7,65"
38,Vitali Sebastiano,Basket Legnano 91,P,1990,xxx,190,20,"9,50"
39,Pellegrini Daniele,Rams Daverio,A,1986,191,182,25,"7,28"
40,Angelucci Luca,ASD Montello,G,1991,182,181,19,"9,53"
41,Conti Nicolò,Rams Daverio,A,1991,186,179,22,"8,14"
42,Corti Claudio,Rams Daverio,C,1974,201,178,24,"7,42"
43,Polloni Giacomo,Jolly Sport Rho,A,1990,190,173,21,"8,24"
44,D'Obici Alberto,Jolly Sport Rho,G,1979,180,169,18,"9,39"
45,Rossi Riccardo,Marnatese Basket,A,1997,193,168,21,"8,00"
46,Ambrosini Akeem,Campus Varese,G,1998,188,168,23,"7,30"
47,Caccianiga Stefano,Rams Daverio,A,1994,190,167,17,"9,82"
48,Giussani Filippo,ASD Montello,A,1985,190,165,20,"8,25"
49,Cattalani Andrea,Campus Varese,P,1996,xxx,164,14,"11,71"
50,Penati Lorenzo,Basket Legnano 91,A,1986,xxx,164,20,"8,20"
51,Vignati Alessandro,BC Arlunese,G,1987,184,163,22,"7,41"
52,Varini Federico,Turbigo Basket,G/A,1990,188,162,19,"8,53"
53,Grazi Alessandro,OR.MA. Malnate,P/G,1991,178,153,25,"6,12"
54,Bosello Davide,Rams Daverio,G,1994,188,150,24,"6,25"
55,Zaho Weijing,ASD Montello,G,1997,188,147,24,"6,13"
56,Villa Filippo,Basket Legnano 91,A,1995,xxx,143,18,"7,94"
57,Tenconi Fabio,Rams Daverio,C,1987,203,143,21,"6,81"
58,Croci Jacopo,Rams Daverio,A,1986,192,143,22,"6,50"
59,Businelli Davide,Marnatese Basket,C,1997,193,142,24,"5,92"
60,Viganò Umberto,CBC Show Camp Corbetta,xx,1997,xxx,141,15,"9,40"
61,Chiaia Marco,Baskettiamo Vittuone,A/G,1996,185,139,24,"5,79"
62,Molgora Davide,Baskettiamo Vittuone,P,1997,170,137,21,"6,52"
63,Grimaldi Stefano,Ardens Sedriano,,,,136,9,"15,11"
64,Bernasconi Pietro,ASD Montello,G,1995,185,135,21,"6,43"
65,Montagner Giacomo,BC Arlunese,A,1996,xxx,135,24,"5,63"
66,D'Andria Michele,OR.MA. Malnate,A/C,1991,192,135,24,"5,63"
67,Carnevale Mattia,CBC Show Camp Corbetta,xx,1996,xxx,133,15,"8,87"
68,Ferrario Marco,Pall. Vergiate Vikings,A/C,1992,194,126,15,"8,40"
69,Porrati Riccardo,Baskettiamo Vittuone,A/G,1988,185,122,23,"5,30"
70,Chiesa Elia,OR.MA. Malnate,G,1993,178,121,10,"12,10"
71,Grassi Filippo,Marnatese Basket,C,1991,197,121,18,"6,72"
72,Zecchillo Simone,Rams Daverio,P,1994,187,121,21,"5,76"
73,Marzorati Davide,ASD Montello,A,1984,190,119,21,"5,67"
74,Gatta Matteo,BC Arlunese,P,1995,178,119,23,"5,17"
75,Moretti Edoardo,Campus Varese,A,1998,191,118,19,"6,21"
76,Galante Daniele,OR.MA. Malnate,P,1996,185,116,19,"6,11"
77,Cappellato Mauro,Motrix Cavaria,G,1985,xxx,116,20,"5,80"
78,Corazza Fabio,Ardens Sedriano,G,1994,184,113,12,"9,42"
79,Ragazzo Davide,Motrix Cavaria,xx,1985,xxx,112,17,"6,59"
80,Fiamberti Marco,Campus Varese,A,1999,188,111,25,"4,44"
81,Garavaglia Francesco,Basket Legnano 91,A,1992,xxx,108,20,"5,40"
82,Ferrantelli Riccardo,Ardens Sedriano,A,1991,192,107,17,"6,29"
83,Baroni Luca,Turbigo Basket,G/A,1994,190,107,19,"5,63"
84,Lesica Nicola,Rams Daverio,G,1994,188,106,11,"9,64"
85,Garini Daniele,Jolly Sport Rho,A,1997,185,106,24,"4,42"
86,Crespi Alberto,Motrix Cavaria,G,1985,xxx,103,22,"4,68"
87,Riva Giacomo,ASD Montello,C,1977,192,102,13,"7,85"
88,Malgrati Davide,Jolly Sport Rho,A,1997,187,100,14,"7,14"
89,Pavesi Emanuele,Marnatese Basket,A/C,1984,191,96,21,"4,57"
90,Garavaglia Edoardo,Basket Legnano 91,G,1992,xxx,94,15,"6,27"
91,Malazzi Andrea,Baskettiamo Vittuone,A,1991,190,94,21,"4,48"
92,Colombo Giacomo,Pall. Vergiate Vikings,A,1995,186,94,23,"4,09"
93,Trentini Claudio,Campus Varese,A,1998,198,94,24,"3,92"
94,Mangini Alessandro,Pall. Vergiate Vikings,A,1994,181,94,26,"3,62"
95,Dal Sasso Michele,ASD Montello,A,1983,185,93,16,"5,81"
96,Oldani Fabio,Baskettiamo Vittuone,C,1994,190,93,25,"3,72"
97,Delfi Fabio,Basket Legnano 91,G,1985,xxx,91,21,"4,33"
98,Pigato Marcello,Motrix Cavaria,P,1992,xxx,91,22,"4,14"
99,Grassi Davide,Ardens Sedriano,G,1994,188,90,14,"6,43"
100,Copellotti Michele,Jolly Sport Rho,xxx,1996,xxx,90,20,"4,50"
101,Paladini Molgora Stefano,Motrix Cavaria,xx,1987,xxx,89,12,"7,42"
102,Parini Davide,CBC Show Camp Corbetta,xx,1992,xxx,89,16,"5,56"
103,Ferrari Lorenzo,Turbigo Basket,A,1990,185,89,17,"5,24"
104,Dello Nigro,OR.MA. Malnate,,,,86,11,"7,82"
105,Armocida Giacomo,ASD Montello,P,1992,182,86,14,"6,14"
106,Crespi Davide,Campus Varese,G,1998,178,86,20,"4,30"
