D Lombardia Girone D classifica marcatori in base ai punti  segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm,P.S.,P.G,Media
1,De Pasquale Manuel,A.S.D. Mojazza,P/G,1989,xxx,487,26,"18,73"
2,Passero Davide,Basket Seregno,G,1994,181,391,24,"16,29"
3,Romanò Alessandro,A.S.D. Mojazza,G,1988,xxx,382,22,"17,36"
4,Riccardi Luca,Forti E Liberi Monza,xx,1990,xxx,359,26,"13,81"
5,Ciccone Stefano,Osal Novate,A,1987,190,355,26,"13,65"
6,Ferrara Luca,Gerardiana Monza,A,1994,xxx,350,23,"15,22"
7,Rigon Davide,Gerardiana Monza,A/C,1995,xxx,329,23,"14,30"
8,Semoli Teobaldo,Basket Seregno,P,1986,185,319,20,"15,95"
9,Sala Alberto,A. Dil. Biassono Basket,A,1992,195,311,24,"12,96"
10,Protti Stefano,ASA Basket Cinisello,G,1987,186,306,23,"13,30"
11,Arosio Luca,A. Dil. Biassono Basket,A,1986,191,293,24,"12,21"
12,Bila Omer,Basket Brusuglio,C,1988,xxx,286,26,"11,00"
13,Binaghi Mauro,San Giuseppe Arese,A/C,1974,194,280,22,"12,73"
14,Binaghi Gabriele,San Giuseppe Arese,A/C,1979,195,270,25,"10,80"
15,Marin Daniele,San Giuseppe Arese,G,1995,181,269,22,"12,23"
16,Mantelli Davide,Team 86 Villasanta,C,1994,203,268,24,"11,17"
17,Veneroni Andrea,ASA Basket Cinisello,A,1983,191,262,24,"10,92"
18,Carrara Mattia,A. Dil. Biassono Basket,G/A,1991,190,256,26,"9,85"
19,Montagna Roberto,ASA Basket Cinisello,A,1983,192,252,19,"13,26"
20,Valassina Andrea,Osal Novate,G,1983,189,252,25,"10,08"
21,Rossi Edoardo,Basket Brusuglio,P/G,1981,xxx,247,25,"9,88"
22,Manzoni Andrea,Basket Cavenago,G,1989,187,245,24,"10,21"
23,Meloni Alessandro,Forti E Liberi Monza,P/G,1993,180,243,24,"10,13"
24,Mungiovì Massimiliano,Team 86 Villasanta,G,1988,185,236,25,"9,44"
25,Ricci Simone,Team 86 Villasanta,P,1984,180,233,25,"9,32"
26,Raffaele Stefano,A.S.D. Mojazza,A/C,1992,xxx,233,25,"9,32"
27,Galimberti Alessio,Team 86 Villasanta,G,1992,187,227,24,"9,46"
28,Molteni Sergio,Forti E Liberi Monza,xx,1985,xxx,224,19,"11,79"
