SQUADRA,P,P.G.,V,P,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
JU.VI.  Cremona,52,26,26,0,1980,1283,697,13,13,0,0
Gilbertina  Soresina,44,26,22,4,2079,1734,345,12,10,1,3
Gamma BK  Segrate,38,26,19,7,1915,1611,304,11,8,2,5
Nova BK Cava  Manara,34,26,17,9,1808,1679,129,9,8,4,5
Ombriano  Basket,32,26,16,10,1732,1645,87,11,5,2,8
Pall.  Tromello,26,26,13,13,1628,1718,-90,8,5,5,8
Pentagono  Trezzano,24,26,12,14,1540,1578,-38,6,6,7,7
Old Socks S.  Martino,22,26,11,15,1566,1673,-107,8,3,5,10
Sanmaurense  Pavia,22,26,11,15,1489,1681,-192,8,3,5,10
Argentia  Gorgonzola,20,26,10,16,1734,1855,-121,4,6,9,7
Pall. MI3  Basiglio,20,26,10,16,1589,1732,-143,6,4,7,9
Vismara  Hoosiers Milano,18,26,9,17,1580,1652,-72,5,4,8,9
Basket  Melzo,8,26,4,22,1486,1785,-299,2,2,11,11
Basket  Pioltello,4,26,2,24,1419,1919,-500,2,0,11,13
D Lombardia  Girone F
,,,,,,,,,,,
Play Off,,,,,,,,,,,
Salvezza  Diretta,,,,,,,,,,,
Play Out,,,,,,,,,,,
Retrocessione  Diretta,,,,,,,,,,,
