D Lombardia Girone D classifica marcatori in base ai punti  segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Grimaldi Stefano,Ardens Sedriano Basket,G,1987,186,522,26,"20,08"
2,Moscatelli Simone,Oratorio Malnate,A,1976,195,500,25,"20,00"
3,Rondena Federico,Hydrotherm Busto Arsizio,P,1981,185,447,25,"17,88"
4,Sandrinelli Luca,Limax Clivio,A,1997,xxx,384,25,"15,36"
5,Dalle Ave Simone,Oratorio Malnate,A,1992,190,393,26,"15,12"
6,Vanoli Davide,Marnatese Basket,P/G,1982,175,391,26,"15,04"
7,Moltalbetti Matteo,Virtus Olona,A/C,1990,194,376,23,"16,35"
8,Mandelli Stefano,Ardens Sedriano Basket,A,1990,192,370,26,"14,23"
9,Pavan Dario,Motrix Cavaria,C,1991,xxx,336,22,"15,27"
10,Ferioli Davide,Virtus Olona,P/G,1989,170,322,24,"13,42"
11,Pizzamiglio Marco,Pall. Vergiate Vikings,G,1991,187,322,25,"12,88"
12,Pozzi Michele,Motrix Cavaria,A,1980,xxx,313,25,"12,52"
13,Azzimonti Edoardo,Hydrotherm Busto Arsizio,C,1988,200,306,22,"13,91"
14,Cantarelli Davide,Limax Clivio,G/A,1991,xxx,302,26,"11,62"
15,Spertini Alessandro,Campus Varese,P,1998,174,299,25,"11,96"
16,Preatoni Vittorio,Hydrotherm Busto Arsizio,G/A,1992,190,294,26,"11,31"
17,Portaluppi Nicolò,Hydrotherm Busto Arsizio,A,1991,192,292,26,"11,23"
18,Corsaro Gioele,Pall. Vergiate Vikings,A,1996,191,272,23,"11,83"
19,Palladini Alessio,Virtus Olona,A,1989,192,269,25,"10,76"
20,Faggiani Stefano,Ardens Sedriano Basket,P,1987,186,256,25,"10,24"
21,Pavesi Alessandro,Virtus Olona,A,1990,193,255,24,"10,63"
22,Milione Federico,Pall. Vergiate Vikings,G,1996,178,252,25,"10,08"
23,Crespi Alberto,Motrix Cavaria,G,1985,xxx,252,26,"9,69"
24,Sallemi Daniele,Pallacanestro Gavirate,A/C,1994,191,251,22,"11,41"
25,Marin Davide,San Giuseppe Arese,P,1994,175,250,25,"10,00"
26,Trentini Claudio,Campus Varese,A,1998,198,244,25,"9,76"
27,Intravaia Daniele,Virtus Olona,G,1989,188,241,23,"10,48"
28,Pelusi Alessandro,Libertas Vanzago,A,1996,xxx,240,20,"12,00"
29,Mancuso Fabiano,Oratorio Malnate,A,1991,190,239,26,"9,19"
30,Crespi Davide,Campus Varese,G,1998,178,235,23,"10,22"
31,Marin Daniele,San Giuseppe Arese,G,1995,181,229,18,"12,72"
32,Binaghi Mauro,San Giuseppe Arese,A/C,1974,194,229,22,"10,41"
33,Piazza Daniele,Motrix Cavaria,C,1980,xxx,228,23,"9,91"
34,Favretto Lorenzo,Montello 1982,C,1988,190,225,23,"9,78"
35,Didonè Davide,Limax Clivio,G,1997,180,220,25,"8,80"
36,Tesone Mario,Marnatese Basket,G,1988,189,211,26,"8,12"
37,Castiglioni Stefano,Montello 1982,C,1994,180,206,24,"8,58"
38,Caccetta Luca,Pallacanestro Gavirate,A,1995,196,201,21,"9,57"
39,Grassi Filippo,Marnatese Basket,C,1991,197,201,23,"8,74"
40,Larosa Michael,Libertas Vanzago,C,1980,xxx,197,20,"9,85"
41,Moroni Luca,Motrix Cavaria,P,1992,xxx,192,24,"8,00"
42,Brighina Alexandro,Montello 1982,P,1982,182,189,18,"10,50"
43,Carnevale Bonino,CBC Basketschool Corbetta, , , ,189,19,"9,95"
44,Borsani Davide,Hydrotherm Busto Arsizio,P,1994,180,189,25,"7,56"
45,Parini,CBC Basketschool Corbetta, , , ,188,18,"10,44"
46,Vanzella Simone,Limax Clivio,A,1998,xxx,185,22,"8,41"
47,Marotto Leonardo,Pall. Vergiate Vikings,P/G,1995,177,181,22,"8,23"
48,Viganò,CBC Basketschool Corbetta, , , ,178,16,"11,13"
49,Rossi Riccardo,Marnatese Basket,A,1997,193,176,22,"8,00"
50,Magoga Ludovico,Limax Clivio,A/C,1993,xxx,175,25,"7,00"
51,Bessi Federico,Oratorio Malnate,P,1994,180,172,24,"7,17"
52,Mapelli Giorgio,Oratorio Malnate,A,1978,200,169,9,"18,78"
53,Franzini,Montello 1982, , , ,169,13,"13,00"
54,Polloni Giacomo,Libertas Vanzago,A,1990,xxx,165,20,"8,25"
