"C Gold Lombardia Girone A classifica marcatori in base ai punti
  segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Allegri Alessio,OSL Resistor Garbagnate,G/A,1982,192,511,25,"20,44"
2,Passerini Federico,7 Laghi Gazzada Schianno,P/G,1993,186,475,26,"18,27"
3,Bazzoli Riccardo,Pallacanestro Milano,A,1983,198,474,23,"20,61"
4,Boffini Francesco,Basket Team Mortara,P/G,1985,188,462,25,"18,48"
5,Venturelli Michele,Nuova Pall. Vigevano 1955,G,1982,188,439,26,"16,88"
6,Giocondo Giuseppe,Milano 3 Basket Basiglio,G,1989,187,436,25,"17,44"
7,Corno Alessandro,Nervianese 1919,G,1992,192,434,26,"16,69"
8,Clerici Matteo,Arcisate Valceresio,A/C,1992,195,390,24,"16,25"
9,Cattaneo Nicolò,Basket Team Mortara,G,1988,187,383,26,"14,73"
10,Terzaghi Manuel,7 Laghi Gazzada Schianno,A,1992,201,381,24,"15,88"
11,Cacciani Stefano,Robur Saronno,A,1984,197,368,26,"14,15"
12,Mossi Marco,Nuova Pall. Vigevano 1955,A,1988,200,355,24,"14,79"
13,Di Rauso Giovanni,Nervianese 1919,C,1997,200,353,26,"13,58"
14,Infanti Alessandro,Omnia Basket Pavia,G/A,1985,195,350,25,"14,00"
15,Moraghi Alessandro,7 Laghi Gazzada Schianno,C,1983,197,330,25,"13,20"
16,Jovic Aleksandar,Basket Team Mortara,C,1998,208,327,20,"16,35"
17,Gurioli Alessandro,Robur Saronno,A,1987,198,326,25,"13,04"
18,Colombo Marco,Milano 3 Basket Basiglio,A,1989,194,325,26,"12,50"
19,Gatto Gianmarco,Nervianese 1919,P,1994,182,306,23,"13,30"
20,Cardellini Mattia,Omnia Basket Pavia,P,1991,179,300,26,"11,54"
21,Henderson Marshall James,Pavia Basket ASD,G,1990,190,297,15,"19,80"
22,Iacono Michael,Milano 3 Basket Basiglio,P/G,1987,185,294,23,"12,78"
23,Verri Patrizio,Pavia Basket ASD,A,1988,195,294,24,"12,25"
24,Velardo Claudio,Opera Basket Club,A/C,1981,192,292,25,"11,68"
25,Cugini Lorenzo Ricardo,Omnia Basket Pavia,A,1993,200,290,15,"19,33"
26,Kam Lazeni Abdel Kader,Basket Team Mortara,A,1987,195,290,26,"11,15"
27,Cattaneo Andrea,Cistellum Cislago,A/C,1989,198,289,26,"11,12"
28,Ferri Alessandro,Pavia Basket ASD,A,1993,193,280,25,"11,20"
29,Rulli Gualtiero,Arcisate Valceresio,G,1993,188,277,25,"11,08"
30,Pavone Maurizio,Omnia Basket Pavia,C,1984,197,269,25,"10,76"
31,Arui Alessandro,OSL Resistor Garbagnate,P/G,1991,180,264,24,"11,00"
32,Degrada Stefano,Pavia Basket ASD,G,1983,185,259,26,"9,96"
33,Strotz Raphael,Nuova Pall. Vigevano 1955,C,1993,204,248,24,"10,33"
34,Cappellari Andrea,Opera Basket Club,A/C,1983,193,247,24,"10,29"
35,Malberti Mattia,Cistellum Cislago,A,1994,194,242,23,"10,52"
36,Parietti Matteo,Cistellum Cislago,P,1991,180,239,26,"9,19"
37,Galati Gianluca,Opera Basket Club,G,1993,190,238,22,"10,82"
38,Peroni Riccardo,Nervianese 1919,G,1992,187,232,25,"9,28"
39,Tandoi Niccolò,Milano 3 Basket Basiglio,G,1993,188,231,26,"8,88"
40,Novati Lorenzo,Robur Saronno,P,1985, ,225,21,"10,71"
