"C Gold Lombardia Girone B classifica marcatori in base ai punti
  segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Denarius Darby,Corona Platina Piadena,P/G,1988,191,429,21,"20,43"
2,Pesenti Marco,Sanse Tedeschi Cremona,G,1983,186,413,26,"15,88"
3,Kuvekalovic Borko,Pallacanestro Gardonese,G,1995,199,405,26,"15,58"
4,Accini Denis,Pallacanestro Gardonese,G,1986,192,369,26,"14,19"
5,Sango Franko,Polisportiva Lierna,A/C,1992,xxx,350,18,"19,44"
6,Carrera Alessandro,Evolut Romano Basket,P,1987,183,344,23,"14,96"
7,Cancelli Matteo,Pallacanestro Gardonese,C,1992,197,341,26,"13,12"
8,Lebo Karlo,Mazzoleni BT Pizzighettone,G/A,1996,196,339,25,"13,56"
9,Cesana Gabriele,Carpe Diem Calolziocorte,A,1984,192,334,24,"13,92"
10,Bassani Andrea,NP Gordon Olginate,C,1989,200,330,22,"15,00"
11,Meroni Leonardo,Carpe Diem Calolziocorte,G,1989,185,328,25,"13,12"
12,Faccioli Riccardo,Sanse Tedeschi Cremona,C,1982,197,326,23,"14,17"
13,Delle Donne Andrea,Sanse Tedeschi Cremona,P/G,1989,190,326,23,"14,17"
14,Formentini Filippo,Pallacanestro Lissone,G,1988,195,324,26,"12,46"
15,Mascadri Stefano,Corona Platina Piadena,P,1993,188,321,26,"12,35"
16,Raskovic Marko,Corona Platina Piadena,A/C,1986,190,317,21,"15,10"
17,Marinò Matteo,NP Gordon Olginate,P,1985,180,315,25,"12,60"
18,Antonietti Federico,Corona Platina Piadena,A,1994,198,313,26,"12,04"
19,Villa Gabriele,CSA Agrate,A,1984,198,310,26,"11,92"
20,Conte Gianmarco,Manerbio Basket,G,1997,188,305,26,"11,73"
21,Squarcina Niccolò,Pallacanestro Lissone,A,1983,202,300,25,"12,00"
22,Pedrini Simone,Mazzoleni BT Pizzighettone,A/C,1986,196,295,26,"11,35"
23,Casali Luca,Mazzoleni BT Pizzighettone,G,1992,192,294,24,"12,25"
24,Olivieri Simone,Virtus Lumezzane,C,1992,200,292,26,"11,23"
25,Milan Fabrizio,NP Gordon Olginate,A,1987,190,288,26,"11,08"
26,Bossola Davide,Pallacanestro Bernareggio,C,1990,197,286,26,"11,00"
27,Borghi Gianluca,CSA Agrate,A,1982,195,285,26,"10,96"
28,Marelli Davide,Virtus Lumezzane,A,1991,196,282,21,"13,43"
29,Paduano Simone,Carpe Diem Calolziocorte,P,1984,175,277,26,"10,65"
30,De Bettin Federico,Pallacanestro Bernareggio,P,1994,180,275,26,"10,58"
31,Lugic Lazar,Virtus Lumezzane,A,1998,206,269,24,"11,21"
32,Marenzi Marco,Corona Platina Piadena,G/A,1991,195,268,26,"10,31"
33,Corbetta Pierpaolo,Carpe Diem Calolziocorte,A/C,1984,200,264,25,"10,56"
34,Bosio Raffaele,Libertas Cernusco,A,1991,197,258,19,"13,58"
35,Speronello Davide,Sanse Tedeschi Cremona,G,1995,193,257,19,"13,53"
36,Carrara Giorgio,Evolut Romano Basket,A,1991,204,256,25,"10,24"
37,Collini Riccardo,Pallacanestro Lissone,C,1990,201,242,25,"9,68"
38,Baldini Giacomo,Pallacanestro Bernareggio,P/G,1996,192,240,23,"10,43"
39,Ferri Andrea,Evolut Romano Basket,G,1996,195,231,26,"8,88"
40,Tagliabue Marco,NP Gordon Olginate,C,1986,206,228,23,"9,91"
41,Digiuliomaria Christian,Pallacanestro Bernareggio,C,1979,210,221,18,"12,28"
42,Mercante Stefano,Libertas Cernusco,P,1987,182,220,22,"10,00"
43,Benassi Andrea,Evolut Romano Basket,G,1982,201,217,20,"10,85"
44,Corti Alessandro,Libertas Cernusco,A/C,1984,191,210,23,"9,13"
45,De Leo Giuseppe,Manerbio Basket,A,1995,200,206,19,"10,84"
46,Cogliati Emiliano,CSA Agrate,P/G,1994,177,206,23,"8,96"
47,Biagini Alessandro,Manerbio Basket,C,1994,204,206,24,"8,58"
48,Pozzi Dario,CSA Agrate,P/G,1986,184,205,20,"10,25"
49,Marelli Sandro,Pallacanestro Gardonese,P/G,1991,192,205,25,"8,20"
50,Scekic Nikola,Manerbio Basket,A,1998,206,205,26,"7,88"
51,Rakic Nemanja,Manerbio Basket,G/A,1996,xxx,198,26,"7,62"
52,Bergna Luca,Polisportiva Lierna,A/C,1982,196,193,26,"7,42"
53,Brown Xavier,Polisportiva Lierna,A,1991,xxx,192,24,"8,00"
54,Diminic Mise,Polisportiva Lierna,C,1989,210,188,12,"15,67"
55,Spirolazzi Davide,CSA Agrate,A,1992,195,187,17,"11,00"
56,Benjamin Asamoah,Virtus Lumezzane,G,1994,188,185,26,"7,12"
57,Binaghi Giovanni,Libertas Cernusco,A/C,1998,200,184,24,"7,67"
58,Ballarate Matteo,Polisportiva Lierna,G,1989,191,180,16,"11,25"
59,Deleidi Lorenzo,Evolut Romano Basket,G,1992,185,169,26,"6,50"
60,Veronesi Filippo,Virtus Lumezzane,A,1995,188,169,26,"6,50"
61,Campana Mattia,CSA Agrate,A,1986,194,167,23,"7,26"
62,Gerli Emanuele,Mazzoleni BT Pizzighettone,A/C,1990,195,163,23,"7,09"
63,Cogliati Raffaele,Libertas Cernusco,A,1983,195,163,23,"7,09"
64,Viganò Claudio,Pallacanestro Lissone,G,1993,185,163,26,"6,27"
65,Zambelli Federico,NP Gordon Olginate,P,1990,180,161,26,"6,19"
66,Sirtori Emanuele,Libertas Cernusco,A/C,1994,201,156,20,"7,80"
67,Sartora Marco,Virtus Lumezzane,A,1991,198,156,24,"6,50"
68,Coppi Carlo,Pallacanestro Gardonese,C,1981,201,155,22,"7,05"
69,Mornati Filippo,Pallacanestro Lissone,G,1998,184,154,23,"6,70"
70,Aromando Simone,Pallacanestro Bernareggio,G,1997,190,153,20,"7,65"
71,Meroni Marco,Carpe Diem Calolziocorte,C,1993,200,148,25,"5,92"
72,Persico Benedetto,Carpe Diem Calolziocorte,C,1985,200,146,25,"5,84"
73,Raimondi Mauro,Evolut Romano Basket,G,1988,183,137,23,"5,96"
74,Roberti Marco,Mazzoleni BT Pizzighettone,P/G,1985,190,135,22,"6,14"
75,Antelli Luca,Libertas Cernusco,G,1989,182,133,23,"5,78"
76,Caramatti Renè,Virtus Lumezzane,G/A,1990,192,131,7,"18,71"
77,Balogun Michael,Pallacanestro Gardonese,G,1994,195,130,24,"5,42"
78,Mazzanti Enrico,Evolut Romano Basket,G,1995,192,129,19,"6,79"
79,Severgnini Stefano,Mazzoleni BT Pizzighettone,A/C,1995,202,129,25,"5,16"
80,Zanchetta Giacomo,Libertas Cernusco,P,1989,190,125,24,"5,21"
81,Riva Ivan,NP Gordon Olginate,A,1983,200,124,14,"8,86"
82,Pastori Manuel,Pallacanestro Bernareggio,A/C,1996,201,124,22,"5,64"
83,Ricci Simone,Evolut Romano Basket,P,1984,180,124,25,"4,96"
84,Gatti Matteo,Pallacanestro Lissone,P,2000,188,122,23,"5,30"
85,Rota Riccardo,CSA Agrate,G,1988,180,122,25,"4,88"
86,Cocchi Filippo,Sanse Tedeschi Cremona,A/C,1994,200,119,26,"4,58"
87,Colnago Paolo,NP Gordon Olginate,A,1991,193,118,11,"10,73"
88,Bodini Riccardo,Sanse Tedeschi Cremona,A,1996,190,116,22,"5,27"
89,Delibasic Milos,Corona Platina Piadena, ,1995, ,112,12,"9,33"
90,Menez Crissaf Bolelli,Pallacanestro Bernareggio,G,1998, ,111,23,"4,83"
91,Fornara Federico,Polisportiva Lierna,G,1997,188,111,25,"4,44"
92,Moretti Mattia,Sanse Tedeschi Cremona,C,1993,203,110,25,"4,40"
93,Rusconi Martino,Carpe Diem Calolziocorte,A/C,1995,198,108,25,"4,32"
94,Ariazzi Matteo,Corona Platina Piadena,G,1997,190,108,26,"4,15"
95,Danelutti Julien Enrico,Polisportiva Lierna,A/C,1988,198,106,13,"8,15"
96,Rossi Federico,Mazzoleni BT Pizzighettone,P,1995,178,103,22,"4,68"
97,Villa Nicholas,Polisportiva Lierna,P,1995,185,103,22,"4,68"
98,Bertuzzi Corrado,Mazzoleni BT Pizzighettone,P/G,1992,187,101,20,"5,05"
99,Di Gianvittorio Simone,Pallacanestro Bernareggio,P,1992,180,101,25,"4,04"
100,Riva Marco,Pallacanestro Lissone,A,1998,196,100,23,"4,35"
101,Bona Angelo,Virtus Lumezzane,P/G,1986,188,99,15,"6,60"
102,Toffali Davide,Pallacanestro Bernareggio,G,1998,190,97,14,"6,93"
103,Grampa Matteo,Polisportiva Lierna,P/G,1991,190,96,12,"8,00"
104,Turelli Matteo,Evolut Romano Basket,C,1997,203,96,26,"3,69"
105,Milanesi Andrea,Virtus Lumezzane,P,1991,186,90,23,"3,91"
106,Catalfamo Ivan,CSA Agrate,P/G,1995,180,88,21,"4,19"
107,Tedeschi Leonardo,Pallacanestro Lissone,P/G,1998,190,87,25,"3,48"
108,Smallwood JR Timothy Lamar,Manerbio Basket,G,1993, ,86,4,"21,50"
109,Degli Agosti Francesco,Sanse Tedeschi Cremona,P,1981,192,84,25,"3,36"
110,De Guzman Mike,Pallacanestro Gardonese,G,1993, ,80,13,"6,15"
111,Barga Juan Manuel,CSA Agrate,G,1994, ,79,11,"7,18"
112,Beretta Matteo,NP Gordon Olginate,C,1987,202,79,25,"3,16"
113,Calò Ruben,Pallacanestro Bernareggio,A,1998,200,74,19,"3,89"
114,Mori Filippo,Corona Platina Piadena,P,1986,190,73,13,"5,62"
115,Assoni Andrea,Corona Platina Piadena,C,1996,195,73,26,"2,81"
116,Iurato Carmelo,Polisportiva Lierna,G,1994,182,70,13,"5,38"
117,Ciancio Tommaso,Carpe Diem Calolziocorte,A,1997,192,69,22,"3,14"
118,Perret Sebastian Rossi,Corona Platina Piadena,A,1989,191,68,9,"7,56"
119,Tavola Diego,NP Gordon Olginate,G,1985,185,66,18,"3,67"
120,Mladjenovic Marko,Pallacanestro Lissone,A/C,1998,201,64,24,"2,67"
121,Roppo Simone,Libertas Cernusco,G,1989,190,62,9,"6,89"
122,Scekic Novica,Manerbio Basket, , , ,58,7,"8,29"
123,Cipelletti Luca,Mazzoleni BT Pizzighettone,P,1990,190,58,21,"2,76"
124,Brunelli Marco,Manerbio Basket,A,1999,192,58,22,"2,64"
125,Galletti Baccio,Libertas Cernusco,G/A,1998,195,57,22,"2,59"
126,Mitrovic Bojan,Virtus Lumezzane,G,1998,200,57,24,"2,38"
127,Molteni Marco,Polisportiva Lierna,A/C,1983,197,53,8,"6,63"
128,Vidakovic Dalibor,Virtus Lumezzane,A,1998,xxx,52,20,"2,60"
129,Manini Daniele,Mazzoleni BT Pizzighettone,P/G,1998,190,52,22,"2,36"
130,Vecerina Simone,Pallacanestro Bernareggio,P/G,1999,190,47,16,"2,94"
131,Pedretti Andrea,Pallacanestro Gardonese,P,1996,170,47,21,"2,24"
132,Gualandris Luca,Evolut Romano Basket,G,1984,185,47,22,"2,14"
133,Marelli Giovanni,CSA Agrate,G,1997,xxx,44,24,"1,83"
134,Pilati Simone,Pallacanestro Gardonese,A,1992,195,43,22,"1,95"
135,Meregalli Mirko,NP Gordon Olginate,A,1989,190,40,4,"10,00"
136,Demereck Morse,Pallacanestro Lissone,G,1998,184,38,18,"2,11"
137,Ferrari Federico,Pallacanestro Gardonese,G,1996,188,38,20,"1,90"
138,Pizzul Paolo,CSA Agrate,A,1996,xxx,38,21,"1,81"
139,Atienza Brentel,Manerbio Basket,P,1999,165,38,25,"1,52"
140,Rakic Kristijan,Corona Platina Piadena,G,1998,188,36,23,"1,57"
141,Fontana Stefano,Corona Platina Piadena,A,1995,193,36,24,"1,50"
142,Dedè Matteo Andrea,CSA Agrate,A/C,1996,192,35,17,"2,06"
143,Pirovano Nicolò,Carpe Diem Calolziocorte,A,1996,194,35,25,"1,40"
144,Campeggi Riccardo,Libertas Cernusco,A,1997,197,32,9,"3,56"
145,D'Ambrosio Michele,Pallacanestro Bernareggio,C,1998,210,30,11,"2,73"
146,Carzaniga Matteo,Libertas Cernusco,G,1997,181,28,7,"4,00"
147,Arosio Daniele,Pallacanestro Lissone,A,1991,201,28,22,"1,27"
148,Superti Nicola,Virtus Lumezzane,G/A,1996,190,27,20,"1,35"
149,Semplici Andrea,Pallacanestro Lissone,A,1998,190,26,14,"1,86"
150,Cotruta Vlasislav,Manerbio Basket,C,1997,198,26,20,"1,30"
151,Albani Angelo Mario,Evolut Romano Basket,C,1980,195,25,8,"3,13"
152,Contini Tommaso,Sanse Tedeschi Cremona,A,1999,196,21,13,"1,62"
153,Bortolani Giordano,Pallacanestro Bernareggio,G,2000, ,20,6,"3,33"
154,Pisacane Luca,Sanse Tedeschi Cremona,P,1997,175,20,17,"1,18"
155,Gnecchi Lorenzo,Carpe Diem Calolziocorte,G,1995,188,20,17,"1,18"
156,Campeggi Tommaso,Libertas Cernusco,A,1997,197,19,10,"1,90"
157,Agazzi Alessandro,Manerbio Basket,A,1998,196,19,18,"1,06"
158,Brunelli Luca,Pallacanestro Gardonese,A,1995,198,18,13,"1,38"
159,De Marzi Matteo,Libertas Cernusco,xxx,1999,xxx,17,9,"1,89"
160,Siccardo,Libertas Cernusco, , , ,11,2,"5,50"
161,Carrara Riccardo,Pallacanestro Bernareggio, ,1998, ,11,6,"1,83"
162,Morandi Giovanni,Pallacanestro Lissone,P/G,1998,186,10,9,"1,11"
163,Grimoldi Alberto,Pallacanestro Lissone,P,1998,178,10,9,"1,11"
164,Albenga Alessandro,NP Gordon Olginate,A,1998,192,10,11,"0,91"
165,Ivaniuk Ivan,Mazzoleni BT Pizzighettone,A/C,1997,198,9,13,"0,69"
166,Visnjic Djordje,Manerbio Basket,P/G,2000,198,8,4,"2,00"
167,Floreano Daniele,Carpe Diem Calolziocorte,G,1989, ,8,7,"1,14"
168,Chirico Alberto,NP Gordon Olginate,A,1998,190,8,9,"0,89"
169,Saturnino Roberto,Libertas Cernusco,G/A,1993,190,6,5,"1,20"
170,Giovanzana Andrea,Carpe Diem Calolziocorte,A,1996,190,5,7,"0,71"
171,Sovera Bereket,Pallacanestro Bernareggio,A,1998,203,4,3,"1,33"
172,Baldrighi Dante,Mazzoleni BT Pizzighettone, ,1999, ,4,4,"1,00"
173,Acerbis Marco,Manerbio Basket,G,1998,188,4,4,"1,00"
174,Casadio Filippo,Polisportiva Lierna,P/G,1997,184,4,6,"0,67"
175,Pozzi  Lorenzo,Polisportiva Lierna,A/C,1998, ,4,8,"0,50"
176,Zonca,Libertas Cernusco, , , ,3,1,"3,00"
177,Motta Cristiano,Polisportiva Lierna,G,1999, ,3,2,"1,50"
