"C Lombardia Silver Girone A classifica marcatori in base ai
  punti segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Tacchini Eric,Olimpia Cadorago,A,1992,195,536,30,"17,87"
2,Beretta Giorgio,Pall. Cerro Maggiore,A,1984,189,518,29,"17,86"
3,De Tomasi Alessandro,Pall. Cerro Maggiore,A/C,1980,192,444,29,"15,31"
4,Remonti Marco,Rams Daverio,G/A,1986,192,439,30,"14,63"
5,Lombardi Paolo,Pallacanestro Castronno,P,1980,178,434,29,"14,97"
6,Novati Marco,Groane Lentate,A,1994,188,431,29,"14,86"
7,Ciardiello Luca,Basketball Gallarate,G,1984,182,421,30,"14,03"
8,Turano Federico,GS Casoratese,G,1996,186,415,24,"17,29"
9,Ceppi Stefano,Casa Gioventù Erba,P/G,1996,180,404,29,"13,93"
10,Livio Alberto,Sportlandia Tradate,G,1994,191,385,30,"12,83"
11,Lagger Simone,GS Casoratese,P,1995,192,381,30,"12,70"
12,Ballabio Riccardo,ABC Cantù,P,1998,180,367,29,"12,66"
13,Lanzi Lorenzo,Rovello Porro,P,1992,172,364,29,"12,55"
14,Bisognin Stefano,Sportlandia Tradate,A/C,1992,197,355,29,"12,24"
15,Poggiolini Riccardo,Cassano Magnago,P/G,1986,180,352,25,"14,08"
16,Bosa Andrea,Rovello Porro,G,1988,188,349,30,"11,63"
17,Puricelli Daniele,Basketball Gallarate,C,1994,191,341,30,"11,37"
18,Werlich Stefano,Aironi Pallacanestro Robbio,A,1985,193,340,30,"11,33"
19,Barbisan Massimo,Rovello Porro,A,1993,192,339,25,"13,56"
20,Kapedani Ermal,Rams Daverio,C,1985,207,339,29,"11,69"
21,Lo Biondo Andrea,Amici Pall. Varese,C,1998,206,338,28,"12,07"
22,Spertini Roberto,Verbano Luino,G,1986,186,335,24,"13,96"
23,Mantelli Davide,GS Casoratese,C,1994,205,333,29,"11,48"
24,Sala Davide,Aironi Pallacanestro Robbio,G,1982,187,333,30,"11,10"
25,Cardani Gianluca,Groane Lentate,A,1992,192,332,30,"11,07"
26,Moalli Nicolas,Cassano Magnago,P,1995,190,331,30,"11,03"
