C Lombardia Silver Girone B classifica marcatori in base ai  punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Clementoni Matteo,Bocconi Milano,G,1996,190,527,29,"18,17"
2,Aliprandi Andrea,AS Dil. Lesmo 2004,A,1994,195,465,28,"16,61"
3,Borroni Marco,Ebro Basket,A,1992,195,435,30,"14,50"
4,Tannoia Riccardo,Baskettiamo Vittuone,P,1997,175,434,26,"16,69"
5,Favero Pieralessandro,ASD Morbegno,G/A,1982,193,407,30,"13,57"
6,Feloj Stefano,ASD Morbegno,A/C,1992,195,384,30,"12,80"
7,Iosca Marco,Basketown Milano,G,1994,193,379,28,"13,54"
8,Parlato Riccardo,AS Dil. Lesmo 2004,G,1988,184,374,30,"12,47"
9,Ardizzone Davide,Ebro Basket,G,1988,188,364,30,"12,13"
10,Colombo Andrea,DI.PO. Vimercate,P,1989,185,361,30,"12,03"
11,Ruzzon Andrea,AS Dil. Lesmo 2004,A,1994,194,347,30,"11,57"
12,Cantarin Stefano,MetalGalvano Sesto,A,1993,191,345,26,"13,27"
13,Di Bernardini Jacopo,Basketown Milano,A,1990,195,344,30,"11,47"
14,Passarini Filippo,Ardor Bollate,A,1994,185,341,25,"13,64"
15,Fontana Marco,Ebro Basket,P,1989,182,336,30,"11,20"
16,Ronconi Alessandro,ASD Morbegno,P/G,1993,180,330,30,"11,00"
17,Mantica Fabrizio,Soul Basket Milano,A,1994,197,322,26,"12,38"
18,Crippa Riccardo,ASD Morbegno,C,1994,205,321,22,"14,59"
19,Scroccaro Riccardo,USSA Nova Milanese,G,1997,186,319,29,"11,00"
20,Fabbricotti Matteo,MetalGalvano Sesto,G,1995,187,311,26,"11,96"
21,Leonardi Lorenzo,Soul Basket Milano,G/A,1985,192,309,27,"11,44"
22,Ghiandoni Luca,Social Osa,A,1999,187,301,29,"10,38"
23,Gorla Paolo,Polisportiva Varedo,G,1994,195,298,30,"9,93"
24,Schmidt Peter,Bocconi Milano,A,1990,196,291,25,"11,64"
25,Tonella Roberto,Baskettiamo Vittuone,G,1995,190,289,29,"9,97"
26,Colombo Federico,Basketown Milano,A,1997,190,289,29,"9,97"
27,Caglio Federico,Polisportiva Varedo,P,1994,187,286,30,"9,53"
28,Capaccioli Luca,MetalGalvano Sesto,A,1991,190,279,29,"9,62"
29,Banchelli Carlo,Polisportiva Varedo,G,1998,191,277,30,"9,23"
30,Anelli Nicholas,Rondinella Sesto,A/C,1996,192,273,29,"9,41"
31,Sala Alberto,AS Dil. Lesmo 2004,A,1996,192,272,30,"9,07"
32,Caserini Davide,Soul Basket Milano,P,1991,186,262,30,"8,73"
33,Castiglioni Julian,USSA Nova Milanese,P,1997,177,259,28,"9,25"
34,Botto Tommaso,Basketown Milano,A,1997,186,254,30,"8,47"
35,Lanzani Alessandro,Polisportiva Varedo,C,1982,195,248,28,"8,86"
36,Verucchi Andrea,Social Osa,G,1995,190,244,29,"8,41"
37,Formenti Mattia,DI.PO. Vimercate,G/A,1993,193,242,30,"8,07"
38,Ferrara Luca,Rondinella Sesto,A,1994,195,240,30,"8,00"
39,Piovani Matteo,Ebro Basket,C,1989,193,238,29,"8,21"
40,Hinic Danilo,Social Osa,P,1995,175,237,26,"9,12"
41,Pietrobon andrea,AS Dil. Lesmo 2004,A,1992,188,235,25,"9,40"
42,Malazzi Andrea,Baskettiamo Vittuone,A,1991,190,235,29,"8,10"
43,Fossati Fabrizio,DI.PO. Vimercate,G,1990,185,232,29,"8,00"
44,Degradi Daniele,Soul Basket Milano,G/A,1991,186,227,30,"7,57"
45,Ferretti Federico,Bocconi Milano,G,1996,188,225,27,"8,33"
46,Passoni Marcello,AS Dil. Lesmo 2004,P,1989,177,224,24,"9,33"
47,Rigon Davide,Polisportiva Varedo,C,1995,197,224,26,"8,62"
48,Scrima Nicolò,Bocconi Milano,P/G,1993,175,224,29,"7,72"
49,Carzaniga Tommaso,DI.PO. Vimercate,G,1993,185,221,29,"7,62"
50,Almansi Filippo,Soul Basket Milano,G,1993,177,219,29,"7,55"
51,Bienati Tommaso,Rondinella Sesto,G,1992,184,213,26,"8,19"
52,Grampa Matteo,Ebro Basket,P,1991,188,212,15,"14,13"
53,Zucchetti Simone,Ardor Bollate,C,1999,197,209,27,"7,74"
54,Gatti,Sportiva Boffalorese, , , ,207,20,"10,35"
55,Gomma Alberto,DI.PO. Vimercate,A,1995,193,207,24,"8,63"
56,Kaburi Maurice,DI.PO. Vimercate,C,1982,193,206,28,"7,36"
57,Rolandi Carlo,Ebro Basket,A/C,1991,195,205,30,"6,83"
58,Zappa Andrea,Polisportiva Varedo,A,1994,180,202,26,"7,77"
59,Roselli Marco,MetalGalvano Sesto,G/A,1993,200,198,30,"6,60"
60,Maga Lorenzo,MetalGalvano Sesto,G,1989,185,196,28,"7,00"
61,Zaccuri Francesco,Rondinella Sesto,P/G,1995,183,193,27,"7,15"
62,Vocino Riccardo,Rondinella Sesto,P,1991,191,189,27,"7,00"
63,Maniero Davide,AS Dil. Lesmo 2004,A,1994,184,188,21,"8,95"
64,Gravena Pedro,Ardor Bollate,A,1997,195,188,25,"7,52"
65,Anolli Giovanni,Bocconi Milano,A/C,1996,201,187,13,"14,38"
66,Cagner Marco,Sportiva Boffalorese,A,1991,197,184,21,"8,76"
67,Moalli Dario,Crac Bionics Buccinasco,A/C,1991,193,183,14,"13,07"
68,Baroncini Enrico,Rondinella Sesto,C,1988,197,181,27,"6,70"
69,Chiaia Marco,Baskettiamo Vittuone,A/G,1996,185,181,27,"6,70"
70,Mauri,Sportiva Boffalorese,XXX,xxxx,xxx,177,21,"8,43"
71,Aledjou Moha,Polisportiva Varedo,G/A,1997,192,172,24,"7,17"
72,Bila Ibounga Omer,Social Osa,C,1988,200,172,25,"6,88"
73,Merlo Simone,Rondinella Sesto,G,1994,192,167,28,"5,96"
74,Lucchina Alfredo,ASD Morbegno,P/G,1982,180,167,30,"5,57"
75,Galletta Giovanni,Ebro Basket,P,1994,180,166,13,"12,77"
76,Ventura Roberto,USSA Nova Milanese,C,1998,196,165,29,"5,69"
77,Porrati Riccardo,Baskettiamo Vittuone,P,1999,175,163,27,"6,04"
78,Tremolada Stefano,DI.PO. Vimercate,A,1989,195,160,21,"7,62"
79,Veronelli Paolo,Ardor Bollate,G,1986,183,157,28,"5,61"
80,Benazzi Paolo,Rondinella Sesto,A,1985,195,154,18,"8,56"
81,Natoli Francesco,Rondinella Sesto,G,1996,183,153,27,"5,67"
82,Molgora Davide,Baskettiamo Vittuone,P,1997,170,152,29,"5,24"
83,Monfardini Davide,Basketown Milano,P,1994,180,151,22,"6,86"
84,Prataviera Lorenzo,Crac Bionics Buccinasco,P,1991,182,146,14,"10,43"
85,Albique Luca,USSA Nova Milanese,C,1997,198,144,14,"10,29"
86,Parma Francesco,USSA Nova Milanese,G,1997,194,143,22,"6,50"
87,Pizzarelli Emanuele,Polisportiva Varedo,P/G,1996,186,143,29,"4,93"
88,Varliero Riccardo,Sportiva Boffalorese,A,1989,xxx,136,19,"7,16"
89,Lacchè Edoardo,Soul Basket Milano,A,1995,192,135,29,"4,66"
90,Lazzati Emanuele,Ardor Bollate,A,1982,185,132,29,"4,55"
91,D'Apolito Andrea,USSA Nova Milanese,A,1998,196,131,30,"4,37"
92,Botto Francesco,Basketown Milano,A,1990,188,130,25,"5,20"
93,Rossi Manuel,Ardor Bollate,P,1999,180,129,27,"4,78"
94,Di Giovanni,Baskettiamo Vittuone, , , ,128,10,"12,80"
95,Pizzala Davide,Sportiva Boffalorese,A,1996,xxx,128,11,"11,64"
96,Danesi Emanuele,Ardor Bollate,P,1991,172,128,16,"8,00"
97,Sebastiani Marco,Social Osa,A,1998,185,128,24,"5,33"
98,Gabaldi Mauro,DI.PO. Vimercate,C,1979,193,127,22,"5,77"
99,Valgiovio Giacomo,Basketown Milano,G,1992,180,126,28,"4,50"
100,Piatti Matteo,Bocconi Milano,C,1997,202,125,26,"4,81"
101,Corti Marco,USSA Nova Milanese,C,1998,202,124,19,"6,53"
102,Pirola Alessandro,AS Dil. Lesmo 2004,P,1994,184,124,29,"4,28"
103,Colombo Vittorio,USSA Nova Milanese,G,1998,190,123,27,"4,56"
104,Gottari Giorgio,ASD Morbegno,G/A,1998,xxx,122,26,"4,69"
105,Kisonga Alexandre Joao,Crac Bionics Buccinasco,C,1984,201,120,9,"13,33"
106,Carota Alessandro,USSA Nova Milanese,A,1997,191,120,29,"4,14"
107,Verlato Federico,Polisportiva Varedo,A,1995,195,116,29,"4,00"
108,Darwish Omar,MetalGalvano Sesto,C,1990,198,112,22,"5,09"
109,Colombo Riccardo,Soul Basket Milano,C,1990,xxx,112,28,"4,00"
110,Moschini Andrea,DI.PO. Vimercate,G,1978,177,109,24,"4,54"
111,Viganò Umberto,Sportiva Boffalorese,P/G,1997,192,108,19,"5,68"
112,Manni Emanuele,ASD Morbegno,G/A,1995,190,107,21,"5,10"
113,Banfi Jacopo,Sportiva Boffalorese,A,1992,xxx,106,21,"5,05"
114,Clemente Andrea,MetalGalvano Sesto,G,1995,184,106,28,"3,79"
115,Galli Filippo,MetalGalvano Sesto,G/A,1997,185,101,27,"3,74"
116,Traore William,Social Osa,A,1994,195,101,28,"3,61"
117,Oldani Fabio,Baskettiamo Vittuone,C,1994,190,101,30,"3,37"
118,Laterza,Sportiva Boffalorese,XXX,xxxx,xxx,99,19,"5,21"
119,Gariboldi Stefano,Rondinella Sesto,A,1991,190,97,17,"5,71"
120,Scanziani Matteo,Soul Basket Milano,G,1996,185,97,29,"3,34"
121,Gramola Carlo,Bocconi Milano,A,1994,192,96,23,"4,17"
122,Mitrano Luca,Ardor Bollate,P,1996,185,95,16,"5,94"
123,Sivieri Luca,USSA Nova Milanese,A,1997,194,94,30,"3,13"
124,Baldissara Gabriele,Soul Basket Milano,C,1997,xxx,93,28,"3,32"
125,Ceccariglia Rubel,MetalGalvano Sesto,A,1997,185,90,23,"3,91"
126,Casiraghi Tommaso,MetalGalvano Sesto,A,1997,185,88,25,"3,52"
127,Barella Andrea,Rondinella Sesto,A,1989,191,88,25,"3,52"
128,Mariani Matteo,USSA Nova Milanese,P,1998,190,88,29,"3,03"
129,Airoldi Davide,Social Osa,G,1997,180,86,28,"3,07"
130,Conca Daniel,DI.PO. Vimercate,G,1998,xxx,82,29,"2,83"
131,Romanoni Andrea,Crac Bionics Buccinasco,G,1988,180,81,14,"5,79"
132,Romanato Luca,AS Dil. Lesmo 2004,G,1996,187,81,23,"3,52"
133,Basciu Samuele,Baskettiamo Vittuone,A,1999,185,81,29,"2,79"
134,Casciano Federico,Crac Bionics Buccinasco,A,1991,181,77,12,"6,42"
135,Romei Stefano,Ardor Bollate,P/G,1997,182,76,16,"4,75"
136,Tarabini Nicola,ASD Morbegno,A/C,1996,196,75,21,"3,57"
137,Ferrari Manuel,Sportiva Boffalorese,XXX,xxxx,xxx,71,20,"3,55"
138,Soncini Luca,Bocconi Milano,A/C,1987,198,69,12,"5,75"
139,Ghilardi Virgilio,Basketown Milano,P,1998,175,68,29,"2,34"
140,Bongio Paolo,ASD Morbegno,G,1987,182,68,30,"2,27"
141,De Franco Federico,Sportiva Boffalorese,XXX,xxxx,xxx,67,19,"3,53"
142,Petrosino D.,Basketown Milano,G,1992,184,66,21,"3,14"
143,Mitrano Roberto,Ardor Bollate,A,1993,184,66,26,"2,54"
144,Caglio Andrea,USSA Nova Milanese,P/G,1997,184,65,24,"2,71"
145,Rescia Nicolò,Bocconi Milano,G,1996,188,64,25,"2,56"
146,Calloni Stefano,Ardor Bollate,C,1994,200,62,18,"3,44"
147,Viscusi Cristian,AS Dil. Lesmo 2004,G,1998,182,62,24,"2,58"
148,Abi Mustafà,Bocconi Milano,G/A,1979,196,61,20,"3,05"
