D Lombardia Girone C classifica marcatori in base ai punti  segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Gianotti Davide,Pallacanestro Cabiate,G/A,1990,192,375,26,"14,42"
2,Caggio David,Basket Tavernerio,A,1988,195,342,24,"14,25"
3,Ferloni Simone,Indipendente Appiano,G/A,1992,185,330,26,"12,69"
4,Triulzi Federico,Sportiva BK Sondrio,P,1986,175,307,24,"12,79"
5,Moscatelli Marco,Pallacanestro Albavilla,G/A,1993,185,300,25,"12,00"
6,Oliva Gabriele,Master Carate Brianza,C,1992,195,295,22,"13,41"
7,Colella Alessandro,Forti E Liberi Monza,A,1996,xxx,275,18,"15,28"
8,Galbiati Alberto,ItalControlMeters Villasanta,G,1992,187,270,23,"11,74"
9,Comerio Fabrizio,ABC Lomazzo,P,1985,180,263,23,"11,43"
10,Tagliabue Luca,Basket Tavernerio,G,1989,192,258,23,"11,22"
11,Mariani Marco,Gerardiana Monza,A/C,1993,xxx,254,22,"11,55"
12,Spreafico Alessandro,Pallacanestro Cabiate,G,1990,185,248,20,"12,40"
13,Carolo Marco,Pallacanestro Cabiate,A,1989,202,245,24,"10,21"
14,Pentchev Bogdan,Sportiva BK Sondrio,C,1986,185,242,25,"9,68"
15,Turati Tommaso,Pallacanestro Como,A/C,1996,192,241,23,"10,48"
16,Passero Davide,Basket Biassono,G,1994,180,237,20,"11,85"
17,Filizietti Matteo,Indipendente Appiano,C,1997,192,233,26,"8,96"
18,Castelli Carlo,S. Ambrogio Mariano,G,1987,185,222,24,"9,25"
19,Mungiovì Massimiliano,ItalControlMeters Villasanta,G,1988,185,220,23,"9,57"
20,Arrigoni Marco,Indipendente Appiano,G,1997,183,220,25,"8,80"
21,Chessa Alessandro,ItalControlMeters Villasanta,G,1991,183,218,25,"8,72"
22,Favalessa Fabio,ItalControlMeters Villasanta,G/A,1991,190,216,25,"8,64"
23,Grillo Walter,ItalControlMeters Villasanta,A/C,1991,205,205,20,"10,25"
24,Erba Davide,ABC Lomazzo,C,1995,198,205,25,"8,20"
25,Arosio Luca,Basket Biassono,A/C,1986,191,203,19,"10,68"
26,Favalessa Matteo,ItalControlMeters Villasanta,P,1999,183,202,23,"8,78"
27,Villa Filippo,Master Carate Brianza,P,1992,170,197,17,"11,59"
28,Spiga Andrea,ABC Lomazzo,G,1990,183,197,24,"8,21"
29,Carrara Mattia,Basket Biassono,G/A,1991,190,195,20,"9,75"
30,Baggi Matteo,Sportiva BK Sondrio,G,1994,180,191,23,"8,30"
31,Chittaro Marco,Indipendente Appiano,G,1994,190,190,25,"7,60"
32,Colombo Federico,Master Carate Brianza,G,1991,180,188,21,"8,95"
33,Orsi Luca,Sportiva BK Sondrio,C,1994,200,187,20,"9,35"
34,Ciceri Daniele,Pallacanestro Albavilla,P/G,1996,183,186,23,"8,09"
35,Gianola Stefano,Sportiva BK Sondrio,G,1986,180,183,16,"11,44"
36,Sironi Lorenzo,GS Villaguardia,C,1991,198,182,15,"12,13"
37,Galli Stefano,ABC Lomazzo,G,1983,182,181,26,"6,96"
38,Redaelli Raffaele,Master Carate Brianza,A,1991,180,178,20,"8,90"
39,Credaro Pietro,Sportiva BK Sondrio,P/G,1980,170,176,22,"8,00"
40,Aiani Alberto,Basket Tavernerio,G/A,1985,188,175,22,"7,95"
41,Rinaldi Michele,Pallacanestro Como,A/C,1980,193,169,22,"7,68"
42,Clerici Mattia,ABC Lomazzo,A/C,1989,190,167,24,"6,96"
43,Orsenigo Simone,Pallacanestro Cabiate,C,1989,193,166,24,"6,92"
44,Moscatelli Samuele,Basket Tavernerio,G,1997,187,166,24,"6,92"
45,Auronzi Allessandro,ABC Lomazzo,C,1994,192,165,22,"7,50"
46,Paieri Andrea,Pallacanestro Como,P/G,1982,175,161,19,"8,47"
47,Taormina Alessandro,Basket Tavernerio,P,1990,183,161,24,"6,71"
48,Gorni Cristian,ABC Lomazzo,G/A,1992,187,156,24,"6,50"
49,Arnaboldi Luca,Pallacanestro Albavilla,A,1990,186,151,23,"6,57"
50,Arena Marco,S. Ambrogio Mariano,C,1987,190,148,17,"8,71"
51,Pigoli Roberto,Pallacanestro Cabiate,A,1991,194,148,21,"7,05"
52,Cimino Marco,Pallacanestro Cabiate,P,1994,173,144,24,"6,00"
53,Mazzoni,Indipendente Appiano, , , ,144,26,"5,54"
54,Levati Marco,Gerardiana Monza,P,1993,xxx,140,21,"6,67"
55,Aresi Stefano,Master Carate Brianza,G,1986,186,138,21,"6,57"
56,Salibra Lorenzo,ItalControlMeters Villasanta,P,1990,178,138,24,"5,75"
57,Greggio Eros,GS Villaguardia,G,1987,182,136,15,"9,07"
58,Bloise Mattia,S. Ambrogio Mariano,A/C,1996,185,134,24,"5,58"
59,Croci Andrea,S. Ambrogio Mariano,A,1989,187,130,23,"5,65"
60,Minotti Alessandro,Pallacanestro Como,G/A,1988,185,130,24,"5,42"
61,Cattaneo Federico,Indipendente Appiano,C,1989,195,126,17,"7,41"
62,Gafforelli Tommaso,Pallacanestro Cabiate,P/G,1989,175,125,20,"6,25"
63,Picelli Pietro,Forti E Liberi Monza,A,1995,xxx,124,16,"7,75"
64,Pizzo Andrea,Gerardiana Monza,G,1994,xxx,123,22,"5,59"
65,Broggi Matteo,Pallacanestro Como,G,1994,180,122,18,"6,78"
66,Gianoli Riccardo,Pallacanestro Albavilla,C,1995,195,122,22,"5,55"
67,Bernasconi Luca,GS Villaguardia,G,1992,179,121,14,"8,64"
68,Frigerio Daniele,Gerardiana Monza,P/G,1994,xxx,120,20,"6,00"
69,Bragotto Matteo,Pallacanestro Albavilla,G,1993,182,120,22,"5,45"
70,Mauri Simone,S. Ambrogio Mariano,P,1988,185,118,20,"5,90"
71,Bertolini Paolo,Pallacanestro Albavilla,P,1993,180,117,18,"6,50"
72,Bianchi Francesco,Pallacanestro Albavilla,P,1987,180,116,22,"5,27"
73,Mauri R.,S. Ambrogio Mariano, , , ,114,16,"7,13"
74,Molteni Simone,Master Carate Brianza,A,1987,180,114,22,"5,18"
75,Farina Matteo,Basket Tavernerio,C,1987,199,114,24,"4,75"
76,Silva Marco,Master Carate Brianza,A,1991,190,112,14,"8,00"
77,Testoni Alessio,GS Villaguardia,P/G,1992,173,110,18,"6,11"
78,Trebbi Carlo,Pallacanestro Albavilla,G/A,1992,186,110,19,"5,79"
79,De Buglio Francesco,Sportiva BK Sondrio,C,1991,190,109,15,"7,27"
80,Gaggiano Leopoldo,GS Villaguardia,G,1987,188,107,11,"9,73"
81,Pistillo Marcello,Forti E Liberi Monza,P,1995,xxx,104,16,"6,50"
82,Montagnani Giorgio,Pallacanestro Como,C,1994,195,104,24,"4,33"
83,Sannino Riccardo,Pallacanestro Cabiate,A,1989,190,102,20,"5,10"
84,Cipolla Stefano,S. Ambrogio Mariano,A,1993,191,101,24,"4,21"
85,Amoretti Filippo,Gerardiana Monza,A,1988,xxx,100,13,"7,69"
86,Riccardi Luca,Basket Biassono,G/A,1990,192,99,15,"6,60"
87,Cappelletti Simone,GS Villaguardia,A/C,1993,190,99,16,"6,19"
88,Galimberti Pietro,Forti E Liberi Monza,C,1999,xxx,98,17,"5,76"
89,Gorni Simone,Pallacanestro Como,G,1988,180,98,20,"4,90"
90,Ceriani Federico,Indipendente Appiano,C,1996,192,98,23,"4,26"
91,Corti Gabriele,S. Ambrogio Mariano,A,1988,194,97,25,"3,88"
92,Lanzani,Pallacanestro Cabiate, , , ,95,11,"8,64"
93,Rimoldi Luca,Indipendente Appiano,A,1998,xxx,95,24,"3,96"
94,Vismara Marco,S. Ambrogio Mariano,C,1983,200,95,24,"3,96"
95,Brambilla,Forti E Liberi Monza, , , ,91,15,"6,07"
96,Colombo Gabriele,Gerardiana Monza,A,1995,190,91,18,"5,06"
97,Adesanya Anthony,Master Carate Brianza,G,1987,170,91,21,"4,33"
98,Saini Marco,ItalControlMeters Villasanta,A/C,1995,195,91,22,"4,14"
99,Corti Stefano,Pallacanestro Como,G/A,1997,185,91,22,"4,14"
100,Gallucci Matteo,Forti E Liberi Monza,G,1999,xxx,90,18,"5,00"
101,Chiurato Paolo,ABC Lomazzo,P,1998,175,90,25,"3,60"
102,Spaggiari daniele,Basket Biassono,G/A,1996,180,87,18,"4,83"
103,Bianchi Marco,Pallacanestro Albavilla,A,1997,193,86,24,"3,58"
104,Pessina Andrea,Gerardiana Monza,G/A,1997,xxx,79,18,"4,39"
105,Totaro Daniele,Gerardiana Monza,C,1976,xxx,79,23,"3,43"
106,Tagliabue Samuele,Pallacanestro Cabiate,C,1998,199,79,26,"3,04"
107,Giraldo Marco,Basket Biassono,A/C,1986,197,78,19,"4,11"
108,Ghidini Francesco,Forti E Liberi Monza,A,1999,xxx,76,17,"4,47"
109,Ballerini Carlo,Pallacanestro Albavilla,A/C,1990,192,74,17,"4,35"
110,Marchesi,Pallacanestro Como, , , ,73,8,"9,13"
111,Pirovano Riccardo,Basket Biassono,P,1996,183,73,19,"3,84"
112,De Gianni Matteo,Sportiva BK Sondrio,G,1983,170,73,24,"3,04"
113,Corbetta Andrea,Master Carate Brianza,C,1992,200,72,19,"3,79"
114,Giuffrè,Master Carate Brianza, , , ,72,19,"3,79"
115,Casati Daniele,ItalControlMeters Villasanta,A/C,1997,197,71,19,"3,74"
116,Vivian Marco,ItalControlMeters Villasanta,G,1998,194,70,21,"3,33"
117,Busnelli Samuele,Gerardiana Monza,P/G,1997,xxx,69,15,"4,60"
118,Gussoni Edoardo,Master Carate Brianza,A,1995,195,65,12,"5,42"
119,Ghezzi Andrea,Gerardiana Monza,A,1994,xxx,64,11,"5,82"
120,Bettini Luca,Indipendente Appiano,C,1987,200,64,22,"2,91"
121,Pozzi Matteo,S. Ambrogio Mariano,P,1997,180,63,20,"3,15"
122,Faccini Emanuele,Forti E Liberi Monza,P,1998,xxx,61,9,"6,78"
123,Di Tria Ivan,GS Villaguardia,G,1998,170,60,13,"4,62"
124,Frassoni Fabio,Basket Biassono,G/A,1986,187,60,14,"4,29"
125,Bergna Fabio,GS Villaguardia,A/C,1988,194,59,11,"5,36"
126,Buttignol Luca,S. Ambrogio Mariano,G,1996,181,59,21,"2,81"
127,Bignamini Stefano,Pallacanestro Como,P,1990,180,58,23,"2,52"
128,Foschini,Basket Biassono, , , ,57,9,"6,33"
129,Casati Luca,Basket Biassono,G,1993,182,56,18,"3,11"
130,Barazzetta Luca,ItalControlMeters Villasanta,G,1999,194,56,22,"2,55"
131,Zoia Gabriele,ABC Lomazzo,G/A,1992,187,52,10,"5,20"
132,Serni Riccardo,S. Ambrogio Mariano,A,1997,190,51,15,"3,40"
133,Arenella Niccolò,Gerardiana Monza,A,1989,xxx,51,18,"2,83"
134,Frigerio Andrea,Pallacanestro Cabiate,P,1982,185,49,17,"2,88"
135,Passalacqua Nino,GS Villaguardia,P,1989,173,47,14,"3,36"
136,Belotti Andrea,Basket Biassono,G,1997,180,47,18,"2,61"
137,Patriarca Stefano,Sportiva BK Sondrio,G,1993,175,46,19,"2,42"
138,Sormani Riccardo,ItalControlMeters Villasanta,G/A,1997,190,46,21,"2,19"
139,Galbiati,Master Carate Brianza, , , ,45,8,"5,63"
140,Orsi Giuseppe,Sportiva BK Sondrio,C,1999,185,45,9,"5,00"
141,Albonico Tommaso,Basket Tavernerio,A,1989,182,43,20,"2,15"
142,Longatti Pietro,Pallacanestro Como,A,1995,188,42,3,"14,00"
