Serie B Girone A classifica marcatori in base ai punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Bloise Giacomo,Robur Et Fides Varese,P,1990,180,498,28,"17,79"
2,Genovese Salvatore,Fiorentina Basket Scandicci,A,1987,200,470,30,"15,67"
3,Gallazzi Edoardo,Mamy Oleggio Basket,A,1986,200,462,29,"15,93"
4,Boffelli Santiago,Olimpo Basket Alba,A,1983,197,461,28,"16,46"
5,Gatti Nicolò ,Valsesia Basket Borgosesia,A,1991,196,457,29,"15,76"
6,Giarelli Gabriele,US Empolese ASD,A,1993,200,442,30,"14,73"
7,Tassinari Andrea,Sangiorgese S. Giorgio L.,P,1996,182,440,29,"15,17"
8,Centanni Simone,Montecatini Terme Basketball,P/G,1991,186,435,29,"15,00"
9,Sodero Guglielmo,Valsesia Basket Borgosesia,G/A,1993,190,427,30,"14,23"
10,Gigena Mario Alberto,Basket Cecina ASD,A,1977,196,414,28,"14,79"
11,Laudoni Stefano,Urania Milano,A,1989,194,405,25,"16,20"
12,Fontana Edoardo,ASD Basket Golfo Piombino,G/A,1998,193,403,30,"13,43"
13,Grande Alessandro,Fiorentina Basket Scandicci,P,1994,180,399,28,"14,25"
14,Mastrangelo Daniele,Liburnia Basket Livorno,G,1991,188,395,23,"17,17"
15,Arrigoni Marco,Fulgor Omegna,A,1991,200,390,30,"13,00"
16,Hidalgo Shaquille,Mamy Oleggio Basket,G,1994,188,387,28,"13,82"
17,Eliantonio Giacomo,Urania Milano,C,1988,206,378,30,"12,60"
18,Bianconi Corrado,Robur Et Fides Varese,A,1994,202,374,26,"14,38"
19,Paleari Andrea,Urania Milano,C,1981,202,364,22,"16,55"
20,Magrini Mattia,Valsesia Basket Borgosesia,G,1993,190,359,25,"14,36"
21,Ferrarese Simone,Urania Milano,P,1987,184,359,29,"12,38"
22,Galmarini Lorenzo,Montecatini Terme Basketball,C,1995,199,359,30,"11,97"
23,Di Bella Fabio,Omnia Basket Pavia,P,1978,186,348,27,"12,89"
24,Petrucci Marco,Montecatini Terme Basketball,A/G,1992,190,346,30,"11,53"
25,Persico Edoardo,ASD Basket Golfo Piombino,C,1987,200,345,30,"11,50"
26,Lucarelli Jacopo,Fiorentina Basket Scandicci,A,1996,197,343,28,"12,25"
27,Antonietti Luca,Sangiorgese S. Giorgio L.,A,1994,198,342,30,"11,40"
28,Artioli Giorgio,Montecatini Terme Basketball,A/C,1995,200,335,29,"11,55"
29,Iardella Alessio,ASD Basket Golfo Piombino,G,1988,183,334,28,"11,93"
30,Falconi Luca,Sangiorgese S. Giorgio L.,G/A,1991,192,332,29,"11,45"
31,Bianchi Sebastiano,Sangiorgese S. Giorgio L.,G/A,1992,195,331,30,"11,03"
32,Tempestini Tommaso,Etrusca Basket San Miniato,P,1987,180,324,30,"10,80"
33,De Min Thomas,Omnia Basket Pavia,A,1996,203,318,29,"10,97"
34,Bertolini Roberto,Etrusca Basket San Miniato,C,1986,200,315,30,"10,50"
35,Maino Claudio,Olimpo Basket Alba,P/G,1991,180,314,21,"14,95"
36,Delvecchio Fabio,Pall. Moncalieri S. Mauro,A/C,1994,196,314,30,"10,47"
37,Gloria Mirko,Valsesia Basket Borgosesia,A/C,1995,204,310,30,"10,33"
38,Dip Marcelo,Fulgor Omegna,C,1984,205,306,26,"11,77"
39,Nasello Fernando,Etrusca Basket San Miniato,A/C,1995,194,306,30,"10,20"
40,Giannini Filippo,US Empolese ASD,G,1991,184,305,28,"10,89"
41,Berti Simone,Fiorentina Basket Scandicci,P/G,1995,196,305,30,"10,17"
42,Infanti Alessandro,Omnia Basket Pavia,G/A,1985,195,304,22,"13,82"
43,Malbasa Dorde,ASD Basket Golfo Piombino,A,1995,196,302,30,"10,07"
44,Mazzantini Saverio,Omnia Basket Pavia,A,1995,194,301,27,"11,15"
45,Giacomelli Olivier,Etrusca Basket San Miniato,A,1995,198,300,30,"10,00"
46,Gaye Sam,Basket Cecina ASD,C,1996,196,297,30,"9,90"
47,Lenti Giovanni,Sangiorgese S. Giorgio L.,C,1996,200,296,30,"9,87"
48,Giampaoli Andrea,Liburnia Basket Livorno,P/G,1990,185,295,24,"12,29"
49,Procacci Alessandro,ASD Basket Golfo Piombino,P,1994,184,295,29,"10,17"
50,Gallo Paolo,Olimpo Basket Alba,C,1990,200,291,29,"10,03"
51,Terrosi Gianni,US Empolese ASD,P/G,1989,191,291,30,"9,70"
52,Enihe Emanuel,Pall. Moncalieri S. Mauro,C,1998,200,290,28,"10,36"
53,Meini Guido,Montecatini Terme Basketball,P,1979,185,288,30,"9,60"
54,Dell'Agnello Giacomo,Olimpo Basket Alba,A,1994,201,286,19,"15,05"
55,De Ros Guglielmo,Pall. Moncalieri S. Mauro,P/G,1998,185,277,27,"10,26"
56,Spera Andrea,Basket Cecina ASD,C,1996,200,277,30,"9,23"
57,Santolamazza Riccardo,Urania Milano,P,1983,194,276,27,"10,22"
58,Hidalgo Penny,Mamy Oleggio Basket,P,1996,175,275,30,"9,17"
59,Simoncelli Alexander,Fulgor Omegna,P,1986,185,274,22,"12,45"
60,Mazzuchelli Andrea,Fiorentina Basket Scandicci,P,1994,188,273,30,"9,10"
61,Raffaelli Lorenzo,US Empolese ASD,G,1999,190,267,30,"8,90"
62,Salvadori Leonardo,Basket Cecina ASD,A,1993,198,266,30,"8,87"
63,Giorgi Gianluca,Liburnia Basket Livorno,A/C,1995,200,260,24,"10,83"
64,Colombo Stefano,Mamy Oleggio Basket,C,1995,200,257,30,"8,57"
65,Negri Andrea,Urania Milano,G/A,1988,198,255,23,"11,09"
66,Manuelli Daniele,Omnia Basket Pavia,P/G,1994,192,254,30,"8,47"
67,Spatti Alessandro,Mamy Oleggio Basket,A,1995,203,247,21,"11,76"
68,Fratto Francesco,Fulgor Omegna,A,1991,200,245,28,"8,75"
69,Biancani Giuliano,Basket Cecina ASD,P,1984,185,244,30,"8,13"
70,Villa Francesco,Fulgor Omegna,P,1997,183,241,30,"8,03"
71,Banti Diego,Fiorentina Basket Scandicci,C,1983,206,240,29,"8,28"
72,Bianchi Camillo,ASD Basket Golfo Piombino,A,1994,194,232,30,"7,73"
73,Benedusi Niccolò,Fulgor Omegna,A,1988,193,227,28,"8,11"
74,Samoggia Matteo,Omnia Basket Pavia,A,1990,198,226,25,"9,04"
75,Quartuccio Reanto,Valsesia Basket Borgosesia,P,1994,185,217,30,"7,23"
76,Sesoldi Daniele,US Empolese ASD,A,1992,195,214,29,"7,38"
77,Chiriatti Andrea,Etrusca Basket San Miniato,A,1993,198,209,30,"6,97"
78,Turini Lorenzo,Basket Cecina ASD,A,1998,190,200,23,"8,70"
79,Bastoni Fabio,Liburnia Basket Livorno,P,1970,180,200,30,"6,67"
80,Forti Francesco,Basket Cecina ASD,P,1994,183,195,28,"6,96"
81,Soloperto Mattia,Liburnia Basket Livorno,C,1980,210,193,14,"13,79"
82,Rosignoli Davide,Robur Et Fides Varese,C,1988,203,190,30,"6,33"
83,Ondo Mengue Bruno,Fiorentina Basket Scandicci,G/A,1992,193,184,27,"6,81"
84,Draghici Radu,Olimpo Basket Alba,A,1990,192,183,26,"7,04"
85,Santambrogio Marco,Robur Et Fides Varese,P,1988,188,181,29,"6,24"
86,Marusic Andrea,Mamy Oleggio Basket,A,1989,200,180,19,"9,47"
87,Perin Sebastiano,US Empolese ASD,G,1996,187,172,29,"5,93"
88,Lasagni Simone,Basket Cecina ASD,G/A,1994,188,166,19,"8,74"
89,Merletto Daniele,Pall. Moncalieri S. Mauro,P,1993,175,165,15,"11,00"
90,Ianuale Gian Marco,Pall. Moncalieri S. Mauro,A,1996,200,165,27,"6,11"
91,Chiacig Roberto,Liburnia Basket Livorno,C,1974,210,161,14,"11,50"
92,Buffo Alessandro,Pall. Moncalieri S. Mauro,G,1999,180,158,26,"6,08"
93,Pedroni Edoardo,ASD Basket Golfo Piombino,P,1998,190,156,27,"5,78"
94,Squeo Michele,Omnia Basket Pavia,C,1989,206,155,30,"5,17"
95,Bruni Giovanni,Fulgor Omegna,P,1981,185,152,15,"10,13"
96,Callara Riccardo,Montecatini Terme Basketball,A,1996,195,152,26,"5,85"
97,Rossi Filippo,Sangiorgese S. Giorgio L.,P,1997,190,147,30,"4,90"
98,Brigato Kevin,Fulgor Omegna,G,1998,190,145,28,"5,18"
99,Galli Francesco,Montecatini Terme Basketball,P/G,1998,188,143,28,"5,11"
100,Torgano Marco,Fulgor Omegna,A,1991,200,142,18,"7,89"
101,Dello Iacovo Lorenzo,Olimpo Basket Alba,P,1996, ,141,20,"7,05"
102,Zita Andrea,Etrusca Basket San Miniato,P,1991,192,140,30,"4,67"
103,Zugno Cesare,Pall. Moncalieri S. Mauro,P,1998,185,139,29,"4,79"
104,Mascherpa Giulio,Omnia Basket Pavia,P/G, ,185,136,7,"19,43"
105,Scali Guido,Sangiorgese S. Giorgio L.,G,1998,196,136,22,"6,18"
106,De Leone Matteo,Fiorentina Basket Scandicci,A/C,199,198,135,30,"4,50"
107,Giancarli Marco,US Empolese ASD,P,1995,188,134,28,"4,79"
108,Mercante Jacopo,Robur Et Fides Varese,G/A,1990,197,131,15,"8,73"
109,Calzavara Marco,Mamy Oleggio Basket,A,1998,193,131,30,"4,37"
110,Comollo Flavio,Pall. Moncalieri S. Mauro,G,1997,192,131,30,"4,37"
111,Benites Alberto,Etrusca Basket San Miniato,P,1997,182,129,30,"4,30"
112,Bolis Alessio,Montecatini Terme Basketball,G/A,1997,192,127,27,"4,70"
113,Marsili Valerio,US Empolese ASD,C,1987,200,126,15,"8,40"
114,Fazioli Filippo,Omnia Basket Pavia,P,1998,191,125,30,"4,17"
115,Farabegoli Dario,Valsesia Basket Borgosesia,A,1998,200,118,28,"4,21"
116,Botteghi Federico,US Empolese ASD,P, , ,113,13,"8,69"
117,Maruca Matteo,Robur Et Fides Varese,G,1997,186,108,11,"9,82"
118,Ciampaglia Alessandro,Liburnia Basket Livorno,C,1996,202,106,17,"6,24"
119,Liberati Davide,Basket Cecina ASD,P/G,1992,190,105,12,"8,75"
120,Danna Andrea,Olimpo Basket Alba,P,1990,191,104,15,"6,93"
121,Rampone Andrea,Olimpo Basket Alba,A,1992,199,103,21,"4,90"
122,Croci Nicolò ,Robur Et Fides Varese,A,1988,193,102,30,"3,40"
123,Varotta Giuseppe,Liburnia Basket Livorno,P,97,180,100,17,"5,88"
124,Caruso Riccardo,Robur Et Fides Varese,G,2001,185,99,29,"3,41"
125,Baparapè Byram,US Empolese ASD,A,1997,195,92,21,"4,38"
126,Sergio Biagio,Urania Milano,A,1986,198,91,13,"7,00"
127,Lo Biondo Matteo,Mamy Oleggio Basket,A,1997,200,88,26,"3,38"
128,Rossi Manuel,Robur Et Fides Varese,P,1997,185,87,16,"5,44"
129,Di Pizzo Marco,Fulgor Omegna,AC,1998,204,87,23,"3,78"
130,Scroccaro Riccardo,Urania Milano,G,1997,188,87,29,"3,00"
131,Moretti Edoardo,Robur Et Fides Varese,A,1998,198,86,21,"4,10"
132,Guagliardi Alessandro,Olimpo Basket Alba,G/A,1994,193,81,7,"11,57"
133,Neri Matteo,Etrusca Basket San Miniato,G,1998,190,79,29,"2,72"
134,Facchino Danny,Pall. Moncalieri S. Mauro,P,1996,180,78,20,"3,90"
135,Albique Luca,Urania Milano,C,1997,200,77,26,"2,96"
136,Gobbato Enrico,Valsesia Basket Borgosesia,G,1998,195,76,18,"4,22"
137,Creati Filippo,Pall. Moncalieri S. Mauro,G,1998,194,73,17,"4,29"
138,Guerrieri Giacomo,ASD Basket Golfo Piombino,G/A,1992,193,73,30,"2,43"
139,Lasagni Simone,Liburnia Basket Livorno,G,1994,188,71,6,"11,83"
140,Colli Filippo,Olimpo Basket Alba,P,1999,182,71,27,"2,63"
141,Brighi Antonio,Etrusca Basket San Miniato,G/A,1996,192,69,14,"4,93"
142,Negro Marco,Olimpo Basket Alba,A,1993,198,65,21,"3,10"
143,Toso Francesco,Sangiorgese S. Giorgio L.,A,1996,200,65,30,"2,17"
144,Erkmaa Hugo,Fiorentina Basket Scandicci,P,1999,194,61,27,"2,26"
145,Canavesi Matteo,Mamy Oleggio Basket,A,1986,204,60,6,"10,00"
146,Katacovic Adem,Valsesia Basket Borgosesia,A,1996,202,57,7,"8,14"
147,Bianchi Andrea,Pall. Moncalieri S. Mauro,A/C,1996,205,56,17,"3,29"
148,Antonini Alessandro,US Empolese ASD,G,1999,190,54,24,"2,25"
149,Battilana Luca,Sangiorgese S. Giorgio L.,A,1998,194,50,21,"2,38"
150,Dushi Giulio,Sangiorgese S. Giorgio L.,C,1998,200,50,22,"2,27"
151,Crespi Riccardo,ASD Basket Golfo Piombino,C,1997,208,49,19,"2,58"
152,Assui Sophony,Robur Et Fides Varese,C,1996,199,49,24,"2,04"
153,Evotti Francesco,Montecatini Terme Basketball,A,1998, ,46,14,"3,29"
154,Brunelli Marco,Liburnia Basket Livorno,G,1997,190,46,18,"2,56"
155,Capozio Stefano,Etrusca Basket San Miniato,C,1998,197,44,26,"1,69"
156,Bertocchi Edoardo,Pall. Moncalieri S. Mauro,P, , ,42,7,"6,00"
157,Di Diomede Simone,Valsesia Basket Borgosesia,P,1997,198,42,12,"3,50"
158,De Vita Gianmarco,Mamy Oleggio Basket,A,1995,197,42,21,"2,00"
159,Menezes Felipe,Urania Milano,G/A,1998,192,40,18,"2,22"
160,Poti Stefano,US Empolese ASD,G/A,1991,192,39,4,"9,75"
161,Calabrese Leonardo,Olimpo Basket Alba,C,1996,206,39,5,"7,80"
162,Martina Matteo,Valsesia Basket Borgosesia,P,1999,187,39,22,"1,77"
163,Divac Milos,Fiorentina Basket Scandicci,P, , ,34,6,"5,67"
164,Pantosti Maurizio,Liburnia Basket Livorno,P,1998,180,33,17,"1,94"
165,Ianuale Nicolò,Pall. Moncalieri S. Mauro,A,2001,194,31,11,"2,82"
166,Vukoja Vladimir,Liburnia Basket Livorno,P, , ,31,14,"2,21"
167,Gioda Stefano,Olimpo Basket Alba,A,1999,195,30,17,"1,76"
168,Barontini Andrea,Basket Cecina ASD,G,1999,187,30,24,"1,25"
169,Batori Filippo,Liburnia Basket Livorno,A,1997,195,28,8,"3,50"
170,Okon Vincent,Liburnia Basket Livorno,P, , ,22,9,"2,44"
171,Trentini Claudio,Robur Et Fides Varese,A,1998,198,22,10,"2,20"
172,Ouro Bagna Kamal Dine,Valsesia Basket Borgosesia,G,1997,195,22,20,"1,10"
173,Mottini Andrea,Robur Et Fides Varese,G,1989,184,20,8,"2,50"
174,Marotto Giulio,Mamy Oleggio Basket,G/A,1999,191,19,25,"0,76"
175,Bertotti Cristian,Valsesia Basket Borgosesia,G/A,1997,190,17,21,"0,81"
176,Bernardini Alberto,Liburnia Basket Livorno,P, , ,16,8,"2,00"
177,D'Andrea Daniele,Montecatini Terme Basketball,C,1996,204,14,7,"2,00"
178,Bugatti Fabio,Olimpo Basket Alba,A,1988,190,14,13,"1,08"
179,Sedazzari Jacopo,Urania Milano,P,2000, ,14,15,"0,93"
180,Vai  Federico,Robur Et Fides Varese,G/A,1995,195,13,2,"6,50"
181,Berti Leonardo,US Empolese ASD,G,2000,175,12,9,"1,33"
182,Benini Luca,Liburnia Basket Livorno,C,1989,201,11,2,"5,50"
183,Milani Tommaso,Fulgor Omegna,G,1988,190,11,4,"2,75"
184,Pellegrini Sasha,Montecatini Terme Basketball,G,2000,177,11,7,"1,57"
