"Serie B  Girone B
  classifica marcatori in base ai punti segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Venucci Mattia,Raggiosolaris Faenza,P,1990,188,561,30,"18,70"
2,Balanzoni Jacopo,Basket Lecco,C,1993,203,510,28,"18,21"
3,Corral Diego,Pallacanestro Vicenza 2012,C,1986,204,469,28,"16,75"
4,Dagnello Andrea,Pallacanestro Crema,G/A,1991,189,462,30,"15,40"
5,Venturelli Michele,Green Basket Palermo,G,1982,188,434,29,"14,97"
6,Perego Riccardo,Pallacanestro Piacentina,A/C,1981,202,432,30,"14,40"
7,Perez Daniel,Aurora Desio 94,G,1997,187,424,29,"14,62"
8,Pederzini Riccardo,Pallacanestro Piacentina,A,1989,200,423,27,"15,67"
9,Fumagalli Carlo,Aurora Desio 94,P,1996,187,417,30,"13,90"
10,Sacchettini Michael,Tigers Forlì,C,1995,205,405,30,"13,50"
11,Campiello Andrea,Pallacanestro Vicenza 2012,A,1987,200,402,30,"13,40"
12,Perin Marco,Raggiosolaris Faenza,P,1993,185,397,29,"13,69"
13,Svoboda Ariel,Pallacanestro Vicenza 2012,G/A,1985,192,387,29,"13,34"
14,Siberna Giacomo,NP Gordon Olginate,G/A,1996,190,382,30,"12,73"
15,Vico Sebastian,Benedetto XIV 2011 Cento,G,1986,190,377,28,"13,46"
16,Motta Matteo,Basket 2000 Reggio Emilia,A,1992,194,374,29,"12,90"
17,Bossola Davide,Pall. Bernareggio 99,C,1990,197,365,30,"12,17"
18,Piazza Andrea,Virtus Basket Padova,P,1989,189,358,30,"11,93"
19,Benfatto Michele,Benedetto XIV 2011 Cento,C,1985,205,357,26,"13,73"
20,Crosato Enrico,Virtus Basket Padova,A,1985,194,354,30,"11,80"
21,Paolin Francesco,Pallacanestro Crema,G,1995,190,353,28,"12,61"
22,Chiera Adrian,Benedetto XIV 2011 Cento,G,1990,194,348,30,"11,60"
23,De Fabritiis Antonio,Tigers Forlì,G,1990,188,347,30,"11,57"
24,Demartini Daniele,Pallacanestro Vicenza 2012,P,1984,187,345,29,"11,90"
25,Caversazio Edoardo,Pall. Alto Sebino Costa V.,A,1996,200,344,29,"11,86"
26,Filippini Giacomo,Basket Lugo,C,1991,204,343,30,"11,43"
27,De Bettin Federico,Pall. Bernareggio 99,P,1994,180,339,30,"11,30"
28,Rizzitello Nelson,Benedetto XIV 2011 Cento,A,1984,198,337,27,"12,48"
29,Germani Enrico,Basket 2000 Reggio Emilia,A/C,1992,199,333,30,"11,10"
30,Tagliabue Marco,NP Gordon Olginate,C,1986,206,328,25,"13,12"
31,Bassani Andrea,NP Gordon Olginate,C,1989,200,327,30,"10,90"
32,Papa Francesco,Tigers Forlì,A,1995,197,326,28,"11,64"
33,Chiappelli Gioacchino,Raggiosolaris Faenza,A,1991,198,323,29,"11,14"
34,Cacace Alberto,Basket Lecco,A,1996,198,314,27,"11,63"
35,Gorreri Francesco,Pall. Alto Sebino Costa V.,A,1995,198,313,29,"10,79"
36,Fiorito Simone,Aurora Desio 94,A,1991,200,304,29,"10,48"
37,Battisti Matteo,Tigers Forlì,P,1993,182,303,30,"10,10"
38,Rubbini Michele,Basket Lugo,P,1999,185,301,30,"10,03"
39,Carpanzano Gianluca,Tigers Forlì,G,1995,188,297,30,"9,90"
40,Myers Joel,Basket Rimini Crabs,G,1995,184,295,28,"10,54"
41,Fabi Matteo,Basket Lecco,P,1991,188,294,29,"10,14"
42,Tiberti Edoardo,Basket Rimini Crabs,A/C,1997,205,292,30,"9,73"
43,Foiera Francesco,Basket Rimini Crabs,C,1975,207,289,29,"9,97"
44,Iattoni Riccardo,Raggiosolaris Faenza,A,1992,198,287,29,"9,90"
45,Santiago Bruno,Pallacanestro Piacentina,G,1993,188,284,30,"9,47"
46,Cecchetti Alessandro,Green Basket Palermo,C,1991,200,282,20,"14,10"
47,Birindelli Duilio,Pallacanestro Piacentina,A,1984,200,282,30,"9,40"
48,Farioli Massimo,Basket 2000 Reggio Emilia,A/C,197,205,275,30,"9,17"
49,Baldini Giacomo,Pall. Bernareggio 99,P/G,1996,192,273,29,"9,41"
50,Rombaldoni Rodolfo,Pallacanestro Piacentina,G/A,1976,193,269,25,"10,76"
51,Bertolini Luca,Basket 2000 Reggio Emilia,G,1995,192,267,30,"8,90"
52,Stanic Nicolas,Pallacanestro Piacentina,P,1984,180,266,28,"9,50"
53,Miaschi Federico,Virtus Basket Padova,P,2000,195,266,29,"9,17"
54,Signorini Giacomo,Basket Rimini Crabs,A,1998,192,263,29,"9,07"
55,Seravalli Matteo,Basket Lugo,P/G,1991,193,262,18,"14,56"
56,Lombardo Andrea,Green Basket Palermo,A,1990,195,262,28,"9,36"
57,Busetto Paolo,Basket Rimini Crabs,P/G,1996,192,262,30,"8,73"
58,Peroni Michele,Pallacanestro Crema,P/G,1994,190,261,22,"11,86"
59,Canelo Jean Carlos,Virtus Basket Padova,G,1987,188,257,21,"12,24"
60,Sabbadini Alessio,Pall. Alto Sebino Costa V.,A/C,1993,201,257,28,"9,18"
61,Lombardo Giuseppe,Green Basket Palermo,A/C,1983,195,254,30,"8,47"
62,Bortolani Giordano,Pall. Bernareggio 99,G,2000,182,246,24,"10,25"
63,Nobile Claudio,Virtus Basket Padova,C,1982,206,244,29,"8,41"
64,Chinellato Eros,Pallacanestro Vicenza 2012,G,1991,191,243,26,"9,35"
65,Moretti Samuele,Basket Lugo,A,1998,197,238,30,"7,93"
66,Piunti Giorgio,Benedetto XIV 2011 Cento,A/C,1990,206,235,25,"9,40"
67,Poggi Giovanni,Pallacanestro Crema,A/C,1997,202,233,30,"7,77"
68,Todeschini Davide,NP Gordon Olginate,P,1993,189,233,30,"7,77"
69,Mazic Armin,Pall. Alto Sebino Costa V.,G,1993,200,227,19,"11,95"
70,Tinsley Thomas,Basket Lugo,G,1996,189,227,30,"7,57"
71,Gullo Dario,Green Basket Palermo,P,1986,185,220,30,"7,33"
72,Gatto Tommaso,Basket Lugo,A,1996,195,216,28,"7,71"
73,Del Sorbo Pietro,Pallacanestro Crema,G,1985,191,214,28,"7,64"
74,Galassi Matteo,Basket Lugo,G,1998,186,211,29,"7,28"
75,Schiavon Federico,Virtus Basket Padova,A,1988,195,208,30,"6,93"
76,Quartieri Daniele,Basket Lecco,G,1987,195,203,21,"9,67"
77,Strotz Raphael Max,Green Basket Palermo,C,1993,203,202,27,"7,48"
78,Stanzani Silvio,Basket Lugo,C,1996,207,201,29,"6,93"
79,Losi Jordan,Basket 2000 Reggio Emilia,P,1980,180,199,15,"13,27"
