C Gold Lombardia Girone A classifica marcatori in base ai punti  segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm,P.S.,P.G,Media
1,Lorenzetti Antonio,Corona Platina Piadena,G/A,1995,194,406,24,"16,92"
2,Bona Marco,JUVI Cremona,P/G,1989,182,383,19,"20,16"
3,De Guzman Mike,Manerbio Basket,P,1993,186,353,23,"15,35"
4,Bazzoli Riccardo,Pallacanestro Milano,G/A,1983,198,348,21,"16,57"
5,Caramatti Renè,Virtus Lumezzane,G/A,1990,192,346,24,"14,42"
6,Olivieri Simone,Corona Platina Piadena,C,1992,200,338,23,"14,70"
7,Furlanis Riccardo,Argomm Basket Iseo,P/G,1986,188,329,24,"13,71"
8,Mascadri Stefano,Corona Platina Piadena,P,1993,188,326,24,"13,58"
9,Spirolazzi Davide,CSA Agrate,A,1992,195,318,24,"13,25"
10,Pedrini Simone,Mazzoleni BT Pizzighettone,A/C,1986,196,313,23,"13,61"
11,De Vincenzo Giangiacomo,Sanse Tedeschi Cremona,P/G,1994,190,312,23,"13,57"
12,Faccioli Riccardo,Sanse Tedeschi Cremona,C,1982,197,308,22,"14,00"
13,Casali Luca,Mazzoleni BT Pizzighettone,G,1992,192,290,21,"13,81"
14,Ndiaye Ababacar,JUVI Cremona,A,1990,195,289,24,"12,04"
15,Leone Andrea,Argomm Basket Iseo,P,1994,186,285,20,"14,25"
16,Rakic Nemanja,Manerbio Basket,G/A,1996,191,275,23,"11,96"
17,Speronello Davide,Sanse Tedeschi Cremona,G,1995,193,273,24,"11,38"
18,Marmugi Luca,Virtus Lumezzane,A/C,1984,200,272,24,"11,33"
19,Marelli Davide,Virtus Lumezzane,A,1991,196,266,23,"11,57"
20,Foti Fabrizio,Mazzoleni BT Pizzighettone,P,1988,174,262,20,"13,10"
21,Mercante Stefano,Libertas Cernusco,P,1987,182,260,22,"11,82"
22,Guffanti Andrea,Libertas Cernusco,G/A,1987,190,260,23,"11,30"
23,Azzola Marco,Argomm Basket Iseo,G/A,1994,192,254,14,"18,14"
24,Gatti Matteo,Pallacanestro Lissone,P/G,2000,188,251,24,"10,46"
25,Carrera Alessandro,Evolut Romano Basket,P,1987,183,247,20,"12,35"
26,Clementoni Matteo,Pallacanestro Milano,G,1996,187,240,23,"10,43"
27,Milovanovic Milos,Virtus Lumezzane,C,1996,202,240,24,"10,00"
28,Ferri Andrea,Evolut Romano Basket,G,1996,195,237,22,"10,77"
29,Boccasavia Dario,Sanse Tedeschi Cremona,A,1998,197,231,24,"9,63"
30,Degrada Stefano,Pallacanestro Lissone,G,1983,185,230,17,"13,53"
31,Cancelli Matteo,Pallacanestro Gardonese,C,1992,197,229,24,"9,54"
32,Collini Riccardo,Pallacanestro Lissone,C,1990,201,228,23,"9,91"
33,Accini Dennis,Pallacanestro Gardonese,G,1986,194,222,21,"10,57"
