C Gold Lombardia Girone B classifica marcatori in base ai punti  segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm,P.S.,P.G,Media
1,Passerini Federico,7 Laghi Gazzada Schianno,P/G,1993,186,393,24,"16,38"
2,Giocondo Giuseppe,Milano 3 Basket Basiglio,G,1989,187,389,22,"17,68"
3,Gurioli Alessandro,Robur Saronno,A,1987,198,363,23,"15,78"
4,Ciardiello Luca,BasketBall Gallarate,G,1984,182,354,23,"15,39"
5,Grampa Matteo,Cistellum Cislago,P,1991,188,348,24,"14,50"
6,Iacono Michael,Milano 3 Basket Basiglio,P/G,1987,185,340,24,"14,17"
7,Bolzonella Federico,7 Laghi Gazzada Schianno,P/G,1984,185,327,22,"14,86"
8,Politi Filippo,Robur Saronno,C,1980,205,324,23,"14,09"
9,Dronjak Leon,Basket Team Mortara,P/G,1991,182,323,23,"14,04"
10,Benzoni Daniele,Nuova Pall. Vigevano 1955,A/C,1980,194,322,24,"13,42"
11,Sprude Kalvis,Basket Team Mortara,C,1998,204,315,21,"15,00"
12,Clerici Matteo,Arcisate Valceresio,A/C,1992,195,295,21,"14,05"
13,Beretta Giorgio,Pall. Cerro Maggiore,A,1984,189,295,24,"12,29"
14,Pilotti Andrea,Nuova Pall. Vigevano 1955,A,1980,196,293,24,"12,21"
15,Iurato Carmelo,Opera Basket Club,G,1994,182,284,21,"13,52"
16,Verri Patrizio,Nuova Pall. Vigevano 1955,A,1988,195,282,24,"11,75"
17,Corno Alessandro,Nervianese 1919,G,1992,192,278,23,"12,09"
18,Brambilla Luca,Casa Gioventù Erba,A,1996,194,276,24,"11,50"
19,Cacciani Stefano,Robur Saronno,A,1993,197,273,24,"11,38"
20,Lepri Jacopo,Arcisate Valceresio,P,1995,181,271,24,"11,29"
21,Rinaldi Luca Giacomo,Basket Team Mortara,A/C,1996,202,266,23,"11,57"
22,Tandoi Niccolò,Milano 3 Basket Basiglio,G,1993,188,266,24,"11,08"
23,Bellotti Luca,Arcisate Valceresio,P,1993,181,264,18,"14,67"
24,Pontisso Stefano,Basket Team Mortara,G,1999,191,264,23,"11,48"
25,Arioli Federico,Milano 3 Basket Basiglio,A/C,1990,197,262,24,"10,92"
26,Priuli Alessandro,Nervianese 1919,C,1986,200,260,23,"11,30"
27,Pellizzoni Riccardo,Virtus Cermenate,G,1996,190,253,24,"10,54"
28,Hamadi Giosuè,Opera Basket Club,G,1996,185,251,23,"10,91"
29,Ballarate Matteo,Virtus Cermenate,G,1989,191,251,24,"10,46"
30,Boffini Francesco,Nuova Pall. Vigevano 1955,P/G,1985,185,239,22,"10,86"
31,Puricelli Daniele,BasketBall Gallarate,C,1994,191,235,22,"10,68"
32,Frontini Giovanni,Nervianese 1919,A,1994,195,235,24,"9,79"
33,Di Gianvittorio Simone,Cistellum Cislago,P,1992,180,233,24,"9,71"
34,Bisognin Stefano,Arcisate Valceresio,A/C,1992,197,232,23,"10,09"
35,Ceppi Stefano,Casa Gioventù Erba,P/G,1996,180,232,24,"9,67"
36,Smaniotto Simone,Casa Gioventù Erba,P,1991,175,230,22,"10,45"
37,Guidi Alessandro,Nervianese 1919,P/G,1996,187,228,23,"9,91"
38,Gatto Gianmarco,Nervianese 1919,P,1994,182,223,23,"9,70"
39,Scuratti Stefano,Virtus Cermenate,C,1994,203,219,24,"9,13"
40,Cattaneo Andrea,Cistellum Cislago,A/C,1989,198,217,24,"9,04"
41,Ferri Alessandro,Nuova Pall. Vigevano 1955,A,1993,193,213,24,"8,88"
42,Tonella Simone,Opera Basket Club,P/G,1988,190,212,24,"8,83"
43,Velardo Claudio,Opera Basket Club,A/C,1981,191,211,20,"10,55"
44,Matteucci Luca,7 Laghi Gazzada Schianno,A,1984,200,209,23,"9,09"
45,Pariani Marcello,BasketBall Gallarate,A/C,1990,205,209,23,"9,09"
46,Broggi Mattia,Virtus Cermenate,P,1992,180,207,24,"8,63"
47,Moraghi Alessandro,7 Laghi Gazzada Schianno,C,1983,197,204,22,"9,27"
48,Leva Matteo,Robur Saronno,G,1989,189,203,24,"8,46"
49,Vercesi Davide,Opera Basket Club,A,1996,193,196,24,"8,17"
50,Pavone Maurizio,Nuova Pall. Vigevano 1955,C,1984,200,195,22,"8,86"
51,Verri Damiano,7 Laghi Gazzada Schianno,A/C,1985,206,194,22,"8,82"
52,Gatto Cristian,BasketBall Gallarate,G/A,1996,192,193,20,"9,65"
53,Nuclich Simone,Nervianese 1919,G,1998,185,190,24,"7,92"
54,Fedrigo Giacomo,BasketBall Gallarate,A,1990,196,186,23,"8,09"
55,Cappellari Andrea,Cistellum Cislago,A,1983,193,186,24,"7,75"
56,Colombo Marco,Milano 3 Basket Basiglio,A,1989,184,182,22,"8,27"
57,Romanò Giovanni,Casa Gioventù Erba,A,1998,195,175,22,"7,95"
58,Ukaegbu Chris,Virtus Cermenate,A,1996,197,172,24,"7,17"
59,Rossetti Paolo,Pall. Cerro Maggiore,A,1984,200,171,20,"8,55"
60,Bossi Luca,Basket Team Mortara,G,1996,190,170,23,"7,39"
61,Anzivino Roberto,Virtus Cermenate,A,1984,200,166,20,"8,30"
62,Grugnetti Fabio,Nuova Pall. Vigevano 1955,P,1987,173,157,23,"6,83"
63,Colombo Tommaso,Casa Gioventù Erba,A,1993,196,155,22,"7,05"
64,Novati Lorenzo,Robur Saronno,P,1985,189,149,19,"7,84"
65,Angiolini Alberto,7 Laghi Gazzada Schianno,P,1973,188,148,22,"6,73"
66,Bandera Gianluca,Nervianese 1919,A,1989,193,148,22,"6,73"
67,Marranzano Giorgio,Pall. Cerro Maggiore,G/A,1980,186,147,23,"6,39"
