C Lombardia Silver Girone A classifica marcatori in base ai  punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Anolli Giovanni,Bocconi Milano,A/C,1996,201,459,30,"15,30"
2,Botto Tommaso,Basketown Milano,G,1997,186,429,30,"14,30"
3,Meroni Leonardo,Carpe Diem Calolziocorte,G,1989,185,420,30,"14,00"
4,Finzi Lorenzo,Social Osa,G,1999,177,397,30,"13,23"
5,Zambelli Federico,ASD Morbegno,P,1990,180,392,30,"13,07"
6,Colombo Federico,Basketown Milano,G,1997,190,391,30,"13,03"
7,Sala Stefano,O.SA.L. Novate,A,1997,194,388,30,"12,93"
8,Vettore Marco,Posal Sesto S. Giovanni,A/C,1988,198,384,28,"13,71"
9,Benazzi Paolo,Sesto Rondinella,A/C,1985,193,378,28,"13,50"
10,Favero,ASD Morbegno, , , ,354,24,"14,75"
11,Parlato Riccardo,AS Dil. Lesmo 2004,G,1988,184,345,28,"12,32"
12,Maniero Davide,AS Dil. Lesmo 2004,A,1994,188,342,25,"13,68"
13,Piovani Matteo,Ebro Basket,A/C,1989,195,342,30,"11,40"
14,Borroni Marco,Ebro Basket,A,1992,193,331,24,"13,79"
15,Pietrobon Andrea,AS Dil. Lesmo 2004,A,1992,188,316,22,"14,36"
16,Iosca Marco,Basketown Milano,G,1994,193,316,25,"12,64"
17,Colombo Andrea,DI.PO. Vimercate,P,1989,185,308,30,"10,27"
18,Minoggio Matteo,Posal Sesto S. Giovanni,P/G,1994,183,303,29,"10,45"
19,Ghislandi Thomas,Fortitudo Busnago,A/C,1994,195,299,28,"10,68"
20,Ripamonti Jacopo,O.SA.L. Novate,G,1994,178,299,30,"9,97"
21,Beretta Matteo,USSA Nova Milanese,G,1999,190,296,21,"14,10"
22,Pagani Emanuele,Team 86 Villasanta,A,1988,191,293,23,"12,74"
23,Tremolada Stefano,DI.PO. Vimercate,A,1989,185,292,29,"10,07"
24,Milan Fabrizio,Fortitudo Busnago,A,1987,190,290,29,"10,00"
25,Farinatti Luca,Fortitudo Busnago,A/C,1994,195,286,28,"10,21"
26,Viganò Claudio,DI.PO. Vimercate,G,1993,185,285,27,"10,56"
27,Capaccioli Luca,Posal Sesto S. Giovanni,A,1991,190,285,30,"9,50"
28,Feloj Stefano,ASD Morbegno,A/C,1992,195,283,27,"10,48"
29,Perego Davide,AS Dil. Lesmo 2004,A,1996,200,281,27,"10,41"
30,Cigada Matteo,O.SA.L. Novate,P,1996,182,280,29,"9,66"
31,Galletta Giovanni,Ebro Basket,P/G,1994,178,274,26,"10,54"
32,Ravanini Alessandro,Gamma BK Segrate,P,1996,176,274,29,"9,45"
33,Floreano Daniele,Carpe Diem Calolziocorte,A,1989,190,269,28,"9,61"
34,Gurioli Gianluca,Gamma BK Segrate,A,1983,192,267,19,"14,05"
35,Butti Marcello,Carpe Diem Calolziocorte,P,1996, ,262,30,"8,73"
36,Ardizzone Davide,Ebro Basket,G,1988,182,259,24,"10,79"
37,De Bernardini Jacopo,Social Osa,A,1990,195,256,30,"8,53"
38,Formenti Mattia,DI.PO. Vimercate,G/A,1993,193,255,30,"8,50"
39,Zappa Matteo,AS Dil. Lesmo 2004,P/G,1991,185,253,29,"8,72"
40,Colombo Vittorio,USSA Nova Milanese,G,1998,190,249,26,"9,58"
41,Del Vescovo Matteo,Gamma BK Segrate,G,1996,190,249,30,"8,30"
42,Comella Luca,O.SA.L. Novate,A,1997,195,249,30,"8,30"
43,De Marzi Matteo,Social Osa,C,1999,195,245,28,"8,75"
44,Ventura Roberto,USSA Nova Milanese,C,1998,196,239,27,"8,85"
45,Mazzoleni Marco,Fortitudo Busnago,A,1998,185,237,30,"7,90"
46,Fabbricotti Matteo,Sesto Rondinella,P/G,1995,187,236,28,"8,43"
47,Stenco Matteo,Gamma BK Segrate,C,1994,198,234,29,"8,07"
48,Passoni Marcello,Team 86 Villasanta,P,1989,179,232,26,"8,92"
49,Meroni Marco,Carpe Diem Calolziocorte,C,1993,200,231,30,"7,70"
50,Sala Alberto,AS Dil. Lesmo 2004,A,1996,192,228,30,"7,60"
51,Zaccuri Francesco,Sesto Rondinella,P,1995,182,219,27,"8,11"
52,Favalessa Matteo,Team 86 Villasanta,P,1999,186,217,26,"8,35"
53,Roselli Marco,Posal Sesto S. Giovanni,G/A,1993,200,217,30,"7,23"
54,Brioschi Stefano,Fortitudo Busnago,P/G,1993,183,215,22,"9,77"
55,Campeggi Riccardo,Gamma BK Segrate,A/C,1997, ,212,28,"7,57"
56,Vocino Riccardo,Sesto Rondinella,P/G,1991,191,211,30,"7,03"
57,Martini Alessandro,Ebro Basket,A/C,1995,193,210,30,"7,00"
58,Ronconi Alessandro,ASD Morbegno,P/G,1993,180,209,20,"10,45"
59,Rusconi Martino,Carpe Diem Calolziocorte,A/C,1995,198,209,23,"9,09"
60,Fossati Fabrizio,DI.PO. Vimercate,G,1990,185,209,27,"7,74"
61,Grillo Walter,Team 86 Villasanta,C,1991,205,207,26,"7,96"
62,Carolo Marco,Team 86 Villasanta,C,1989,202,205,29,"7,07"
63,Villa Nicolò,O.SA.L. Novate,G,1994,192,204,24,"8,50"
64,Della Flora Marco,Social Osa,A,1999,191,199,29,"6,86"
65,Gottari Giorgio,ASD Morbegno,G/A,1998,192,198,27,"7,33"
66,Schmidt Peter,Bocconi Milano,A,1990,196,194,16,"12,13"
67,Mungiovì Massimiliano,Team 86 Villasanta,G/A,1988,188,192,25,"7,68"
68,Bonacina Matteo,Fortitudo Busnago,A/C,1989,196,185,17,"10,88"
69,Rigon Davide,Sesto Rondinella,C,1995,197,183,24,"7,63"
70,Meroni Aron,USSA Nova Milanese,G,1999,188,183,28,"6,54"
71,D'Apolito Andrea,USSA Nova Milanese,A,1998,196,182,28,"6,50"
72,Fortunati Riccardo,Posal Sesto S. Giovanni,A,1998,196,177,27,"6,56"
73,Meroni Federico,O.SA.L. Novate,C,1995,195,168,21,"8,00"
74,Favalessa Fabio,Team 86 Villasanta,G/A,1991,190,167,23,"7,26"
75,Perdon Daniele,Fortitudo Busnago,A/C,1995,202,167,27,"6,19"
76,Cantarin Stefano,Posal Sesto S. Giovanni,A,1993,191,165,12,"13,75"
77,Giuseppetti Damiano,Gamma BK Segrate,A,1998, ,163,30,"5,43"
78,Ghiandoni Luca,Social Osa,A,1999,187,163,30,"5,43"
79,Gramola Carlo,Bocconi Milano,A,1994,192,161,16,"10,06"
80,Moscatelli Marco,Team 86 Villasanta,G,1993,186,161,28,"5,75"
81,Botto Francesco,Basketown Milano,A,1990,188,158,30,"5,27"
82,Cristofori Leonardo,Gamma BK Segrate,A,1997, ,157,28,"5,61"
83,Carzaniga Tommaso,DI.PO. Vimercate,G,1993,185,157,28,"5,61"
84,Gomma Alberto,DI.PO. Vimercate,A,1995,193,156,25,"6,24"
85,Fontana Marco,Ebro Basket,G,1989,190,156,29,"5,38"
86,Malberti,Team 86 Villasanta, , , ,154,11,"14,00"
87,Mazzoleni Pietro,Fortitudo Busnago,A,1982,190,151,26,"5,81"
88,Aledjou Mohuammed,Sesto Rondinella,G/A,1997,187,149,30,"4,97"
89,Ruzzon,AS Dil. Lesmo 2004, , , ,146,12,"12,17"
90,Belli Jacopo,Basketown Milano,G,1999,190,143,20,"7,15"
91,Belloggi Francesco,Bocconi Milano,G/A,1994,190,141,25,"5,64"
92,Porro Nicholas,Carpe Diem Calolziocorte,A/C,1986,198,141,29,"4,86"
93,Berti Emanuele,Gamma BK Segrate,A,1988,188,136,21,"6,48"
94,Pirola Alessandro,AS Dil. Lesmo 2004,P,1994,184,135,28,"4,82"
95,Usardi Andrea,Ebro Basket,P,1997,181,135,30,"4,50"
96,Scrima Nicolò ,Bocconi Milano,P/G,1993,175,134,14,"9,57"
97,Capelli,USSA Nova Milanese, , , ,133,20,"6,65"
98,Fontana Christian,Carpe Diem Calolziocorte,G,1997,185,133,26,"5,12"
99,Catania Paolo,Basketown Milano,P,1994,175,130,19,"6,84"
100,De Simone Andrea,Ebro Basket,A, ,195,130,24,"5,42"
101,Piva Dario,Ebro Basket,A/C,1994,197,129,25,"5,16"
102,Iosca Andrea,Basketown Milano,G/A,1999,191,127,25,"5,08"
103,Pannella Gianluca,Social Osa,A,1997,192,122,20,"6,10"
104,Ghezzi Jacopo,Bocconi Milano,C,1998,200,122,29,"4,21"
105,Verucchi Andrea,Social Osa,G,1995,190,121,17,"7,12"
106,Clemente Andrea,Posal Sesto S. Giovanni,G,1995,184,121,27,"4,48"
107,Gabaldi Mauro,DI.PO. Vimercate,C,1979,193,119,16,"7,44"
108,Pirola Simone,AS Dil. Lesmo 2004,P,1997,169,119,28,"4,25"
109,Gariboldi Stefano,Sesto Rondinella,A,1991,190,114,29,"3,93"
110,Danelli Giovanni,Fortitudo Busnago,A,1995,190,113,24,"4,71"
111,Dedè Matteo Andrea,Gamma BK Segrate,A/C,1996,192,110,16,"6,88"
112,Figini Andrea,O.SA.L. Novate,G,1994,189,109,12,"9,08"
113,Lucchina Alfredo,ASD Morbegno,P/G,1982,180,109,29,"3,76"
114,Iannaccio Stefano,O.SA.L. Novate,A,1992,191,108,25,"4,32"
115,Crosignani Pietro,O.SA.L. Novate,A/C,1988,193,106,23,"4,61"
116,Sebastiani Marco,Social Osa,A,1998,185,105,28,"3,75"
117,Carota Alessandro,Sesto Rondinella,A,1997,195,104,29,"3,59"
118,Barella Andrea,Sesto Rondinella,A,1989,190,103,20,"5,15"
119,Valgiovio Giacomo,Basketown Milano,G,1992,180,103,22,"4,68"
120,Sirtori Simone,Gamma BK Segrate,A,1997,182,100,15,"6,67"
121,Torchio Andrea,USSA Nova Milanese,C,1999,196,100,22,"4,55"
122,Gnecchi Lorenzo,Carpe Diem Calolziocorte,G,1995,188,99,29,"3,41"
123,Ciancio Tommaso,Carpe Diem Calolziocorte,A,1997,192,97,21,"4,62"
124,Ceccariglia Ruben,Posal Sesto S. Giovanni,A,1997,185,95,22,"4,32"
125,Fontana,Sesto Rondinella, , , ,93,21,"4,43"
126,Fedele Alessandro,Bocconi Milano,G,1996,183,92,17,"5,41"
127,Angiolini Federico,Posal Sesto S. Giovanni,P,1992,178,90,27,"3,33"
128,Aliprandi Andrea,AS Dil. Lesmo 2004,A,1994,195,84,6,"14,00"
129,Pontiggia Paolo,ASD Morbegno,C,1990,190,84,19,"4,42"
130,D'Amico Christian,Sesto Rondinella,G,1997,180,77,12,"6,42"
