"C Lombardia Silver Girone B classifica marcatori in base ai
  punti segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Vescovi Edoardo,Pallacanestro Castronno,A,1996,195,559,27,"20,70"
2,Azzimonti Edoardo,Hydrotherm Busto Arsizio,C,1988,200,504,30,"16,80"
3,Terzaghi Manuel,Verbano Luino,A,1992,201,479,27,"17,74"
4,Digiuliomaria Christian,Team ABC Cantù,C,1979,210,468,29,"16,14"
5,Turano Federico,GS Casoratese,G,1996,186,466,30,"15,53"
6,Poggiolini Riccardo,Cassano Magnago,P/G,1986,180,441,27,"16,33"
7,Tonella Roberto,Baskettiamo Vittuone,G,1995,190,434,29,"14,97"
8,Bonora Fabio,Milano 3 Basiglio,A,1997,196,433,26,"16,65"
9,Biraghi Francesco,Aba Legnano,P,1999,185,425,27,"15,74"
10,Campana Francesco,Aironi Pallacanestro Robbio,G,1992,185,409,30,"13,63"
11,Lanzi Lorenzo,Basket Rovello Porro,P,1992,172,400,27,"14,81"
12,Arui Alessandro,Hydrotherm Busto Arsizio,P/G,1991,180,397,28,"14,18"
13,Barbisan Massimo,Basket Rovello Porro,A,1993,192,378,27,"14,00"
14,Ragni Alberto,ASD Phoenix Iria Voghera,C,1990,198,373,29,"12,86"
15,Preatoni Vittorio,Hydrotherm Busto Arsizio,G/A,1992,190,372,30,"12,40"
16,Novati Marco,Groane Lentate,A,1994,188,369,26,"14,19"
17,Bernasconi Andrea,Cassano Magnago,C,1984,200,364,29,"12,55"
18,Putignano Simone,ASD Phoenix Iria Voghera,A,1987,188,353,29,"12,17"
19,Kam Abdel Kader,Aironi Pallacanestro Robbio,A,1987,193,345,27,"12,78"
20,Pedalà Federico,Team ABC Cantù,G,1990,195,334,28,"11,93"
21,Caccianiga Stefano,Rams Daverio,A,1994,190,334,28,"11,93"
22,Bergna Luca,Groane Lentate,A/C,1982,196,330,27,"12,22"
23,Spertini Roberto,Verbano Luino,G,1986,186,326,27,"12,07"
24,Del Pero Gabriele,Groane Lentate,P,1994,185,318,27,"11,78"
25,Appendini Stefano,GS Casoratese,P/G,1993,190,314,27,"11,63"
26,Gallina Filippo,Aironi Pallacanestro Robbio,P/G,1993,185,309,29,"10,66"
27,Lagger Simone,GS Casoratese,P,1995,192,304,27,"11,26"
28,Vai Federico,Hydrotherm Busto Arsizio,G/A,1995,195,299,15,"19,93"
29,Gardini Andrea,Verbano Luino,G/A,1994,187,284,29,"9,79"
30,Farina Simone,ASD Phoenix Iria Voghera,P/G,1987,188,281,24,"11,71"
31,Loughlimi Mohamed,Aironi Pallacanestro Robbio,A,1987,193,276,23,"12,00"
32,Villa Lorenzo,Basket Rovello Porro,A,1995,200,273,28,"9,75"
33,Bosa Andrea,Basket Rovello Porro,G,1988,188,272,27,"10,07"
34,Palazzi Niccolò,Verbano Luino,P,1992,178,271,30,"9,03"
35,Zanzi Filippo,Pallacanestro Castronno,A,1997,190,268,30,"8,93"
36,Visini Matteo,Groane Lentate,A,1988,192,267,26,"10,27"
37,Cinquepalmi Nicholas,Milano 3 Basiglio,A,1999,192,256,24,"10,67"
38,Ilic Marko,Aironi Pallacanestro Robbio,A/C,1982,196,248,30,"8,27"
39,Roveda Edoardo,Aba Legnano,P,1998, ,245,14,"17,50"
40,Mantelli Davide,Groane Lentate,C,1994,205,238,27,"8,81"
41,Sorrentino Matteo,Milano 3 Basiglio,P,1998,185,237,25,"9,48"
42,Colombo Lorenzo,Aironi Pallacanestro Robbio,P,1997,175,237,29,"8,17"
43,Malazzi Andrea,Baskettiamo Vittuone,A,1981,190,236,29,"8,14"
44,Busana Omar,Rams Daverio,P,1987,185,227,22,"10,32"
45,Rocca Gabriele,Cassano Magnago,G/A,1982,189,224,22,"10,18"
46,Pehar Marin,Verbano Luino,A/C,1990,196,222,26,"8,54"
47,Binda Matteo,Pallacanestro Castronno,G,1987,185,217,29,"7,48"
48,Carpani Silvio,Team ABC Cantù,G,1989,190,216,26,"8,31"
49,Croci Jacopo,Rams Daverio,A,1986,182,212,27,"7,85"
50,Abellara Andrei,Milano 3 Basiglio,P,1999,185,205,27,"7,59"
51,Lesica Nicola,Rams Daverio,G,1984,187,200,21,"9,52"
52,Molteni Marco,Team ABC Cantù,A/C,1983,197,197,28,"7,04"
53,Di Giovanni Stefano,Baskettiamo Vittuone,P/G,1993,190,196,10,"19,60"
54,Pifferi Cesare,Team ABC Cantù,A,1984,188,196,27,"7,26"
55,Missoni Ottavio,Rams Daverio,C,1984,200,190,23,"8,26"
56,Portaluppi Nicolò,Hydrotherm Busto Arsizio,A,1991,192,189,29,"6,52"
57,Mori Matteo,Milano 3 Basiglio,C,1997,197,185,27,"6,85"
58,Ivone Davide,Pallacanestro Castronno,P/G,1984,175,184,29,"6,34"
59,Lo Bianco Mattia,ASD Phoenix Iria Voghera,G,1995,183,180,23,"7,83"
60,Buzzin Gabriele,Aironi Pallacanestro Robbio,G,1997,187,180,30,"6,00"
61,Grimaldi,Cassano Magnago, , , ,179,10,"17,90"
62,Kisonga Alexandre Joao,CRAC Bionics Buccinasco,C,1984,201,178,11,"16,18"
63,Pagani Davide,Team ABC Cantù,P,1987,170,178,25,"7,12"
64,Reyes Roger Delos,Milano 3 Basiglio,G,1999,185,178,27,"6,59"
65,Banin Andrea,ASD Phoenix Iria Voghera,P,1994,179,177,13,"13,62"
66,Canavesi Jacopo,Pallacanestro Castronno,P,2000,178,165,26,"6,35"
67,Tosi Paolo,Aba Legnano,A,1999,202,164,30,"5,47"
68,Campeggi Michele,ASD Phoenix Iria Voghera,G,1985,193,163,28,"5,82"
69,Gastoldi Francesco,Aba Legnano,C,1997, ,162,30,"5,40"
70,Bernardi,Aba Legnano, , , ,161,15,"10,73"
71,Bellotti Giorgio,GS Casoratese,C,1990,205,158,12,"13,17"
72,Tremolada Michele,Team ABC Cantù,G,1999,199,158,22,"7,18"
73,Terraneo Davide,Basket Rovello Porro,P/G,1983,186,154,22,"7,00"
74,Famurewa Steven,ASD Phoenix Iria Voghera,A,1995,193,153,27,"5,67"
75,Beri Federico,Pallacanestro Castronno,A,1997,197,151,29,"5,21"
76,Losa Riccardo,Groane Lentate,G/A,1994,192,147,23,"6,39"
77,Bolzonella Francesco,Cassano Magnago,P/G,1986,182,147,30,"4,90"
78,Dushi,Aba Legnano, , , ,144,18,"8,00"
79,Grieco Federico,GS Casoratese,A,1995,192,141,27,"5,22"
80,Rolandi carlo,ASD Phoenix Iria Voghera,A,1991,195,140,25,"5,60"
81,Gianoli Dante,GS Casoratese,P,1991, ,140,29,"4,83"
82,Chiaia Marco,Baskettiamo Vittuone,A/G,1996,185,136,20,"6,80"
83,Zecchillo Simone,Rams Daverio,P,1994,187,135,10,"13,50"
84,Gambaro Gabriele,Hydrotherm Busto Arsizio,A/C,1988,195,134,28,"4,79"
85,Casciano Federico,CRAC Bionics Buccinasco,A,1991,181,133,13,"10,23"
86,Porrati Riccardo,Baskettiamo Vittuone,A/C,1988,185,131,24,"5,46"
87,Caccianiga Davide,Rams Daverio,A,1999,184,131,26,"5,04"
88,Ghirindelli Stefano,Pallacanestro Castronno,P/G,1990,182,129,27,"4,78"
89,Barbieri Roberto,Pallacanestro Castronno,P,1987,182,127,24,"5,29"
90,Colombo Oscar,Verbano Luino,P/G,1995,178,127,27,"4,70"
91,Valdameri Lorenzo,Milano 3 Basiglio,A,1999,190,127,28,"4,54"
92,Ronchetti Davide,Team ABC Cantù,A,1999,190,126,19,"6,63"
93,Pessina Daniele,Basket Rovello Porro,A,1997,194,125,27,"4,63"
94,Vitella Luca,Verbano Luino,G,1996,190,121,26,"4,65"
95,Vanoli Davide,Cassano Magnago,P/G,1982,175,118,24,"4,92"
96,Di Paola Marco,Aironi Pallacanestro Robbio,C,1990,198,117,26,"4,50"
97,Massocco Samuele,Baskettiamo Vittuone,A/G,1996,185,116,16,"7,25"
98,Anelli Nicholas,CRAC Bionics Buccinasco,A/C,1996,194,115,11,"10,45"
99,Pellegrini Daniele,Rams Daverio,A,1986,191,114,25,"4,56"
