C Lombardia Silver Girone C classifica marcatori in base ai  punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Cuzzani Marco,Pallacanestro Quistello,A,1980,190,534,30,"17,80"
2,Sartora Marco,Asola Lions Del Chiese,A,1991,198,530,30,"17,67"
3,Masper Cristiano,Gilbertina Soresina,C,1973,206,529,29,"18,24"
4,Raskovic Marko,New Basket Prevalle,A/C,1986,200,510,29,"17,59"
5,Bianchi Claudio,Basket Ome 01,G,1994,187,494,28,"17,64"
6,Zanella Gabriele,LIC Verolanuova,C,1981,206,490,28,"17,50"
7,Mauceri Francesco,Pallacanestro Quistello,A,1986,196,487,29,"16,79"
8,Mori Filippo,Asola Lions Del Chiese,G,1986,190,485,30,"16,17"
9,Cacciavillani Davide,Viadana Basket,G,1990,190,482,29,"16,62"
10,Pesenti Marco,Basket Sarezzo,G,1983,186,476,28,"17,00"
11,Tomic Leon,Sesa BK Sustinente,A/C,1996,200,475,29,"16,38"
12,Manifold Patrick,Bellini Virtus Gorle,A/C,1980,203,447,29,"15,41"
13,Orlandi Matteo,Persico Seriana Basket,P,1993,180,414,28,"14,79"
14,Veronesi Giovanni,Virtus Brescia,A,1998,194,392,24,"16,33"
15,Mason Jacopo,Asola Lions Del Chiese,P/G,1993,185,381,29,"13,14"
16,Lanfredi Stefano,New Basket Prevalle,P,1986,182,375,30,"12,50"
17,Foresti Mattia,XXL Bluorobica Bergamo,G/A,1997,188,368,28,"13,14"
18,Montagnosi Luca,XXL Bluorobica Bergamo,P,1988,182,365,25,"14,60"
19,Tagliabue Filippo,Bottanuco Basket,C,1988,204,361,28,"12,89"
20,Silva Bruno,Persico Seriana Basket,G/A,1996,197,361,28,"12,89"
21,Apollonio Luca,LIC Verolanuova,P/G,1995,182,357,29,"12,31"
22,Simoncini Daniele,New Basket Prevalle,P,1993,187,355,30,"11,83"
23,Zambelli Daniel,Cral Dalmine,P,1989,180,353,28,"12,61"
24,Widell Hanes,Bellini Virtus Gorle,P/G,1994,184,340,28,"12,14"
25,Salvetti Giorgio,Basket Ome 01,A,1985,191,337,30,"11,23"
26,Perazzi Davide,Olimpia Lumezzane,C,1981,202,336,30,"11,20"
27,Bergomi Giordano,New Basket Prevalle,G,1990,185,335,30,"11,17"
28,Mancin,Pallacanestro Quistello, , , ,332,28,"11,86"
29,Colla Gianluca,Viadana Basket,A,1989,190,327,30,"10,90"
30,Guzzoni Fabio,Gilbertina Soresina,A,1984,196,326,26,"12,54"
31,Crepaz Matteo,Basket Sarezzo,G,1989,180,325,30,"10,83"
32,Mantovani Davide,Sesa BK Sustinente,P,1993,193,325,30,"10,83"
33,Steccanella Matteo,Sesa BK Sustinente,A/C,1989,194,316,30,"10,53"
34,Rizzolo Simone,Olimpia Lumezzane,G,1995,188,306,27,"11,33"
35,Massari Enrico,Gilbertina Soresina,P,1990,180,302,29,"10,41"
36,Thioune Elhadje,Virtus Brescia,C,2001,208,294,29,"10,14"
37,Galbiati Alberto,XXL Bluorobica Bergamo,A/C,1985,200,289,23,"12,57"
38,Faini Davide,LIC Verolanuova,G/A,1997,192,289,29,"9,97"
39,Porcello Cristian,Bottanuco Basket,G,1991,180,288,29,"9,93"
40,Cogliati Raffaele,Bottanuco Basket,A,1983,193,288,29,"9,93"
41,Faccioli Simone,Viadana Basket,A,1993,193,284,30,"9,47"
42,Corona Cristian,Asola Lions Del Chiese,C,1980,195,283,23,"12,30"
43,Lottatori Leandro,Olimpia Lumezzane,G,1986,185,283,30,"9,43"
44,Capelli Thomas,Persico Seriana Basket,P,2000,175,270,29,"9,31"
45,Asamoah Benjamin,Basket Sarezzo,G,1994,188,268,30,"8,93"
46,Dalcò Luca,Virtus Brescia,P/G,2001,185,265,30,"8,83"
47,Locatelli Marco,Bellini Virtus Gorle,A,1985,195,262,29,"9,03"
48,Ubiali Alessandro,Olimpia Lumezzane,G,1990,180,260,30,"8,67"
49,Maione Diego,Viadana Basket,A,1992,195,258,27,"9,56"
50,Stucchi Gabriele,Cral Dalmine,G/A,1995,194,256,27,"9,48"
51,Fall Khadim,Cral Dalmine,C,1990,207,255,29,"8,79"
52,Mantovani Walter,Pallacanestro Quistello,P/G,1985,186,252,29,"8,69"
53,Turco Matteo,XXL Bluorobica Bergamo,P/G,1991,183,242,24,"10,08"
54,Bonacina Alberto,Olimpia Lumezzane,A/C,1988,193,241,22,"10,95"
55,Valenti Alberto,Basket Ome 01,P,1998,188,238,27,"8,81"
56,Parsani Mattia,Bellini Virtus Gorle,G,1988,192,238,29,"8,21"
57,Salvini Alessandro,LIC Verolanuova,G,1984,185,237,27,"8,78"
58,Sironi Alberto,XXL Bluorobica Bergamo,A/C,1994,191,226,27,"8,37"
59,Rossi Federico,LIC Verolanuova,P/G,1995,180,225,30,"7,50"
60,Bosio Raffaele,Bottanuco Basket,A, , ,224,13,"17,23"
61,Scazzola Luca,Basket Sarezzo,C,1994,200,224,26,"8,62"
62,Corna Andrea,XXL Bluorobica Bergamo,A,1995,193,221,29,"7,62"
63,Boccafurni Eugenio,Bellini Virtus Gorle,A,1997,194,219,17,"12,88"
64,Santinelli Matteo,Bellini Virtus Gorle,G,1996,185,218,25,"8,72"
65,Neri Alberto,Viadana Basket,G/A,1997,196,218,27,"8,07"
66,Colombo Ruggero,Persico Seriana Basket,A/C,1987,196,212,30,"7,07"
67,Ferrari Federico,LIC Verolanuova,G/A,1996,190,206,28,"7,36"
68,Corti Pier,New Basket Prevalle,G,1986,188,206,28,"7,36"
69,Prati Alberto,Viadana Basket,C,1994,200,206,30,"6,87"
70,Nava Francesco,Olimpia Lumezzane,A,1993,198,201,28,"7,18"
71,Doddi Francesco,Sesa BK Sustinente,G/A,1995,178,200,25,"8,00"
72,Assoni Andrea,LIC Verolanuova,C,1996,203,199,28,"7,11"
73,Ronzani Mattia,Sesa BK Sustinente,C,1987,196,199,30,"6,63"
74,Zappa Andrea,Persico Seriana Basket,A,1994, ,196,27,"7,26"
75,Buzzi Piercarlo,Sesa BK Sustinente,G,1989,188,192,21,"9,14"
76,Savazzi Diego,Asola Lions Del Chiese,G,1976,193,185,18,"10,28"
77,Iabichella Matteo,Cral Dalmine,A,1989,195,185,25,"7,40"
78,Ndiaye Amadou,Cral Dalmine,C,1976,203,185,26,"7,12"
79,Tronini Luca,XXL Bluorobica Bergamo,P,1995,180,184,28,"6,57"
80,Magni Edoardo,Cral Dalmine,P/G,1999,186,183,28,"6,54"
81,Milanesi Andrea,Basket Sarezzo,P,1991,186,182,30,"6,07"
82,Giacchetta Loris,Persico Seriana Basket,C,1992,208,180,25,"7,20"
83,Martinelli Fausto,Gilbertina Soresina,G,1988,192,179,28,"6,39"
84,Riccò Alessandro,Gilbertina Soresina,G,1983,188,179,28,"6,39"
85,Ambrosi Gabriele,New Basket Prevalle,A,1996,190,178,30,"5,93"
86,Tontini Antonio,Bellini Virtus Gorle,G,1987,188,174,28,"6,21"
87,Lodovici Fabio,Cral Dalmine,G,1986,182,173,28,"6,18"
88,Zanini Mattia,Sesa BK Sustinente,G/A,1983,190,173,30,"5,77"
89,Seratoni Andrea,Bottanuco Basket,G/A,1994,194,170,26,"6,54"
90,Mensah Oscar,Virtus Brescia,A,2000,183,165,24,"6,88"
91,Brogio Martino,Gilbertina Soresina,A/C,1988,196,163,18,"9,06"
92,Feroldi Marco,Basket Sarezzo,P,1996,180,161,30,"5,37"
93,Albertini Andrea,Sesa BK Sustinente,A/C,1999,205,159,28,"5,68"
94,Giudici Davide,Gilbertina Soresina,P,1978,186,157,25,"6,28"
95,Foschetti Manuel,Basket Ome 01,A/C,1991,196,157,30,"5,23"
96,Moretti Leonardo,Basket Ome 01,A,1998,188,154,26,"5,92"
97,Beltran Hector,Basket Ome 01,A,1996,193,147,26,"5,65"
98,Orsatti Massimo,Basket Ome 01,P,1983,180,144,24,"6,00"
99,Vitali Marco,Cral Dalmine,P,1990,190,141,26,"5,42"
100,Garofolo Lorenzo,Basket Ome 01,G,1990,182,140,28,"5,00"
101,Brunelli Luca,New Basket Prevalle,A,1995,198,134,27,"4,96"
102,Paderno Luca,Asola Lions Del Chiese,G,1996,185,130,14,"9,29"
103,Zamparelli Alberto,Viadana Basket,P,1988,181,128,26,"4,92"
104,Becchetti Gianluca,Olimpia Lumezzane,P,1984,176,128,27,"4,74"
105,Hnini Tarik,LIC Verolanuova,G/A,1985,190,128,30,"4,27"
106,Borghi Matteo,Pallacanestro Quistello,C,1987,196,127,30,"4,23"
107,Pisoni Gianpaolo,Bottanuco Basket,G,1979,182,126,23,"5,48"
108,Piantoni Roberto,Persico Seriana Basket,C,1994,195,125,29,"4,31"
109,Rossi Michael,Viadana Basket,G,1995,190,125,29,"4,31"
110,Palac,Gilbertina Soresina, , , ,124,10,"12,40"
111,Prandelli Roberto,Olimpia Lumezzane,A,1986,196,121,24,"5,04"
112,Amadini Francesco,Virtus Brescia,A,2001,190,120,26,"4,62"
113,Tengattini Emanuele,Basket Sarezzo,A/C,1981,205,119,19,"6,26"
114,Veronesi Giacomo,Virtus Brescia,A,2001,186,118,21,"5,62"
115,Bassi Leonardo,Persico Seriana Basket,A/C,1997,198,117,21,"5,57"
116,Dadda Davide,Cral Dalmine,A/C,1999,192,116,26,"4,46"
117,Medeghini Giovanni,Virtus Brescia,A/C,2000,198,115,27,"4,26"
118,Rovetta Gabriele,Persico Seriana Basket,G/A,1998,188,109,29,"3,76"
119,Tolasi Francesco,Gilbertina Soresina,P,1998,184,107,30,"3,57"
