SQUADRA,P,P.G,V,P,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
AS Dil.  Lesmo 2004,46,30,23,7,2349,2088,261,12,11,3,4
Ebro Basket,44,30,22,8,2055,1826,229,13,9,2,6
Fortitudo  Busnago,42,30,21,9,2179,2037,142,13,8,2,7
O.SA.L.  Novate,38,30,19,11,2039,1941,98,10,9,5,6
Team 86  Villasanta,34,30,17,13,1975,1907,68,10,7,5,8
Soul Basket  Milano,32,30,16,14,2013,1938,75,10,6,5,9
Carpe Diem  Calolziocorte,28,30,14,16,1903,1922,-19,9,5,6,10
Bocconi  Milano,28,30,14,16,1834,1892,-58,10,4,5,11
Basketown  Milano,28,30,14,16,2154,2211,-57,9,5,6,10
Rondinella  Sesto,28,30,14,16,1947,2023,-76,8,6,7,9
Posal Sesto  San Giovanni,26,30,13,17,1969,1994,-25,7,6,8,9
Social Osa,26,30,13,17,1863,1935,-72,7,6,8,9
ASD  Morbegno,24,30,12,18,1916,2057,-141,7,5,8,10
Di.Po.  Vimercate,22,30,11,19,1998,2001,-3,8,3,7,12
Ussa Nova  Milanese,18,30,9,21,1806,1990,-184,7,2,8,13
Gamma BK  Segrate,16,30,8,22,2007,2245,-238,7,1,8,14
Lombardia  - C Silver Girone A
